tier,reachability_representative,metro,title,best_email,all_emails,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,pocs,primary_contact,primary_contact_channel
A,Jon L. Norinsberg,new york,Joseph & Norinsberg - NYC Sexual Harassment & Employment Discrimination Lawyers,info@employeejustice.com,info@employeejustice.com,+1 646-798-4433,https://employeejustice.com,"825 3rd Ave #2100, New York, NY 10022, United States",https://www.google.com/maps/place/Joseph+%26+Norinsberg+-+NYC+Sexual+Harassment+%26+Employment+Discrimination+Lawyers/data=!4m7!3m6!1s0x89c25a18f6ff8225:0x329ddea7209be3c6!8m2!3d40.757962!4d-73.9708356!16s%2Fg%2F1q5ccv8jd!19sChIJJYL_9hhawokRxuObIKfenTI,https://www.facebook.com/employeejusticenyc/,https://www.instagram.com/josephandnorinsberg/,https://www.linkedin.com/company/joseph-&-norinsberg,,https://www.tiktok.com/@josephandnorinsberg?_r=1&_t=ZP-960LLVNXgD8,https://www.youtube.com/@employeejustice,Jon L. Norinsberg,Founding Partner,https://www.linkedin.com/in/norinsberglaw,Jon L. Norinsberg;Bennita L. Joseph;John J. Meehan,Jon L. Norinsberg,https://www.linkedin.com/in/norinsberglaw
A,Joe Nappa,new york,"Nappa, Monterosso & Poznansky, LLP",christophermiller.gkt@gmail.com,christophermiller.gkt@gmail.com;ghulamgoesmustafa76@gmail.com;joannariggsvideo@gmail.com;oliviasolomonmkt@gmail.com,+1 718-273-9000,https://www.sicomplaw.com,"1946 Victory Blvd Ste 1B, Staten Island, NY 10314, United States","https://www.google.com/maps/place/Nappa,+Monterosso+%26+Poznansky,+LLP/data=!4m7!3m6!1s0x89c24c47fb2d5a67:0x302f3fa1bc5a1ed9!8m2!3d40.6124078!4d-74.128905!16s%2Fg%2F1trxfly8!19sChIJZ1ot-0dMwokR2R5avKE_LzA",https://www.facebook.com/NMPSI.Law,,,,,,Joe Nappa,Founding Partner,,Joe Nappa;Chris Monterosso,Joe Nappa,https://www.facebook.com/NMPSI.Law
A,Jack Gross,new york,Consumer Legal Group,support@consumerlegalgroup.com,support@consumerlegalgroup.com,+1 212-920-1247,https://consumerlegalgroup.com,"165 Broadway, New York, NY 10006, United States",https://www.google.com/maps/place/Consumer+Legal+Group/data=!4m7!3m6!1s0x25834c3f0c7c8c07:0x46b231b8b7901271!8m2!3d40.7095714!4d-74.0105396!16s%2Fg%2F11k3mt1n1j!19sChIJB4x8DD9MgyURcRKQt7gxskY,,,,,,,Jack Gross,Co-Managing Attorney,https://www.linkedin.com/in/jack-gross-184b70208,Jack Gross;Jason Rebhun;Daniel Warshaw,Jack Gross,https://www.linkedin.com/in/jack-gross-184b70208
A,James Medows,new york,"James Medows, Esq.-Traffic Ticket Lawyer | 845-TICKETS",jamesmedows@gmail.com,jamesmedows@gmail.com,+1 917-994-7125,http://trafficticketlawyernewyork.com,"306 Atlantic Ave, Brooklyn, NY 11201, United States","https://www.google.com/maps/place/James+Medows,+Esq.-Traffic+Ticket+Lawyer+%7C+845-TICKETS/data=!4m7!3m6!1s0x89c25a4c1d685b47:0xeeac31361034579b!8m2!3d40.688254!4d-73.9887365!16s%2Fg%2F1v_ndf5b!19sChIJR1toHUxawokRm1c0EDYxrO4",https://www.facebook.com/trafficticketlaw/,https://www.instagram.com/845tickets/,https://www.linkedin.com/in/james-medows/,,,,James Medows,Principal Attorney / Owner,https://www.linkedin.com/in/james-medows,James Medows,James Medows,https://www.linkedin.com/in/james-medows
A,S. Michael Musa-Obregon,new york,Musa-Obregon Law PC,,,+1 718-803-1000,https://www.musa-obregon.com,"55-21 69th St 2nd floor, Maspeth, NY 11378, United States",https://www.google.com/maps/place/Musa-Obregon+Law+PC/data=!4m7!3m6!1s0x89c2592605b1cc67:0x6ec2ec54084399a7!8m2!3d40.7271897!4d-73.8951157!16s%2Fg%2F1td1wc5x!19sChIJZ8yxBSZZwokRp5lDCFTswm4,https://www.facebook.com/pages/Musa-Obregon-Associates/108694269282879,https://www.instagram.com/musaobregon/,https://www.linkedin.com/in/michaelmusaobregon,,,,S. Michael Musa-Obregon,Founding Attorney / Managing Partner,https://www.linkedin.com/in/michaelmusaobregon/,S. Michael Musa-Obregon;Karl Ashanti;NY State,S. Michael Musa-Obregon,https://www.linkedin.com/in/michaelmusaobregon/
A,Kevin P. McKernan,new york,The Law Firm of Kevin P. McKernan,kevin@kmckernan.com,kevin@kmckernan.com,+1 718-317-5007,https://kmckernanlaw.com,"503 Mosely Ave, Staten Island, NY 10312, United States",https://www.google.com/maps/place/The+Law+Firm+of+Kevin+P.+McKernan/data=!4m7!3m6!1s0x89c3caa0447916cd:0xab2cd3d3c5d848d!8m2!3d40.5437324!4d-74.1654431!16s%2Fg%2F125__3sxc!19sChIJzRZ5RKDKw4kRjYRdPD3Nsgo,https://www.facebook.com/kmckernanlaw,https://www.instagram.com/mckernanlaw/,https://linkedin.com/in/kevin-mckernan-esq-168b21160,,,,Kevin P. McKernan,Founder / Lead Attorney,https://www.linkedin.com/in/kevin-mckernan-esq-168b21160,Kevin P. McKernan;Vanessa Belluci Markos;Kathleen Murphy,Kevin P. McKernan,https://www.linkedin.com/in/kevin-mckernan-esq-168b21160
A,Joseph Y. Balisok,new york,"Balisok & Kaufman, PLLC",info@lawbalisok.com,info@lawbalisok.com,+1 718-928-9607,http://www.balisokkaufman.com,"251 Troy Ave, Brooklyn, NY 11213, United States","https://www.google.com/maps/place/Balisok+%26+Kaufman,+PLLC/data=!4m7!3m6!1s0x89c25c67444d6951:0x87acadc7d4f3bfab!8m2!3d40.6705456!4d-73.9363085!16s%2Fg%2F1tn024cb!19sChIJUWlNRGdcwokRq7_z1MetrIc",,,https://www.linkedin.com/in/jessekaufman/;https://www.linkedin.com/in/josephybalisok?original_referer=https%3A%2F%2Fwww.balisokkaufman.com%2F,,,,Joseph Y. Balisok,Partner / Name Partner,https://www.linkedin.com/in/josephybalisok,Joseph Y. Balisok;Jesse L. Kaufman,Joseph Y. Balisok,https://www.linkedin.com/in/josephybalisok
A,Albert Cohen,new york,"Cohen & Cohen Car Accident & Personal Injury Lawyers, P.C.",,,+1 718-736-2567,https://www.cohenandcohenlawgroup.com/locations/forest-hills-personal-injury-office,"104-70 Queens Blvd #312, Forest Hills, NY 11375, United States","https://www.google.com/maps/place/Cohen+%26+Cohen+Car+Accident+%26+Personal+Injury+Lawyers,+P.C./data=!4m7!3m6!1s0x89c260992e416205:0x1ab76af18002fc03!8m2!3d40.7229758!4d-73.8483607!16s%2Fg%2F1tx_78js!19sChIJBWJBLplgwokRA_wCgPFqtxo",https://www.facebook.com/AlbertCohenEsq/,https://www.instagram.com/cohenandcoheninjury/,https://www.linkedin.com/company/albert-cohen/,,https://www.tiktok.com/@cohenandcoheninjury,,Albert Cohen,CEO and Founder,https://www.linkedin.com/in/albert-cohen-37362222/,Sitara Abbas;Albert Cohen;Charles Haviv;Ryan Charder;Michael Khan,Albert Cohen,https://www.linkedin.com/in/albert-cohen-37362222/
A,Vincent J. Gallo,new york,Vincent J. Gallo Law Offices,vincentjgallo@aol.com,vincentjgallo@aol.com;wweeiihhuuaanngg@gmail.com,+1 718-273-1699,http://www.vincentjgallo.com,"706 Forest Ave, Staten Island, NY 10310, United States",https://www.google.com/maps/place/Vincent+J.+Gallo+Law+Offices/data=!4m7!3m6!1s0x89c24e71e4334dd1:0xcd2e123d8ccd6080!8m2!3d40.6291615!4d-74.1127782!16s%2Fg%2F1td1qszv!19sChIJ0U0z5HFOwokRgGDNjD0SLs0,https://www.facebook.com/vjgallo/,,https://www.linkedin.com/in/vincentjgallo/,https://www.yelp.com/biz/vincent-j-gallo-law-offices-staten-island,,,Vincent J. Gallo,Founder / Name Partner,https://www.linkedin.com/in/vincentjgallo/,Vincent J. Gallo,Vincent J. Gallo,https://www.linkedin.com/in/vincentjgallo/
A,Karra L. Kingston,new york,Karra L. Kingston Esq.,karra@klkbankruptcylawyer.com,karra@klkbankruptcylawyer.com,+1 973-979-9078,https://bankruptcylawnynj.com,"160H Dinsmore St, Staten Island, NY 10314, United States",https://www.google.com/maps/place/Karra+L.+Kingston+Esq./data=!4m7!3m6!1s0x89c24db06d4b8207:0x379c0ebe5364b0b1!8m2!3d40.6034674!4d-74.1701611!16s%2Fg%2F11gn27g2ws!19sChIJB4JLbbBNwokRsbBkU74OnDc,https://www.facebook.com/bankruptcyattorney110290;https://www.facebook.com/bankruptcyattorney110290/,https://www.instagram.com/karra_l_kingston_esq/,http://linkedin.com/in/karra-kingston-esq-728053172;https://www.linkedin.com/in/bonomo-bonomo-728053172/,https://www.yelp.com/biz/karra-l-kingston-esq-staten-island,,,Karra L. Kingston,Founder / Owner (Bankruptcy Attorney),https://www.linkedin.com/in/karra-kingston-esq-728053172,Karra L. Kingston,Karra L. Kingston,https://www.linkedin.com/in/karra-kingston-esq-728053172
A,Pasquale Calcagno,new york,Freelegalquote.com - attorney referral service,legalquote@gmail.com,legalquote@gmail.com,+1 800-933-4448,https://freelegalquote.com,"900 South Ave 3rd Floor, Staten Island, NY 10314, United States",https://www.google.com/maps/place/Freelegalquote.com+-+attorney+referral+service/data=!4m7!3m6!1s0x6de9bf3f60826efb:0x7cf1f895c9ef4f01!8m2!3d40.6169764!4d-74.17269!16s%2Fg%2F11ryhd016n!19sChIJ-26CYD-_6W0RAU_vyZX48Xw,https://www.facebook.com/freelegalquote/,https://www.instagram.com/1800wefight/,https://www.linkedin.com/in/freelegalquote,,https://www.tiktok.com/@freelegalquote.com,https://www.youtube.com/@1800WEFIGHT,Pasquale Calcagno,Founder / Owner (attorney referral service),https://www.linkedin.com/in/pasqualecalcagnolawyer,Pasquale Calcagno,Pasquale Calcagno,https://www.linkedin.com/in/pasqualecalcagnolawyer
A,Jeffrey A. St. Clair,new york,"St. Clair & Associates, PLLC",hello@rfuenzalida.com,hello@rfuenzalida.com;impallari@gmail.com;matt@pixelspread.com;saintlaw@gmail.com,+1 718-596-4466,https://www.stclairlaw.com,"254 36th St Ste C659, Brooklyn, NY 11232, United States","https://www.google.com/maps/place/St.+Clair+%26+Associates,+PLLC/data=!4m7!3m6!1s0x89c25a491110a2d3:0x9a67792912344acf!8m2!3d40.6560789!4d-74.0078174!16s%2Fg%2F11cmn01y5s!19sChIJ06IQEUlawokRz0o0Eil5Z5o",,https://www.instagram.com/saintlaw1,https://www.linkedin.com/jeffrey-st-clair-b64a017,,,,Jeffrey A. St. Clair,Founder / Owner (Trust & Estates Attorney),https://www.linkedin.com/in/jeffrey-st-clair-b64a017/,Jeffrey A. St. Clair,Jeffrey A. St. Clair,https://www.linkedin.com/in/jeffrey-st-clair-b64a017/
