tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,primary_contact,primary_contact_channel,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_original,pain_quote_2_original,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
A,333.83,dallas,Pick-n-Pull,bizdev@picknpull.com,bizdev@picknpull.com;marketing@picknpull.com;toolkit@picknpull.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 214-421-9193,https://www.picknpull.com/locations/122/dallas-south-tx,"5301 S Second Ave, Dallas, TX 75210, United States",https://www.google.com/maps/place/Pick-n-Pull/data=!4m7!3m6!1s0x864ea285ce3435e3:0x841c411c892deb19!8m2!3d32.7564117!4d-96.7410739!16s%2Fg%2F1ttph99p!19sChIJ4zU0zoWiToYRGestiRxBHIQ,,,,,,,,,,,,,,calls_unanswered,5,"If you don't answer the phone, people will think you're not open, the phone just rings and rings then you get disconnected, find another place to deal with","Customer service is trash, weirdo didn't know what a Yukon Denali was, then the troll of a woman who picked up was rude as hell. Don't want to answer calls and answer simple questions on CARS go get a waiters job.",,,1,1,Voice AI Agents (Inbound Coverage),silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;booking_friction;calls_unanswered;frontline_communication;service_quality_in_session,,ok,,1026,3.7,227,544,https://www.picknpull.com/locations/122/dallas-south-tx?utm_source=google&utm_medium=organic&utm_campaign=GMB-Dallas-South,https://www.google.com/maps/place/Pick-n-Pull/data=!4m7!3m6!1s0x864ea285ce3435e3:0x841c411c892deb19!8m2!3d32.7564117!4d-96.7410739!16s%2Fg%2F1ttph99p!19sChIJ4zU0zoWiToYRGestiRxBHIQ?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,162.08,dallas,Hawn Freeway Auto Salvage,parts@hawnfreewayautosalvage.com,parts@hawnfreewayautosalvage.com,gosom_scraper,+1 972-286-9971,http://www.hawnfreewayautosalvage.com,"10505 C F Hawn Fwy, Dallas, TX 75217, United States",https://www.google.com/maps/place/Hawn+Freeway+Auto+Salvage/data=!4m7!3m6!1s0x864ebb6ae41392eb:0x3babb7717af37fc7!8m2!3d32.698272!4d-96.6437024!16s%2Fg%2F1xgrnbpt!19sChIJ65IT5Gq7ToYRx3_zenG3qzs,,,,,,,,,,,,,,billing_or_intake_errors,5,"Do not recommend.  Car-part has shown an engine in stock for a year that I had been watching while I pulled my old engine. Claims 90,000 miles. Went to look at it and they said it just came in a few days ago which was clearly a lie. They then said they had another one they just got a few days ago with 100,000 in it. I need a Ford 4.6 and both had 5.4 manufacturer tags. One had an 8 bolt flywheel when mine is a 6, but they continued to claim it was a 4.6. They said you cant go off of the MANUFACTURER'S tags and that they were certain it was a 4.6. They clearly didn't have the 90,000 mile 4.6 and were trying to pass off 5.4s to make a sale. This was after calling to verify they had it and driving over an hour to see it. Complete bait and switch scam and will not be back.","Called ahead about purchasing a transmission. Verified on the phone that they had it and the price before sending someone to pick it up. When trying to pick it up my guy had to sit there forever waiting on them just to be told that they don’t actually have the transmission and they can get one for even more money. Typical bait and switch, probably the same transmission just trying to get more money from us. Do not recommend. Wasted hours trying to buy from them.",,,1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,open_error,,196,2.6,96,126,http://www.hawnfreewayautosalvage.com/,https://www.google.com/maps/place/Hawn+Freeway+Auto+Salvage/data=!4m7!3m6!1s0x864ebb6ae41392eb:0x3babb7717af37fc7!8m2!3d32.698272!4d-96.6437024!16s%2Fg%2F1xgrnbpt!19sChIJ65IT5Gq7ToYRx3_zenG3qzs?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,156.83,dallas,Cowboy Auto Parts,parts@cowboyautotexas.com,parts@cowboyautotexas.com,gosom_scraper,+1 214-599-9998,https://cowboyautotexas.com,"2622 Myrtle Springs Ave, Dallas, TX 75220, United States",https://www.google.com/maps/place/Cowboy+Auto+Parts/data=!4m7!3m6!1s0x864e9d72a0ac8d2d:0x2703c3b0af41e432!8m2!3d32.8683594!4d-96.8886886!16s%2Fg%2F11c1ln1kby!19sChIJLY2soHKdToYRMuRBr7DDAyc,,,,,,,Mohammad,Parts specialist (role unconfirmed),,,Mohammad,Mohammad,,frontline_communication,6,Called Wednesday for a part that was available but had minor scratch damage the lady I spoke to said since there was damage it would be 50% off so I said ok that perfect. I called today spoke to a Hispanic guy I verified the information and said it was ok so. So I sent my brother over and they were rude and disrespectful not to mention there was way more damage than it was mentioned.,"Horrible customer service — avoid Cowboy Auto Parts at all costs. I called them with a serious inquiry, ready to do business, and they completely ignored me. No one picked up the first few times, and when they finally answered, the person on the phone was rude, unhelpful, and seemed like they couldn’t care less. They said they’d “get back to me” — but of course, they never did.

It’s clear this company has no interest in treating customers with respect or professionalism. If they can’t handle a simple phone call, I can’t imagine trusting them with anything as important as car parts. There are way better businesses out there that actually value customers.",,,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;calls_unanswered;delivery_quality;followup_dropped;frontline_communication;service_quality_in_session,,ok,,553,4.5,60,415,https://cowboyautotexas.com/,https://www.google.com/maps/place/Cowboy+Auto+Parts/data=!4m7!3m6!1s0x864e9d72a0ac8d2d:0x2703c3b0af41e432!8m2!3d32.8683594!4d-96.8886886!16s%2Fg%2F11c1ln1kby!19sChIJLY2soHKdToYRMuRBr7DDAyc?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,150.49,dallas,All Discount Auto Salvage,skasrai@hotmail.com,skasrai@hotmail.com,gosom_scraper,+1 972-263-3388,http://www.alldiscountautosalvage.com,"3965 E Main St, Grand Prairie, TX 75050, United States",https://www.google.com/maps/place/All+Discount+Auto+Salvage/data=!4m7!3m6!1s0x864e851fa9eb3be7:0x5f8fa5434078a36f!8m2!3d32.748757!4d-96.9424589!16s%2Fg%2F1tfgk6rp!19sChIJ5zvrqR-FToYRb6N4QEOlj18,,,,,,,Shaw,Owner,,,Shaw,Shaw,,frontline_communication,3,"If I could leave a 0 star I would. Called about a PART and asked the guy politely for a discount on a 3,000 part they are selling and he rudely said no, at the end, I offered 2500 and he turned it down I will take my business and hard earned money elsewhere.","ABSOLUTELY ONE OF THE WORST, DISHONEST, RUDE CUSTOMER SERVICE JUNK YARD. AVOID BUYING FROM THIS PLACE AT ALL TIME.",,,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;followup_dropped;frontline_communication,,open_error,,922,4.5,96,739,http://www.alldiscountautosalvage.com/,https://www.google.com/maps/place/All+Discount+Auto+Salvage/data=!4m7!3m6!1s0x864e851fa9eb3be7:0x5f8fa5434078a36f!8m2!3d32.748757!4d-96.9424589!16s%2Fg%2F1tfgk6rp!19sChIJ5zvrqR-FToYRb6N4QEOlj18?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,117.4,dallas,Twin Lakes Auto Salvage,,,,+1 972-225-4536,,"9915 S Central Expy, Dallas, TX 75241, United States",https://www.google.com/maps/place/Twin+Lakes+Auto+Salvage/data=!4m7!3m6!1s0x864ebd75106e423d:0x699dd69c8618c42e!8m2!3d32.6755556!4d-96.7297222!16s%2Fg%2F1tczwbxg!19sChIJPUJuEHW9ToYRLsQYhpzWnWk,,,,,,,,,,,,,,frontline_communication,5,"This place is extremely disorganized and poorly run. I sold them a vehicle near their location while I was out of state. They agreed to pick it up after receiving the title, which I mailed the same day. About 10 days later, I started following up—no response from the person who arranged the deal (an owner). Calls to the main office went nowhere; after 30 minutes they claimed they never received the title and told me to call back later. I did—same result. Days passed with no pickup, and the vehicle sat at the lot racking up storage fees. Now the title is lost, the vehicle was never picked up, and I can’t even sell it because I no longer have the title. Dealing with them has cost me time, money, and my ability to sell my own car. Every staff member I spoke to acted like they couldn’t care less—their attitude was dismissive and unprofessional. Completely unacceptable.","Rude
Called to confirm a dash panel - they weren't able to confirm if what they had was the right color or if it was cracked or not over the phone - weren't able to send any pics to avoid a wasted 1 hour drive to go see it in person - I DO NOT RECOMMEND this salvage yard",,,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,,,216,3.3,68,137,,https://www.google.com/maps/place/Twin+Lakes+Auto+Salvage/data=!4m7!3m6!1s0x864ebd75106e423d:0x699dd69c8618c42e!8m2!3d32.6755556!4d-96.7297222!16s%2Fg%2F1tczwbxg!19sChIJPUJuEHW9ToYRLsQYhpzWnWk?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,112.07,dallas,Bonnie & Clyde Car Stereo & Window Tinting,,,,+1 972-241-1187,http://bncstereo.com,"11311 Harry Hines Blvd #104, Dallas, TX 75229, United States",https://www.google.com/maps/place/Bonnie+%26+Clyde+Car+Stereo+%26+Window+Tinting/data=!4m7!3m6!1s0x864c27891c68eebb:0x362008985984045a!8m2!3d32.8935241!4d-96.8912222!16s%2Fg%2F1tdg3mc1!19sChIJu-5oHIknTIYRWgSEWZgIIDY,,,,,,,Mazin Awad,Owner,,,Mazin Awad,Mazin Awad,,billing_or_intake_errors,4,"This place is way overpriced, and you’ll likely walk out feeling like you made a bad decision. I was quoted around $600, but by the time everything was done, the total was over $800. What I actually received was a $100 amp, one 10"" speaker, and one small box. Definitely not worth anywhere near what they charged.

Their tactic seems to be showing you a lower number up front, then hitting you with a much higher total “out the door.” Very misleading. If you value honesty, fair pricing, and transparency, I would avoid this place. Take your business somewhere else i promise u that u will get a way better deal. Oh and a side note u will spend at least 4 hours waiting on services.","This place is an absolute joke. I came here to get “ceramic” window tint after reading the reviews, 1000% misleading. They didn’t honor the quote I was given on the phone after giving them the exact vehicle information. The quality of work was complete garbage. I could’ve done a better job myself. Every single window had groups of bubbles and streaks where they folded the film. The edges were completely uneven. They scratched the window glass trying to cut the film. The film is already peeling off on one window. This is after only 1 week. If you have a car they deem interesting, they will without a doubt take it on a wishful joyride. Completely unprofessional and incapable of quality service. They have “warranty” but why go back if they lack the skills to ever do the job like a pro. Going to gladly pay 3x what these morons charged to get it done right. Save yourselves the hassle and go to a real business run by men not little boys.",,,1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;followup_dropped;frontline_communication;service_quality_in_session,,no_email_found,,1678,4.8,54,1000,http://bncstereo.com/,https://www.google.com/maps/place/Bonnie+%26+Clyde+Car+Stereo+%26+Window+Tinting/data=!4m7!3m6!1s0x864c27891c68eebb:0x362008985984045a!8m2!3d32.8935241!4d-96.8912222!16s%2Fg%2F1tdg3mc1!19sChIJu-5oHIknTIYRWgSEWZgIIDY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,85.42,dallas,DFW Auto Parts,,,,+1 214-339-5224,https://dfwautoparts1.com,"6071 W Davis St, Dallas, TX 75211, United States",https://www.google.com/maps/place/DFW+Auto+Parts/data=!4m7!3m6!1s0x864e852a3647da25:0xe6352dda5295bce5!8m2!3d32.7499914!4d-96.924792!16s%2Fg%2F1tdcmchp!19sChIJJdpHNiqFToYR5byVUtotNeY,,,,,,,Dina Maldonado,Owner,,,Dina Maldonado;Angelo Minell,Dina Maldonado,,billing_or_intake_errors,2,"I was told this was the correct wheel, and the employee personally selected it for me. Now I’m being told I can only receive store credit, even though the mistake wasn’t mine. This situation feels unfair and unprofessional. Based on this experience, I would not recommend this business.",First the online price was $125 for a jeep ac compressor when arrived it became $150 for whatever bs reason. Then I had called and confirmed they had it and it was off the car they confirmed when we got there they had to look for it and didn't know what we are talking about. And then by a miracle they found it and it was broken.. they tried their best to rig it together to stick us with it but we had to walk away.  Horrible,,,1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;frontline_communication,,no_email_found,,87,3,35,72,https://dfwautoparts1.com/,https://www.google.com/maps/place/DFW+Auto+Parts/data=!4m7!3m6!1s0x864e852a3647da25:0xe6352dda5295bce5!8m2!3d32.7499914!4d-96.924792!16s%2Fg%2F1tdcmchp!19sChIJJdpHNiqFToYR5byVUtotNeY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,85.26,dallas,TX Transmission Repair,1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com,1eeb89147c984dc6bc3ffafd9e6cd089@sentry.wixpress.com;txtransmissionrepair@gmail.com,agent_browser_crawl;agent_browser_crawl,+1 214-500-3618,http://www.txtransmissionrepair.com,"8723 FM 2728, Terrell, TX 75161, United States",https://www.google.com/maps/place/TX+Transmission+Repair/data=!4m7!3m6!1s0x864e9cf7397433a1:0x7b1cd4b49320cca0!8m2!3d32.6772373!4d-96.203065!16s%2Fg%2F11b8t7_mxj!19sChIJoTN0OfecToYRoMwgk7TUHHs,,https://www.instagram.com/txtransmission/,,,,,Raul Baray,"Founder, Owner & CEO",,,Raul Baray;Tony Baray,Raul Baray,,followup_dropped,4,Sent two emails they never responded. If they don't respond how can you trust and communicate about the work on your vehicle.,"I am still waiting on my car to be repaired,I have had problems with my transmission since December of last year. I have been taking my car back for them to resolve the issue and as of today my car is still not running properly. They don't keep you updated unless you call them. I have requested to speak the owner Raul as of  today I still have yet to receive a  call . This is very frustrating and an inconvenience.",,,1,1,Agentic AI Systems (Autonomous Follow-up),silverthreadlabs.com/services/agentic-ai,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication,,ok,,263,4.4,33,228,http://www.txtransmissionrepair.com/,https://www.google.com/maps/place/TX+Transmission+Repair/data=!4m7!3m6!1s0x864e9cf7397433a1:0x7b1cd4b49320cca0!8m2!3d32.6772373!4d-96.203065!16s%2Fg%2F11b8t7_mxj!19sChIJoTN0OfecToYRoMwgk7TUHHs?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,79.95,dallas,Auto City Salvage,,,,+1 972-286-9999,,"13815 Skyfrost Dr, Dallas, TX 75253, United States",https://www.google.com/maps/place/Auto+City+Salvage/data=!4m7!3m6!1s0x864eb0781784704f:0xfe86bd9632a6e58a!8m2!3d32.6909898!4d-96.5783176!16s%2Fg%2F1thgbwb2!19sChIJT3CEF3iwToYRiuWmMpa9hv4,,,,,,,,,,,,,,frontline_communication,3,They are liars they will tell you they have a different quantity than what they really have then . Once you arrive give a different price then they love to play dumb or act as if it was miscommunication. Jose terrible customer service. The 2 unprofessional little girls they have answering the phone terrible customer service. They refused to tell their names then proceeds to hang up the phone in my face once they were called out on the BS. I was told the owner Ricardo was out of town for 2 weeks. Better believe I will be reaching out to him about who he have working for him. Had I read the reviews from the beginning would not have went to this place. Now I will post on every platform about how terrible this place is and to do business elsewhere!!,My boyfriend called this place to price a ac compressor for his vehicle and the woman hung up . He called back assuming it was a mistake and she answers  the phone in a rush very cocky attitude. Barely listens to him explaining the make and model of the vehicle before she says; were not gonna have that one and hangs up again. Rude !!,,,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;calls_unanswered;frontline_communication,,,,208,3.9,45,128,,https://www.google.com/maps/place/Auto+City+Salvage/data=!4m7!3m6!1s0x864eb0781784704f:0xfe86bd9632a6e58a!8m2!3d32.6909898!4d-96.5783176!16s%2Fg%2F1thgbwb2!19sChIJT3CEF3iwToYRiuWmMpa9hv4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,75.69,dallas,Buckner Car Audio,,,,+1 214-275-5711,,"2952 Buckner Blvd, Dallas, TX 75227, United States",https://www.google.com/maps/place/Buckner+Car+Audio/data=!4m7!3m6!1s0x864ea375aa642e07:0xd9cbfe2260c98482!8m2!3d32.7630393!4d-96.6823745!16s%2Fg%2F1td2h9x0!19sChIJBy5kqnWjToYRgoTJYCL-y9k,,,,,,,Ahmed Hamayel,President/Director,,,Ahmed Hamayel,Ahmed Hamayel,,billing_or_intake_errors,3,"NEVER GO TO BUCKNER for anything. Horrible workmanship. Quotes one price then changes it when you arrive. Over priced on radios, speaker, amps. Crazy prices on wiring kits. Whoever they have installing the window tint must go to the lake every morning, so much contamination in the film and give you an attitude when you comment on it. The ceramic film they have is NOT ceramic but they charge as if was. Better of going to ANY other shop.",I took my car here to get it tinted the tint not the problem the money part was the problem told me a cheap price that I was firm with got the they added an extra 30 talkin about it was added for taxes I don’t know what these ppl got going on but don’t bring your car up here unless u wanna get mad,,,1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;frontline_communication;service_quality_in_session,,,,428,4.2,63,292,,https://www.google.com/maps/place/Buckner+Car+Audio/data=!4m7!3m6!1s0x864ea375aa642e07:0xd9cbfe2260c98482!8m2!3d32.7630393!4d-96.6823745!16s%2Fg%2F1td2h9x0!19sChIJBy5kqnWjToYRgoTJYCL-y9k?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
