tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,primary_contact,primary_contact_channel,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_original,pain_quote_2_original,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
B,43.66,san francisco,Oakland Auto Parts,info@oaklandautoparts.com,info@oaklandautoparts.com,agent_browser_crawl,+1 510-451-2800,https://oaklandbodyparts.com,"1911 Union St, Oakland, CA 94607, United States",https://www.google.com/maps/place/Oakland+Auto+Parts/data=!4m7!3m6!1s0x80857e1f895dd495:0x5219040ad3ee7ef3!8m2!3d37.814055!4d-122.287171!16s%2Fg%2F1tpbc60f!19sChIJldRdiR9-hYAR837u0woEGVI,,,,,,,,,,,,,,frontline_communication,3,"Received two different delivery dates, parts never arrived. Tried to call to get update, call and text was ignored. Now my car is sitting in a shop for longer, because of their lack of follow through and communication.","Rudest front office cashier. Literally took my phone away from me when I showed him the discount offered online and walked away with it to another room. Found out they gave me the wrong part an hour later and when I came back took my receipt away and the part, and refused to give anything back. Combative and extremely unorganized.",,,,,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,calls_unanswered;frontline_communication;service_quality_in_session,,ok,,264,4.3,72,80,https://oaklandbodyparts.com/,https://www.google.com/maps/place/Oakland+Auto+Parts/data=!4m7!3m6!1s0x80857e1f895dd495:0x5219040ad3ee7ef3!8m2!3d37.814055!4d-122.287171!16s%2Fg%2F1tpbc60f!19sChIJldRdiR9-hYAR837u0woEGVI?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,26.21,san francisco,City Rent-A-Car,,,,+1 415-359-1331,https://www.cityrentacar.com,"321 Mason St, San Francisco, CA 94102, United States",https://www.google.com/maps/place/City+Rent-A-Car/data=!4m7!3m6!1s0x80858094fecb318f:0x3788ccf605a65dd!8m2!3d37.7863343!4d-122.4098896!16s%2Fg%2F1tdpgf39!19sChIJjzHL_pSAhYAR3WVaYM-MeAM,https://www.facebook.com/cityrentacar/,http://instagram.com/Cityrentacar,,https://www.yelp.com/biz/city-rent-a-car-san-francisco-2?adjust_creative=FajdZKtNyYkzzyYiZEV1Jw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=FajdZKtNyYkzzyYiZEV1Jw,,,,,,,,,,frontline_communication,3,"We went to San Francisco for a 9 days trip. During that time we rented a car from the City Rent a Car on Mason Str.
We were told by the employee that if we won't fill in after the trip we will be charged for the difference .
Unfortunately during the conversation employee forgot  to articulate that if we return the car without full tank we will be charged $9.95 per gallon.
Because we don't know San Francisco we couldn't find the gas station . Cosequently we returned car with an empty tank.
The next day we sent email to the company informing them about issue but we got only short regretful message that we should read our contract.
Yes, that is true. We should read the contract but customer service representative should verbalize it in front of us as well!.
Also, ppl from different countries, who don't know S F. should be given information where the closest gas station is located.
Unpleasant experience.
Do not recommend","We had an 8am reservation but no one showed up to open the desk until 8:10, drop off person was rude, car was pretty dinged up",,,1,,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;frontline_communication;service_quality_in_session,,no_email_found,,254,4.4,55,60,https://www.cityrentacar.com/,https://www.google.com/maps/place/City+Rent-A-Car/data=!4m7!3m6!1s0x80858094fecb318f:0x3788ccf605a65dd!8m2!3d37.7863343!4d-122.4098896!16s%2Fg%2F1tdpgf39!19sChIJjzHL_pSAhYAR3WVaYM-MeAM?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,23.64,san francisco,San Francisco Toyota Parts Department,aaron_ngoun@sftoyota.com,aaron_ngoun@sftoyota.com;alanna_castro@sftoyota.com;alex_kwong@sftoyota.com;allan_lam@sftoyota.com;anthony_gungab@sftoyota.com;anthony_hom@sftoyota.com;arseniy_german@sftoyota.com;christopher_stone@sftoyota.com;claire_liu@sftoyota.com;damien_fukushima@sftoyota.com;dan_vong@sftoyota.com;daniel_elvena@sftoyota.com;david_gonzalez@sftoyota.com;david_schlocker@sftoyota.com;davidc@sftoyota.com;dongn@sftoyota.com;dora_poon@sftoyota.com;dougd@sftoyota.com;edwint@sftoyota.com;eldos_orozobekov@sftoyota.com;erick_fernandez@sftoyota.com;erik_martinez@sftoyota.com;eugenioc@sftoyota.com;francisn@sftoyota.com;gabrielb@sftoyota.com;garlande@sftoyota.com;gary_cheung@sftoyota.com;guilherme_gomez@sftoyota.com;gzurab@sftoyota.com;jacky_ma@sftoyota.com;james_eagan@sftoyota.com;jasonp@sftoyota.com;jaysonc@sftoyota.com;jesus_a_navarro@sftoyota.com;johnny_lieng@sftoyota.com;jonathon_ferrari@sftoyota.com;joshs@sftoyota.com;karsten_siu@sftoyota.com;kevin_duong@sftoyota.com;lac@sftoyota.com;larry_lim@sftoyota.com;leo_kwong@sftoyota.com;luis_alonzo@sftoyota.com;mario_cruz@sftoyota.com;martha_lara@sftoyota.com;mason_garrett@sftoyota.com;mduncan@sftoyota.com;michaelm@sftoyota.com;moe_shurafa@sftoyota.com;patrick_kuang@sftoyota.com;philipy@sftoyota.com;russm@sftoyota.com;ryan_dong@sftoyota.com;sabrinas@sftoyota.com;sammyl@sftoyota.com;samson_li@sftoyota.com;shawn_chi@sftoyota.com;steven_huang@sftoyota.com;steven_liu@sftoyota.com;stevenk@sftoyota.com;thomas_duncan@sftoyota.com;tim_li@sftoyota.com;tommy_yu@sftoyota.com;tyroner@sftoyota.com;victor_kim@sftoyota.com;victoriao@sftoyota.com;wesley_huang@sftoyota.com;william_duran@sftoyota.com;williaml@sftoyota.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 415-592-0886,https://www.sftoyota.com/car-service-san-francisco-ca,"4099 Geary Blvd, San Francisco, CA 94118, United States",https://www.google.com/maps/place/San+Francisco+Toyota+Parts+Department/data=!4m7!3m6!1s0x80858739a56e7249:0x4009d6400afdfcb7!8m2!3d37.7808902!4d-122.4625802!16s%2Fg%2F11f03lkccd!19sChIJSXJupTmHhYARt_z9CkDWCUA,https://www.facebook.com/SanFranciscoToyota,https://www.instagram.com/mrd_sft/;https://www.instagram.com/sanfranciscotoyota/,,,,https://www.youtube.com/@sanfranciscotoyota,Edwin Tan,Vice President & General Manager,,,Edwin Tan;Doug Donnellan;Thomas Duncan,Edwin Tan,edwint@sftoyota.com,frontline_communication,2,"Very inept employees at the parts department counter. I was picking up a part and they had no idea what was going on. A black man and an older white man on duty. Looked at each other like I was stupid. But the part I was picking up was right behind them with my name on it.  Cmon guys, hire some people that are some what competent and know at least to be nice and courteous. It’s not that difficult. Please don’t waste your time or money supporting this behavior","They had my parts.
I don't know if the staff were bored, sleepy or something else, but they acted and appeared ENTIRELY unmotivated and disinterested. …",,,1,,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,followup_dropped;frontline_communication,,ok,,140,4.6,83,90,,https://www.google.com/maps/place/San+Francisco+Toyota+Parts+Department/data=!4m7!3m6!1s0x80858739a56e7249:0x4009d6400afdfcb7!8m2!3d37.7808902!4d-122.4625802!16s%2Fg%2F11f03lkccd!19sChIJSXJupTmHhYARt_z9CkDWCUA?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,1,FALSE,FALSE,
C,22.35,san francisco,All Tire,,,,+1 415-626-1557,https://www.alltiresfc.com,"359 Potrero Ave, San Francisco, CA 94103, United States",https://www.google.com/maps/place/All+Tire/data=!4m7!3m6!1s0x808f7e31f4b7426d:0x59369b9a6db9215d!8m2!3d37.7651585!4d-122.4071726!16s%2Fg%2F1td5xd33!19sChIJbUK39DF-j4ARXSG5bZqbNlk,,,,,,,Ben Sanchez,Owner,,,Ben Sanchez,Ben Sanchez,https://www.instagram.com/alltiresfc/,frontline_communication,2,"Contacted them to inquire about tire availability. The person was not at all knowledgeable and further was rude and snapped at me when I was asking for clarification, raising his voice with, ""what do you mean what do I mean? I answered your …","Couldn’t even look at the tire, very dismissive and unhelpful.",,,,,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,frontline_communication;service_quality_in_session,,cloudflare_blocked,,112,4.1,74,81,https://www.alltiresfc.com/,https://www.google.com/maps/place/All+Tire/data=!4m7!3m6!1s0x808f7e31f4b7426d:0x59369b9a6db9215d!8m2!3d37.7651585!4d-122.4071726!16s%2Fg%2F1td5xd33!19sChIJbUK39DF-j4ARXSG5bZqbNlk?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,21.48,san francisco,Metric Motors,,,,+1 415-626-6234,,"1480 Howard St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/Metric+Motors/data=!4m7!3m6!1s0x8085809d7e48ec23:0x229d40178fff1655!8m2!3d37.7734831!4d-122.4154684!16s%2Fg%2F1v2pqfp6!19sChIJI-xIfp2AhYARVRb_jxdAnSI,,,,,,,,,,,,,,frontline_communication,2,"Rude jerks always parked illegally and driving customer cars dangerously. Would avoid.
Cute dog though.
Edited to add details at owner's request. You can look at their response and decide for yourself if this is the sort of person you want to entrust your safety to.","Rude jerks always parked illegally and driving customer cars dangerously. Would avoid.
Cute dog though. …",,,1,,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,calls_unanswered;frontline_communication,,,,78,4.7,35,41,,https://www.google.com/maps/place/Metric+Motors/data=!4m7!3m6!1s0x8085809d7e48ec23:0x229d40178fff1655!8m2!3d37.7734831!4d-122.4154684!16s%2Fg%2F1v2pqfp6!19sChIJI-xIfp2AhYARVRb_jxdAnSI?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,20.85,san francisco,Toscalito Tire & Service,customercare@sun.auto,customercare@sun.auto,agent_browser_crawl,+1 415-903-2846,https://www.toscalito.com/locations/ca/sanfrancisco/auto-repair-2342-lombard-street,"2342 Lombard St, San Francisco, CA 94123, United States",https://www.google.com/maps/place/Toscalito+Tire+%26+Service/data=!4m7!3m6!1s0x808580d6b1121ca1:0x3cb1a356f701a9fb!8m2!3d37.7994936!4d-122.4400712!16s%2Fg%2F1td5ly31!19sChIJoRwSsdaAhYAR-6kB91ajsTw,https://www.facebook.com/Toscalitotire,,,,,,,,,,,,,booking_friction,2,"I start ratings with 5 stars. Toscalito lost 1 star for the 3 separate times I made appointments and showed up to be told they do not have my appointment on record. They lost another star when they made absolutely no effort to remedy that issue with the appointments. All I got was “sorry there is nothing we can do.” They lost another star when I finally was able to get in. They determined that my air filter needed to be replaced. Instead of calling to see if I wanted to get it done same day, they emailed me about it then called directly after saying my car was ready with no mention of the air filter. It seems Toscalito has no interest in providing any customer service as they know they’ll have plenty of other customers come through based on their location. Fine for them, but it leads to poor service on the actual vehicles when they have no price in actually ensuring that your vehicle is leaving there in the best shape it needs to be… as is proven by the air filter on my vehicle. It’s a minor detail but one that demonstrates the quality of care they take on your vehicle.",It seems some staff here have truly mastered the art of customer service — answering questions without even looking at the customer. Quite an unusual talent. Perhaps learning a little more about how to treat customers would be just as useful as knowing about tires,,,2,1,Voice AI Booking + Agentic Self-Service,silverthreadlabs.com/services/voice-agents,booking_friction;frontline_communication,,ok,,482,4.7,4,10,https://www.toscalito.com/locations/ca/sanfrancisco/auto-repair-2342-lombard-street?utm_source=local_listing&utm_medium=organic&utm_campaign=store_3441,https://www.google.com/maps/place/Toscalito+Tire+%26+Service/data=!4m7!3m6!1s0x808580d6b1121ca1:0x3cb1a356f701a9fb!8m2!3d37.7994936!4d-122.4400712!16s%2Fg%2F1td5ly31!19sChIJoRwSsdaAhYAR-6kB91ajsTw?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,20.72,san francisco,My Mechanic,,,,+1 415-864-0113,,"358 10th St, San Francisco, CA 94103, United States",https://www.google.com/maps/place/My+Mechanic/data=!4m7!3m6!1s0x8085807f6c7d1df1:0x792322a1eda74062!8m2!3d37.7718784!4d-122.4123407!16s%2Fg%2F1tdr3jvg!19sChIJ8R19bH-AhYARYkCn7aEiI3k,,,,,,,,,,,,,,billing_or_intake_errors,2,Car took three months to finish. The estimate was $500. But after all work was finished the total ended up at over $3500.  The vehical is broken again after less then 100miles traveled.  I have returned it and am anxious to see how the manager responds to this list of repeat issues.,Took my car here to fix my brakes and they changed my oil without my permission and tried to charge me 100 bucks for a simple oil change. Don't go here they'll try to steal your money.,,,,,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;frontline_communication,,,,51,4.5,27,35,,https://www.google.com/maps/place/My+Mechanic/data=!4m7!3m6!1s0x8085807f6c7d1df1:0x792322a1eda74062!8m2!3d37.7718784!4d-122.4123407!16s%2Fg%2F1tdr3jvg!19sChIJ8R19bH-AhYARYkCn7aEiI3k?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,20.0,san francisco,Rex Auto Services,,,,+1 415-664-4223,,"2120 Taraval St Unit 5, San Francisco, CA 94116, United States",https://www.google.com/maps/place/Rex+Auto+Services/data=!4m7!3m6!1s0x808f7d831c10ea03:0xb4b9059cc8f0250a!8m2!3d37.7427272!4d-122.4889074!16s%2Fg%2F1vb9d8w8!19sChIJA-oQHIN9j4ARCiXwyJwFubQ,,,,,,,,,,,,,,calls_unanswered,2,"If I could rate this experience any less I would.  Step into Rex Auto Service being forewarned! Prepare for the worst. The most unprofessional shop I have ever encountered in my 50 years! Simply walk in and look at the disorganization and sad conditions of the place. I truly feel sorry for the sole overworked mechanic that works there (look at the low lighting conditions).
I dropped off my car early hoping to hear a diagnosis by end of day; heard nothing. Phone calls go unanswered. I visit the shop on day 2 and hear what they are planning to do. Unable to contact them once again, I visited the shop again on day 4 and was told that they need more time after changing 2 spark plugs and 2 coils (a one hour job). Day 7! Phone calls were useless. I visited Rex Auto Repair once again only to be told the EXACT same thing I was told 3 days prior. Evidently no work was done on it for the past 3 days with no reason and no apologies other than “we’ve been busy”. I decided to just give up on Rex Auto and would suggest anyone reading this would do themselves a favor by doing the same. There is no way they can stay in business like this for much longer. Good luck!!",,,,1,,Voice AI Agents (Inbound Coverage),silverthreadlabs.com/services/voice-agents,calls_unanswered;followup_dropped,,,,86,4.6,50,56,,https://www.google.com/maps/place/Rex+Auto+Services/data=!4m7!3m6!1s0x808f7d831c10ea03:0xb4b9059cc8f0250a!8m2!3d37.7427272!4d-122.4889074!16s%2Fg%2F1vb9d8w8!19sChIJA-oQHIN9j4ARCiXwyJwFubQ?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,19.6,san francisco,Liam Donald Original parts store supply,,,,,,"197 Duboce Ave, San Francisco, CA 94103, United States",https://www.google.com/maps/place/Liam+Donald+Original+parts+store+supply/data=!4m7!3m6!1s0x808f7f00190151d9:0xe3193bdf42782342!8m2!3d37.7696118!4d-122.4243769!16s%2Fg%2F11y5vhqrff!19sChIJ2VEBGQB_j4ARQiN4Qt87GeM,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,0.0,0,0,,https://www.google.com/maps/place/Liam+Donald+Original+parts+store+supply/data=!4m7!3m6!1s0x808f7f00190151d9:0xe3193bdf42782342!8m2!3d37.7696118!4d-122.4243769!16s%2Fg%2F11y5vhqrff!19sChIJ2VEBGQB_j4ARQiN4Qt87GeM?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,malformed
C,17.59,san francisco,Autobody Detail Specialist - ADS,mario@ads-sf.com,mario@ads-sf.com;mario@ads-booking.com,gosom_scraper;gosom_scraper,+1 415-610-8922,http://autobodydetailspecialist.com,"2230 3rd St, San Francisco, CA 94107, United States",https://www.google.com/maps/place/Autobody+Detail+Specialist+-+ADS/data=!4m7!3m6!1s0x808f7efeffffffff:0xf91c17121ad9c254!8m2!3d37.7611985!4d-122.3889314!16s%2Fg%2F11hczycgfq!19sChIJ______5-j4ARVMLZGhIXHPk,,https://www.instagram.com/tmt_ads/,,http://yelp.com/biz/autobody-detail-specialist-ads-mobile-san-francisco,https://www.tiktok.com/@tmt_ads,,Mario,Owner,,,Mario,Mario,mario@ads-sf.com,billing_or_intake_errors,2,Be extremely cautious with this shop owner— little person size 4 shoe feeling ironman 🤣classic BAIT AND SWITCH tactics at play. …,"Almost three times the price of most shops in the Bay, plus the rude attitude from a little guy who I think was the business owner. I went with Lux Tint who is also a XPEL dealer in Livermore and paid almost $3k less for the same full PPF service. My vehicle looks flawless.",,,,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;frontline_communication,,ok,,29,4.1,17,23,http://autobodydetailspecialist.com/,https://www.google.com/maps/place/Autobody+Detail+Specialist+-+ADS/data=!4m7!3m6!1s0x808f7efeffffffff:0xf91c17121ad9c254!8m2!3d37.7611985!4d-122.3889314!16s%2Fg%2F11hczycgfq!19sChIJ______5-j4ARVMLZGhIXHPk?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,1,FALSE,FALSE,
