tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
A,71.57,dallas,John Burns MD,info@drjohnburns.com,info@drjohnburns.com,gosom_scraper,+1 214-515-0002,https://drjohnburns.com,"9101 N Central Expy #600, Dallas, TX 75231, United States",https://www.google.com/maps/place/John+Burns+MD/data=!4m7!3m6!1s0x864e9fbff9be6b1b:0x909a8b9e07e52ce7!8m2!3d32.8723807!4d-96.7712803!16s%2Fg%2F1tdylmfr!19sChIJG2u--b-fToYR5yzlB56LmpA,https://www.facebook.com/drjohnburns/,https://instagram.com/drjohnburns,,,,https://www.youtube.com/user/DrJohnBurns,"John L. Burns Jr., MD","President, Dallas Plastic Surgery Institute",,,John Burns-,frontline_communication,6,"My results are ugly. I was very specific with what I asked for and I got the complete opposite. I got exactly what I was afraid of.

I asked for my implants to sit slightly higher than natural without them looking like I had them super pushed up. They sit low.

I asked for my implants to be close together since my breast naturally sit far apart. They are still far apart and even slide COMPLETELY into my armpits when I lay down. It looks horrible.

I asked if my implants would look “tight” since I had little breast tissue to begin with, Dr said no… a lie considering my implant is very visible.

Not only that, but my entire breasts are numb. Not just the incision, the whole breast. It is extremely uncomfortable everyday all day.

They look worse than what I started with and I was told I could “always come back for a revision”.
So I should pay for a whole new surgery when I should have gotten what I paid for the first time? How upsetting and disappointing.","Six years post-operation & I still have issues with my left breast. Went to him a few weeks after, only for him to gaslight me like I had body dysmorphia after taking a measuring tape to measure the dimensions. My left doesn’t feel like my body, because of the numbness & nerve damage as well as the sizing & the way it sits, depending on how I lay. Cramps & muscle spasms happen often, especially during my workouts on just that one side. Sometimes, I have to wear a sports bra to alleviate the discomfort. It’s higher than the other, and it’s more than a cup size smaller than the perfectly fine one, too. Pretty obvious every time I wear sports bras at the gym, so I have to pad it a little more on that side to not make me so lopsided. Plus, my underwire marks are not aligning, as one is right under my good one, but a space on the other. Almost got a revision with him, but ended up canceling after putting down a partial payment & loss some of it, but it’s okay, because I couldn’t trust him enough to go through with it. A small loss, beats an even worse surgical experience with him. Also, refunding for anesthesia took months. Just a bad experience overall. Issue is still evident till this very day, & can’t stand to even touch my left breast, or even look myself in mirror most days. Complications happen, but gaslighting me is insane, especially when the discomfort is there, & not the aesthetics.",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;booking_friction;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,ok,,181,4.7,15,156,https://drjohnburns.com/,https://www.google.com/maps/place/John+Burns+MD/data=!4m7!3m6!1s0x864e9fbff9be6b1b:0x909a8b9e07e52ce7!8m2!3d32.8723807!4d-96.7712803!16s%2Fg%2F1tdylmfr!19sChIJG2u--b-fToYR5yzlB56LmpA?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,12,FALSE,FALSE,
A,69.99,dallas,"Lam Facial Plastics - Samuel M. Lam, MD, FACS",,,,+1 972-312-8188,https://www.lamfacialplastics.com,"6101 Chapel Hill Blvd STE 101, Plano, TX 75093, United States","https://www.google.com/maps/place/Lam+Facial+Plastics+-+Samuel+M.+Lam,+MD,+FACS/data=!4m7!3m6!1s0x864c237db6b38257:0x9de1bd44a6679d9a!8m2!3d33.0343639!4d-96.8327132!16s%2Fg%2F1tdqtygq!19sChIJV4Kztn0jTIYRmp1npkS94Z0",https://www.facebook.com/drlamface,https://www.instagram.com/lfpdallas/,,,,https://www.youtube.com/@samlammd,"Samuel M. Lam, MD, FACS",Founder & Facial Plastic Surgeon,https://www.linkedin.com/in/samlammd,,Samuel M LAM;Dr Lam;Lam Custom,followup_dropped,6,"I underwent two Follicular Unit Transplantation (FUT) hair transplants with Dr. Lam, one in 2008 and another in 2023.

The technician in 2008 was highly experienced and did an excellent job.

However, the 2023 procedure was handled by a different technician, and the experience was vastly different.

The procedure was INEFFECTIVE, the post-procedure care was POOR, and the overall process was disorganized.

I paid more than $14,000 for the 2023 procedure, but I could have achieved far better results with significantly less discomfort at other centers.

Unfortunately, I can no longer recommend Dr. Lam and would strongly advise others to consider alternative options.","Had a consultation for restoration and the experience was rushed. The initial nurse that came in to collect my information was not personable. After pictures, the doc literally looked at my head for 3 seconds and offered a scalp tattoo common to black male hair styles. He didn't have a thorough look at my head at all and I don't think the consultation was worth $100. I waited 6 months for this consultation because I never received word back about the virtual consultation. If you aren't experienced with working with Black hair, Black people, Black culture then it's probably a good idea to articulate that somewhere on your website because my money is still GREEN.",1,1,Agentic AI Systems (Autonomous Follow-up),silverthreadlabs.com/services/agentic-ai,billing_or_intake_errors;booking_friction;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,no_email_found,,396,4.6,34,362,https://www.lamfacialplastics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp&utm_term=Samuel-M-Lam-MD-FACS-LamFacial-Plastics&utm_content=website,"https://www.google.com/maps/place/Lam+Facial+Plastics+-+Samuel+M.+Lam,+MD,+FACS/data=!4m7!3m6!1s0x864c237db6b38257:0x9de1bd44a6679d9a!8m2!3d33.0343639!4d-96.8327132!16s%2Fg%2F1tdqtygq!19sChIJV4Kztn0jTIYRmp1npkS94Z0?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,
B,55.08,dallas,"Bradley Hubbard, MD",,,,+1 214-370-4813,http://bradleyhubbardmd.com,"9101 N Central Expy #600, Dallas, TX 75225, United States","https://www.google.com/maps/place/Bradley+Hubbard,+MD/data=!4m7!3m6!1s0x864e9fbff9be6b1b:0x7bd227db628ffedd!8m2!3d32.8724281!4d-96.7712781!16s%2Fg%2F124stg9n5!19sChIJG2u--b-fToYR3f6PYtsn0ns",,,,,,,,,,,,frontline_communication,4,"Extremely rude and unhelpful receptionist, called inquiring information about a breast reduction and their insurance policy. I stated looking for the surgery to be done this year she stated it was unavailable and ended the conversation, hung up in my face immediately, gave me no opportunity to ask any questions and had an attitude. Almost acted as if I was bothering her by calling this office zero customer service skills…","Dr Hubbard did my breast augmentation a few years ago. Never have I been satisfied with my breast. He did a implant exchange, lift and made my breast areola smaller, as I asked for, however he left half of the areola coming down my scar..I told him I was very unhappy with the work bc it looked like left-over areola, however he claimed at that in time it would go away bc it’s a scar. Well few years later it in fact never went away. Looks so ugly and I’m embarrassed to wear certain bikini tops bc nothing hides the look of them. I can’t even wear certain lingerie tops because you could see the areola tied into the scar in those too! If I could change and do little more research I definitely would have.",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;booking_friction;followup_dropped;frontline_communication,,open_error,,91,4.6,9,84,http://bradleyhubbardmd.com/,"https://www.google.com/maps/place/Bradley+Hubbard,+MD/data=!4m7!3m6!1s0x864e9fbff9be6b1b:0x7bd227db628ffedd!8m2!3d32.8724281!4d-96.7712781!16s%2Fg%2F124stg9n5!19sChIJG2u--b-fToYR3f6PYtsn0ns?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,
B,54.94,dallas,Lemmon Avenue Plastic Surgery and Laser Center,info@lemmonavenuedallas.com,info@lemmonavenuedallas.com,agent_browser_crawl,+1 214-702-0707,http://www.lemmonavenueplasticsurgery.com,"2801 Lemmon Ave # 300, Dallas, TX 75204, United States",https://www.google.com/maps/place/Lemmon+Avenue+Plastic+Surgery+and+Laser+Center/data=!4m7!3m6!1s0x864e992b48a2f337:0xfe68583b2e7d4373!8m2!3d32.8040551!4d-96.7965361!16s%2Fg%2F1tgq71kv!19sChIJN_OiSCuZToYRc0N9LjtYaP4,https://www.facebook.com/lemmonavenueofficial/,https://instagram.com/lemmonavenue,,,,https://www.youtube.com/channel/UC8VPAHl1YOsQGMAcuBxF99Q,,,,,Cary Deuber,booking_friction,4,"I have given Lemmon Avenue a chance far too many times, but I continue to be disappointed with the treatment received by the staff, Dr. Deuber and Tetchie Tagayuna.

There is a constant issue with scheduling appointments, only to have the staff text and ask that you come in earlier to accommodate the injector's time. And when you arrive you still spend upwards of an hour in the waiting room.

Dr Deuber's bed-side manner is non-existent and despite my concerns and dissatisfaction about the results of my rhinoplasty no additional concern or action was ever taken by Deuber or his staff.

I respect myself, my time, and my money far too much to continue to visit Lemmon Avenue.","If I could give this place no stars it would be minus stars. I was 10 minutes late for my appointment bc of rush hour traffic, waited in lobby for 5 minutes to be told appointment canceled because Jen was running late for her dinner. I was treated better in DMV and I actually wanted to spend more money than my appointment was for. No customer skills whatsoever, will never recommend this place. There are plenty other better options out there I know. If I would treated my clients like this I would be out of work. The procedure I had done previously was not really exceptional anyway.

Adding to your respond from Lemmon surgery place.
10 minutes is NOT severely late and certainly not late, to cancel procedure you scheduled  me for because you were running late for dinner. Please have a facts correct before you respond.",1,1,Voice AI Booking + Agentic Self-Service,silverthreadlabs.com/services/voice-agents,booking_friction;followup_dropped;frontline_communication;service_quality_in_session,,ok,,444,4.9,14,415,http://www.lemmonavenueplasticsurgery.com/,https://www.google.com/maps/place/Lemmon+Avenue+Plastic+Surgery+and+Laser+Center/data=!4m7!3m6!1s0x864e992b48a2f337:0xfe68583b2e7d4373!8m2!3d32.8040551!4d-96.7965361!16s%2Fg%2F1tgq71kv!19sChIJN_OiSCuZToYRc0N9LjtYaP4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,50.98,dallas,Dr. Dallas Robert Najera- Najera Plastic Surgery,,,,+1 469-234-8890,https://najeraplasticsurgery.com,"3140 Legacy Dr STE 210, Frisco, TX 75034, United States",https://www.google.com/maps/place/Dr.+Dallas+Robert+Najera-+Najera+Plastic+Surgery/data=!4m7!3m6!1s0x864c3d73681db21f:0x952e7f268a2e5d90!8m2!3d33.1048031!4d-96.840887!16s%2Fg%2F11f63ybdd2!19sChIJH7IdaHM9TIYRkF0uiiZ_LpU,,,,,,,,,,,,calls_unanswered,5,"Upon doing research and having my initial consultation with Dr Dallas I was sure I had chose the right place for my gluteal implant procedure. Unfortunately now I know better. I had looked at clinics in different countries that where cheaper and had stellar reviews but I decided it was worth spending the extra money to feel safe and more at ease. My overall experience made me feel very unsafe in the care of this clinic. I was given a 24/7 care # and there were times my questions went unanswered for hrs or until their business day started at 9am. I was made to feel like just another #. After establishing a connection via text I was questioned several days later, who was I, Yet once a turn for the worst happen and I reached out I was quickly referred to by my first name.
All of my concerns were met with “the drs not concerned, just keep taking your antibiotic/keep area clean”. Unfortunately for me the first time the Dr took concern he was  forced to rip out of me the very thing he placed in me 15days prior now full of infection. I was told that unfortunately infections do happen but I believe it could have been treated earlier if someone had just listened when I said I had a fever, when I said I had blood in my urine, when my drainage changed color, consistency, smell and volume. When I said my drains started leaking at the incision area to the point I was cleaning myself up a few times a day because it seemed I had more leakage on the outside of my body than I did inside the drain. I believe that had standard care been  practiced 4 days prior when I went in complaining of fever and drainage change (I.e tested a sample of discharged, took blood or urine sample to identify type of infection) there would have been a different outcome because I would have been treated more effectively. The day I went in drenched in yellow infectious discharge that drained from my body uncontrollably and shaking with fever I was asked for a urine sample as “standard procedure” before operation to see if I had smoked cigarettes. The wonder of what could have been avoided had these standard procedures been applied days prior. This office has many 5star reviews… which made me choose them. Unfortunately I didn’t receive 5star care. If you choose this company I pray you have a better outcome.","If I could ever even get an appointment I could review his work, however I can't even get a callback about an appointment.

I originally left messages last year after being referred by my family doctor. I called and left 3-4 messages days apart because I could never get a live person.

So I tried again - last week I called and left a message, and got a return call on Monday (May 23) was told the person doing the scheduling wasnt  in until the next day so they would call me back. I got a missed call and returned the call and was told she wasn't available. They took my name and number down and said they would call me back by the end of the day. No callback that day or the next day. I called again and left yet another voicemail trying to sound calm, despite my aggravation. Still no callback.

The first number they called me on to callback goes right to voicemail and the other had me on hold for about 10 minutes until prompting me to leave a message.

I've exhausted all resources in my attempt to reach them as no one is answering at any of the options nor returning any messages. Don't waste your time - I will be seeking a new referral.",1,1,Voice AI Agents (Inbound Coverage),silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;booking_friction;calls_unanswered;followup_dropped;frontline_communication,,cloudflare_blocked,,337,4.8,12,233,https://najeraplasticsurgery.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,https://www.google.com/maps/place/Dr.+Dallas+Robert+Najera-+Najera+Plastic+Surgery/data=!4m7!3m6!1s0x864c3d73681db21f:0x952e7f268a2e5d90!8m2!3d33.1048031!4d-96.840887!16s%2Fg%2F11f63ybdd2!19sChIJH7IdaHM9TIYRkF0uiiZ_LpU?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,49.55,dallas,"George A. Toledo, MD: Highland Park Plastic Surgery Center",,,,+1 214-363-4444,https://toledoplasticsurgery.com,"6110 Sherry Ln, Dallas, TX 75225, United States","https://www.google.com/maps/place/George+A.+Toledo,+MD:+Highland+Park+Plastic+Surgery+Center/data=!4m7!3m6!1s0x864e9e44e8c621a7:0xb431008d0840c893!8m2!3d32.8618855!4d-96.8063419!16s%2Fg%2F1tf7bhtx!19sChIJpyHG6ESeToYRk8hACI0AMbQ",https://www.facebook.com/HighlandParkPlasticSurgeryCenter/,https://www.instagram.com/toledo_plastic_surgery/,,,https://www.tiktok.com/@drgeorgetoledo?lang=en,https://www.youtube.com/user/DrGeorgeToledo,,,,,,frontline_communication,2,"***Update***

I’m updating this review after reading Dr. Toledo’s reply, which is completely inaccurate and misleading. To set the record straight: not once did he ask any mental health questions, perform any kind of evaluation, or have the right to make such a reckless claim about me.

My appointment lasted less than 10 minutes total - not “almost an hour” as he claims. The imaging portion took under a minute, and the moment I asked to see a few small adjustments, he became visibly impatient and dismissive. He walked out and returned saying he “can’t fix my brain” and that I’d be “nitpicking every angle.” That comment was degrading, completely uncalled for, and crossed every line of professionalism.

Declining a surgery is one thing. Lying publicly about a patient’s mental health to justify disrespectful behavior is another. His response is not only dishonest but manipulative, and it shows exactly the type of arrogance I experienced in that room. I stand by every single word of my review..no patient deserves to be spoken to or treated this way.

------------------------------------

I am deeply hurt and disappointed by my recent consultation with Dr. Toledo. I previously had a minor surgery with him back in June that went very well, so I was excited to come back for a rhinoplasty consultation. Sadly, this experience left me in tears and I’ve never looked at myself this way the way I’ve been insulted by someone I trusted so much.

At first, he was direct, which I appreciated because not a lot of doctors are..I’ll give him that. But once we got to the imaging, things went downhill. He spent about 10 secs creating one potential outcome on the computer and expected me to accept it without further discussion. When I asked questions and requested a few tweaks so I could see every angle, he became dismissive. The entire “consult” was 5 mins including the time I walked in the door and he came in the room, to me sitting down for imaging.

Dr. Toledo left the room, then came back sighing and told his nurse he “can’t perform on me” because I “have body dysmorphia.” He then said he “can’t fix my brain” and grabbed a mirror saying I’d be “nitpicking every angle of my nose”. This was all because I wanted a consultation longer than a few mins to make sure I understood the results before investing my hard-earned money for something I’ve wanted for my birthday/grad/Christmas gift to myself. He said “he doesn’t perform on people like that” implying there’s something wrong with me. I was so shocked and hurt.

I took off work early for this appointment and was genuinely excited, but instead I was insulted and left in tears. I never expected this from anyone especially a doctor I trusted. No patient deserves to be treated this way. I will also be reporting this experience to the medical board.","Dr. Toledo has no bedside manner, he spoke to me as if he was bothered to speak with me. I paid $150 consultation fee just to have him make me feel like I was a nuisance to him. He should learn from his staff, the ladies in the office are all very nice and courteous. I will not go back, it’s already difficult for someone to go in and bare themselves in front of someone to discuss their physical insecurities, let alone to be made to feel insignificant. While honesty is always appreciated, the tact or delivery of the message needs to have a certain level of empathy.",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,frontline_communication;service_quality_in_session,,no_email_found,,152,4.4,18,139,https://toledoplasticsurgery.com/?utm_source=google&utm_medium=localsearch&utm_campaign=gmb,"https://www.google.com/maps/place/George+A.+Toledo,+MD:+Highland+Park+Plastic+Surgery+Center/data=!4m7!3m6!1s0x864e9e44e8c621a7:0xb431008d0840c893!8m2!3d32.8618855!4d-96.8063419!16s%2Fg%2F1tf7bhtx!19sChIJpyHG6ESeToYRk8hACI0AMbQ?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,
B,43.04,dallas,J Hopkins Plastic Surgery,contact@drjhopkins.firmmedia.org,contact@drjhopkins.firmmedia.org,gosom_scraper,+1 972-587-9206,https://drjhopkins.com,"3450 W Wheatland Rd #425, Dallas, TX 75237, United States",https://www.google.com/maps/place/J+Hopkins+Plastic+Surgery/data=!4m7!3m6!1s0x864e910a55e4553b:0x509f1a65e540796b!8m2!3d32.645891!4d-96.876589!16s%2Fg%2F1tfj3kx8!19sChIJO1XkVQqRToYRa3lA5WUan1A,https://www.facebook.com/J-Hopkins-Plastic-Surgery-912914772173315/,https://www.instagram.com/jhopkinsplasticsurgery/,,,,https://www.youtube.com/channel/UCtNq6zs6ggrk74n9hypIFHw,,,,,Jeffrey D. Hopkins;Meet Jeffrey;Dr J Hopkins;Hopkins Gallery;DR Hopkins,calls_unanswered,4,"I really wanted to get the same experience other people experienced with Dr. Hopkins but unfortunately his front office staff has prevented that. I completed out the online form to get a consultation but got no response & its been over almost 2 weeks. I called the office last week & provided my insurance information for the lady to check. She said she would call me back but guess what? Nothing! I have even had my insurance directly call the office to confirm whether or not Dr. Hopkins still accepts my insurance & once again, they stated they would call the patient (me) to give me an update yet I have heard NOTHING from them!!

It really shouldn’t be this difficult & the front staff should have a list readily available noting what current insurance plans are accepted. Now I’m back to searching for another surgeon!

Update: Ironically I received a call from the office right after this was posted to give them a callback. For what exactly? I no longer have interest as I stated. Yet their Google response states they don’t have records of anything.","I am very satisfied with the procedure that was performed but the front desk is the ABSOLUTELY the worst with the exception of on one kind lady. I apologize to the lady at the front desk for giving her a hard time because my employer was giving me a hard time for paperwork that should have been filled out by the staff and her response was "" oh you can't give me no hard time I will just look at the caller ID and don't answer"" I was so shocked, and I couldn't say anything because I needed the requested documentation. As of today, after surgery and returning back to work tomorrow I called to make an appointment because for some reason I am having pain and could not get an appointment because they are booked which is crazy, If a patient ( that had surgery) is asking for an appointment because he/she is in pain I would think it would be important to make sure he/she is seen, not at this office you will get excuse after excuse for the horrible care. Again, the Dr perform very well it is the front desk with the lack of concern or care for you. I DO NOT RECOMMEND.",1,1,Voice AI Agents (Inbound Coverage),silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication,,ok,,163,4.8,7,134,https://drjhopkins.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,https://www.google.com/maps/place/J+Hopkins+Plastic+Surgery/data=!4m7!3m6!1s0x864e910a55e4553b:0x509f1a65e540796b!8m2!3d32.645891!4d-96.876589!16s%2Fg%2F1tfj3kx8!19sChIJO1XkVQqRToYRa3lA5WUan1A?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,40.59,dallas,Lone Star Plastic Surgery: Dr. Sean Hill,,,,+1 214-937-4879,https://www.lonestarplasticsurgery.com,"5550 Warren Pkwy #210, Frisco, TX 75034, United States",https://www.google.com/maps/place/Lone+Star+Plastic+Surgery:+Dr.+Sean+Hill/data=!4m7!3m6!1s0x864c3b06639f39d5:0x7bd1370b0f67f24f!8m2!3d33.1073064!4d-96.8393256!16s%2Fg%2F11gk8qrt0j!19sChIJ1TmfYwY7TIYRT_JnDws30Xs,,,,,,,,,,,,frontline_communication,4,"Dr Hill is a terrible listener. His bedside manner is poor. I was so disappointed in his approach to understanding my medical history in order to help me. He was egotistical and rude. After an injury/trauma that’s painful and affects your appearance, it’s hard enough without someone treating you like that. Would never go back, walked out of my consultation. Please don't waste your time, emotional health or $ like I did.","I visited this office for a consultation, however i was not impressed with Dr Hill.  The front desk staff gave me a warmer greeting than he did.
I felt rushed through the consultation and an unconcerned attitude from Dr Hill. He wasn’t as friendly as I expected.
He was not clear on augmentation size limits, which I thought was odd and makes me skeptical on doing business. Procedures are expensive and a major investment. I want to feel safe with my surgeon. (At least pretend you are concerned.) Overall he was discouraging more than encouraging. Telling me upfront what he can’t do, One thing I have learned, people may not remember what you said but they remember how you make them feel.",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;followup_dropped;frontline_communication;service_quality_in_session,,cloudflare_blocked,,183,4.7,11,167,https://www.lonestarplasticsurgery.com/?utm_source=google&utm_medium=local&utm_campaign=frisco-practice-website,https://www.google.com/maps/place/Lone+Star+Plastic+Surgery:+Dr.+Sean+Hill/data=!4m7!3m6!1s0x864c3b06639f39d5:0x7bd1370b0f67f24f!8m2!3d33.1073064!4d-96.8393256!16s%2Fg%2F11gk8qrt0j!19sChIJ1TmfYwY7TIYRT_JnDws30Xs?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,39.44,dallas,Noble Cosmetic Surgery,info@noblecosmeticsurgery.com,info@noblecosmeticsurgery.com,agent_browser_crawl,+1 214-227-0668,https://www.noblecosmeticsurgery.com,"6201 K Ave Suite 100, Plano, TX 75074, United States",https://www.google.com/maps/place/Noble+Cosmetic+Surgery/data=!4m7!3m6!1s0x864c1813c29cb6a9:0xf17137d2a153f5b5!8m2!3d33.0590072!4d-96.6905385!16s%2Fg%2F11c5rr_b_q!19sChIJqbacwhMYTIYRtfVTodI3cfE,https://www.facebook.com/noblecosmeticsurgery.plano?mibextid=wwXIfr,https://www.instagram.com/noblecosmeticsurgeryy/,https://www.linkedin.com/company/noble-cosmetic-surgery-plano-texas,,https://www.tiktok.com/@noblecosmeticsurgery;https://www.tiktok.com/@noblecosmeticsurgery1,https://www.youtube.com/@Noblecosmeticsurgery,,,,,Patrick C. Obasi;Meet Patrick,frontline_communication,3,"I had to change my review. They ask u to give them a review before your service is done so of course its nice because at first, they are really nice and considerate. But after the surgery everything changes.. You CANNOT talk to the Dr. anymore, and the nurse attitude changes. I had concerns about my stomach being uneven. They told me it would heal and be ok. It wasn’t. It’s been almost a year and still, my stomach is uneven and lumpy. It looks the same as before I went with lumps. I’m very self conscious of it. I wish I would have never went to this place. . Cheaper is definitely not better.","Their website stated that they offer a certain surgery and even had before/ after photos. Called and asked to make sure they offer said surgery and lady who answered said yes and scheduled me. I drove one hour only to be told they don’t offer that surgery and that their website needs to updated. No apology from anyone just “no, we don’t offer that anymore. We need to update our website”. Andrea was friendly but the NP and doctor were very stand offish. Don’t waste your time coming here especially if you live far from this location.",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,followup_dropped;frontline_communication;service_quality_in_session,,ok,,480,4.8,22,425,https://www.noblecosmeticsurgery.com/?utm_source=GBP&utm_medium=organic&utm_campaign=GBP_Plano&utm_id=GBP_Plano,https://www.google.com/maps/place/Noble+Cosmetic+Surgery/data=!4m7!3m6!1s0x864c1813c29cb6a9:0xf17137d2a153f5b5!8m2!3d33.0590072!4d-96.6905385!16s%2Fg%2F11c5rr_b_q!19sChIJqbacwhMYTIYRtfVTodI3cfE?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,38.44,dallas,Unicorn MedSpa,info@unicornmedspa.com,info@unicornmedspa.com;service@unicornmedspa.com,gosom_scraper;agent_browser_crawl,+1 214-919-3055,http://www.unicornmedspa.com,"2811 McKinney Ave #22, Dallas, TX 75204, United States",https://www.google.com/maps/place/Unicorn+MedSpa/data=!4m7!3m6!1s0x864e99d1d855b36b:0x2dc115f8474d21d6!8m2!3d32.799491!4d-96.801193!16s%2Fg%2F11rhz5zl3g!19sChIJa7NV2NGZToYR1iFNR_gVwS0,,https://www.instagram.com/unicornmedspa,,,,,,,,,,billing_or_intake_errors,4,"First they over charged me. I paid the required $20 deposit and they charged me in full the day of my appointment. I asked them if my deposit goes towards my total they said yes so I then notified them they did not remove my $20 from the total. They said they don't do refunds first (this isn't a situation where they did my hair and I didn't like it and wanted a refund. This was striaght up 100% them taking $20 extra of my money for no reason. Refund is non-negotiable) & that they will look into it. After they investigated they said they ""don't know why"" they over charged me and did refund me the extra $20 with snarky attitude ""the manager approved it"" as if there was a chance she could decline stealing my extra $20.  The second issue was the horrendous parking scenario. The email they send loosely says ""it'll ask for your card. We will validate at end"" that's it, when it should say ""at the parking garage do NOT give it your card, instead request a physical paper ticket. Save it and bring it to your appt. At the end turn in the ticket so we can pay for it. "". I even called them and asked if I was suppose to insert my card into the parking garage machine and she said YES I did it correctly. However at the end of my appt they asked for this ticket but I told them the screen said ""your credit card is your ticket"" to which she said ""you're all good to go then (:"" so I assumed everything was GOOD, until I saw I was charged TWENTY dollars for PARKING. I called asking how was I charged if they said they validate it, again they said they need to Iinvestigate to which they said they need the physical ticket they can't do anything about it. HOW IF THE GARAGE LITERALLY did NOT give me a ticket, reality I was NOT suppose to give my credit card - I was only suppose to request a ticket but this is why unicorn is at fualt for confirming I WAS suppose to put my card in (she said ""don't worry you won't be charged."") as well as not clarifying in text, email, call or in person that I need ticket. Even the link they sent me wasn't even valid as shown in images attached. They tried blaming me for wifi/service. Such a huge headache that could have been avoidable with proper communication instead of ""just figure it out"". My proof are not even sending to them. Email does not even say HOW they validate parking. English is important, coherent.","I would give this place 0 stars if I could. They will continue to up their prices without discussing it with you and then you are charged more every time after the service is completed at checkout. This happened several times to me. I would get fewer services such as getting highlights ever other visit only to have them increase the prices or add to the services I did get which would make my total higher and higher every time. I sent a message to rocky (the owner) and she stated that ""my stylist can change and increase the price of a service at anytime as they see fit"". She also sent me the price sheet which was a complete joke seeing as though the price can change at anytime so what is the point of a price sheet. As I had several communication with Rocky regarding the inconsistencies of the pricing and was told over and over that ""the stylist can change the prices at anytime as they see fit"". After not getting anywhere with management or staff and after they admitted to changing the prices and not informing me, I decided to do a charge back. After their investigation, even the credit card company ruled in our favor and we were refunded our money. This place is not about keeping clientele, they are about getting people in the door only to overcharge them and not tell them until it is time to checkout. GO ELSEWHERE AS YOU CAN FIND AN EVEN BETTER STYLIST THAT WILL NOT RIP YOU OFF (as I did) . DO NOT BE FOOLED BY ROCKY'S FRIENDLY DEMEANOR AS SHE IS ONLY ABOUT GETTING YOUR MONEY, SHE HAS NO INTEGRITY AND DOES NOT EVEN ENCOURAGE HONESTY WHEN IT COMES TO HER STYLISTS!! I ONLY WISH I WOULD HAVE LEARNED THIS LESSON SOONER!!!!",1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;booking_friction;frontline_communication;service_quality_in_session,,ok,,302,4.9,12,287,http://www.unicornmedspa.com/,https://www.google.com/maps/place/Unicorn+MedSpa/data=!4m7!3m6!1s0x864e99d1d855b36b:0x2dc115f8474d21d6!8m2!3d32.799491!4d-96.801193!16s%2Fg%2F11rhz5zl3g!19sChIJa7NV2NGZToYR1iFNR_gVwS0?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
