tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,phone_normalized,website,address,google_maps_link,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,all_pain_categories,all_recommended_services,crawl_status,research_note
A,190.21,tampa,Dental Walk-In Clinic of Tampa Bay,,,,+1 813-636-9400,,http://www.dentalwalkin.com/,"4240 W Kennedy Blvd, Tampa, FL 33609, United States",https://www.google.com/maps/place/Dental+Walk-In+Clinic+of+Tampa+Bay/data=!4m7!3m6!1s0x88c2c30326311557:0xb04999966d7e2366!8m2!3d27.944536!4d-82.515614!16s%2Fg%2F1tcvvn4g!19sChIJVxUxJgPDwogRZiN-bZaZSbA?authuser=0&hl=en&rclk=1,,,,,Mark Holmes;Mark R. Holmes;Adiba Khan;Daniel Slaybaugh;Christine Van,after_hours_emergency,8,The worst place ever ! If you are over 300 Ibs don’t go they will send you home ! I went to this place with my boyfriend because he needed an emergency tooth removal and after driving 2 hours to get there they first asked him how much he weighed ! He told them and they said okay well we can’t do any,"I came in with a severe tooth infection that swelled my entire face. I hadn’t been able to sleep in 3 days. The dentist told me I’d been “smoking too much cannabis” . Where did that even come from and how unprofessional and uncomfortable that made me feel.

They outsourced me to another dentist for",1,1,After-Hours Voice Coverage,silverthreadlabs.com/services/voice-agents/after-hours-coverage,1600,4.5,176,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/Dental-Walk-In-Clinic-135374159812336,https://www.instagram.com/dentalwalkinclinic/,,,,,after_hours_emergency;staff_rude_front_desk;long_wait_in_chair;missed_calls_unreachable;intake_paperwork_duplication;language_barrier_spanish;recall_followup_missing;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Multilingual (Spanish) Voice Agent;Outbound Recall Campaigns;Patient Intake Automation;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,153.82,austin,Emergency Dentist of Austin,info@emergencydentistofaustin.com,info@emergencydentistofaustin.com,google_maps,+1 512-961-6200,,https://emergencydentistofaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,"1030 Norwood Park Blvd #324, Austin, TX 78753, United States",https://www.google.com/maps/place/Emergency+Dentist+of+Austin/data=!4m7!3m6!1s0x8644c90a16f876a5:0x791c022b855d1ac9!8m2!3d30.3406789!4d-97.6924276!16s%2Fg%2F11synpwv5g!19sChIJpXb4FgrJRIYRyRpdhSsCHHk?authuser=0&hl=en&rclk=1,Patrick Campbell,General Dentist,https://www.linkedin.com/in/patrick-campbell-52480614/,Suzanne Dorff;Baillee Fahey,,after_hours_emergency,4,"Horrible service 😑 😪, I waited about 2 hours to be seing by the dentist.the days before they charged me 25 dollars for spot reservation and once I got there my mom was not scheduled.After giving anesthesia to my mom, it didn't work and she was still on pain. The price was exaggerated, 89 dollars for","If I could rate this office lower, I would. Avoid unless you absolutely have to come here for an emergency and no other options are available. I came in for a tiny chip in my front tooth that happened on a tooth with old composite bonding just on the bottom edge. I was leaving town on a Monday morni",1,1,After-Hours Voice Coverage,silverthreadlabs.com/services/voice-agents/after-hours-coverage,1379,4.8,72,1000,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,staff_rude_front_desk;after_hours_emergency;long_wait_in_chair;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),,
A,143.72,phoenix,Dental on Central,,,,+1 602-266-1776,,https://www.dentaloncentral.com/,"5133 N Central Ave Suite 102, Phoenix, AZ 85012, United States",https://www.google.com/maps/place/Dental+on+Central/data=!4m7!3m6!1s0x872b12c0e8dfa737:0x314088212bfeee04!8m2!3d33.5123294!4d-112.0734523!16s%2Fg%2F1tjpqzg9!19sChIJN6ff6MASK4cRBO7-KyGIQDE?authuser=0&hl=en&rclk=1,,,,,Tamer El-Gendy;Percy Twine;Anthony Herro;Joseph Santoro,staff_rude_front_desk,6,Do not bother to contact this office unless you want to wait two months to get in. As well as leave the conversationwith them having a bad taste in your mouth and mind upon hanging up.  Clearly enough to immediately write a Google review to warn others about their unprofessional and unkind attitude.,The front staff is so rude and disrespectful if it wasn’t for the Dentist & Endodontist that work here I would never go back. I took time off of work and they called me the day of my appointment saying they needed to reschedule since they didn’t realize he wouldn’t be in office that day. I get resch,1,1,AI Receptionist (consistent tone),silverthreadlabs.com/services/voice-agents/ai-receptionist,1491,4.6,149,1000,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,missed_calls_unreachable;appointment_booking_delay;staff_rude_front_desk;long_wait_in_chair;insurance_verification_missing;after_hours_emergency,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,102.49,tampa,Pediatric Dentistry of Brandon,,,,+1 813-722-0745,,https://www.pedodentbrandon.com/?utm_campaign=gmb,"3413 S Kings Ave, Brandon, FL 33511, United States",https://www.google.com/maps/place/Pediatric+Dentistry+of+Brandon/data=!4m7!3m6!1s0x88c2cdce2a9ae24f:0x3d5a73df5212b3d5!8m2!3d27.8925316!4d-82.2943376!16s%2Fg%2F1th24lks!19sChIJT-KaKs7NwogR1bMSUt9zWj0?authuser=0&hl=en&rclk=1,,,,,Lakshmi Immadi;Amy Dobrozdravic,missed_calls_unreachable,5,Had a horrible experience with my 2 year old. The doctor dropped a bomb on me and then proceeded to give me no information. No compassion. Nothing I will not be back. The office was incredibly chaotic and unorganized. It was the first time with both my toddlers so I already went in anxious. The tech,"I’m not sure if ownership has changed but the office staff certainly has and so has the level of courtesy and customer service. In the past two months, no one ever answers the phone anymore. They have you leave a message for a call back that you never receive or they randomly send multiple texts wit",1,2,Voice AI for Dental (AI Receptionist),silverthreadlabs.com/services/voice-agents/dental,1701,4.7,119,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/pediatricdentistryofbrandon,https://www.instagram.com/pediatricdentistryofbrandon/,,https://www.yelp.com/biz/pediatric-dentistry-of-brandon-brandon-2,,,staff_rude_front_desk;long_wait_in_chair;after_hours_emergency;missed_calls_unreachable;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,97.6,austin,Southpark Meadows Dental Group and Orthodontics,,,,+1 512-291-8012,,https://www.southparkmeadowsdentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A780%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTE0Njg5Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"401 W Slaughter Ln #200, Austin, TX 78748, United States",https://www.google.com/maps/place/Southpark+Meadows+Dental+Group+and+Orthodontics/data=!4m7!3m6!1s0x865b4cdaae7f47ff:0xeca97f4013573626!8m2!3d30.169111!4d-97.796548!16s%2Fg%2F12qh1k4q2!19sChIJ_0d_rtpMW4YRJjZXE0B_qew?authuser=0&hl=en&rclk=1,,,,,,missed_calls_unreachable,8,"I wanted to love it here after reading all the great reviews, but unfortunately my experience here was subpar. I'm giving 2 stars because Dr.Peterson and her staff are pleasant but that's where it ends. They have some serious communication issues here. I showed up to my first appt and I was told tha",I'm Sila. After my visit they never answer the phone and returned my messages . I also sent message through my chart . They do not care after they took the money :),2,1,Voice AI for Dental (AI Receptionist),silverthreadlabs.com/services/voice-agents/dental,397,4.2,79,397,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,missed_calls_unreachable;after_hours_emergency;insurance_verification_missing;appointment_booking_delay;staff_rude_front_desk;billing_errors;no_show_reminder_missing;long_wait_in_chair,AI Receptionist (consistent tone);After-Hours Voice Coverage;Automated Appointment Reminders;Billing Automation / Practice Management;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,88.6,phoenix,Dental Specialty Associates of Gilbert,dentalspecialtyphoenix@gmail.com,dentalspecialtyphoenix@gmail.com;gilbert@dsaofaz.com;info@ficdentistry.com;info@implantandcosmeticdentistry.com;lakeland@ficdentistry.com;phx@dsaofaz.com;preston@metapv.co;riverview@ficdentistry.com,agent_browser_crawl,+1 480-553-9676,,https://www.arizonadentalspecialists.com/?utm_campaign=gmb,"2730 S Val Vista Dr BLDG 11, #164, Gilbert, AZ 85295, United States",https://www.google.com/maps/place/Dental+Specialty+Associates+of+Gilbert/data=!4m7!3m6!1s0x872bac774786695b:0x59ba6fe59a9a69fe!8m2!3d33.2997358!4d-111.7575609!16s%2Fg%2F1vvr6p71!19sChIJW2mGR3esK4cR_mmamuVvulk?authuser=0&hl=en&rclk=1,Brian Lilien,Oral & Maxillofacial Surgeon,https://www.linkedin.com/in/brian-lilien-409a7a19/,,Brian Lilien;Lior Berger;Jose Soto;Dr Berger;Fadi Raffoul DMD;dakota pye;Cody Ellis;Mercedes Clarke-Wright;Fadi Raffoul;Charbel Klaib;Puja Patel,missed_calls_unreachable,6,"While everyone at this practice was nice, I had a horrible experience due to lack of attention to detail and incompetence.  I scheduled my 16 year old to have her wisdom teeth removed over a month prior to the procedure.  We have dual insurance. We went over this in great detail as the office was th","By far the worst dentist office ever. First visit, arrived early and waited over an hour to be seen for a short consultation for my son. After the consultation I was told the office will contact me once everything is submitted and approved by the insurance. After a month wait I called the office and",1,1,Voice AI for Dental (AI Receptionist),silverthreadlabs.com/services/voice-agents/dental,1360,4.6,108,999,FALSE,,FALSE,,1,FALSE,FALSE,,https://www.facebook.com/ICDlakeland;https://www.facebook.com/ficdentistry/;https://www.facebook.com/people/Riverview-Implant-and-Cosmetic-Dentistry/61559020027678/?_rdr;https://www.facebook.com/profile.php?id=61556821744658,https://www.instagram.com/dsaofaz/;https://www.instagram.com/ficdentistry/;https://www.instagram.com/icdlakeland/;https://www.instagram.com/icdriverview/,,https://www.yelp.com/biz/family-implant-and-cosmetic-dentistry-brandon-3;https://www.yelp.com/biz/implant-and-cosmetic-dentistry-of-lakeland-lakeland-2?osq=lakeland+implant+and+cosmetic+dentistry;https://www.yelp.com/biz/riverview-implant-and-cosmetic-dentistry-riverview-5,https://www.tiktok.com/@dsaofaz,https://www.youtube.com/@dentalspecialtyassociates,after_hours_emergency;staff_rude_front_desk;missed_calls_unreachable;appointment_booking_delay;long_wait_in_chair;insurance_verification_missing,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),ok,
A,82.49,austin,Access Dental,,,,+1 512-236-9300,,https://accessdentalclinics.com/locations/texas/austin-tx-on-east-7th-st/,"1923 E 7th St #120, Austin, TX 78702, United States",https://www.google.com/maps/place/Access+Dental/data=!4m7!3m6!1s0x8644b5b637acadc1:0x9499914fe45c245c!8m2!3d30.261995!4d-97.7210994!16s%2Fg%2F1tcv1v7w!19sChIJwa2sN7a1RIYRXCRc5E-RmZQ?authuser=0&hl=en&rclk=1,,,,,Tien Phan,long_wait_in_chair,6,I received 3 calls to confirm my appt. I confirm my appointment. Office opens at 9:00. I arrived at 8:55. A little bit of a wait to get called back.. I get it I work in the medical field too... But what's unacceptable is to be given lidocaine injections and told she'll be back in 15 minutes. Injecti,"I had recently moved to Austin. I was there a year and a half ago for my first dental appointment and the service was great I had my x-rays done and a check up and they said I had to return, cause I had a couple of cavities. I had that done and a few weeks later I had a gap between those teeth and g",2,1,Workflow Automation (Scheduling),silverthreadlabs.com/services/workflow-automation,315,3.9,90,315,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/AccessDentalClinics,https://www.instagram.com/accessdentalclinics/,,,,,staff_rude_front_desk;after_hours_emergency;long_wait_in_chair;insurance_verification_missing;appointment_booking_delay;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,77.91,austin,Round Rock Modern Dentistry,,,,+1 512-218-1900,,https://www.roundrockmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A782%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTkyOTcxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2150 E Palm Valley Blvd Ste 500, Round Rock, TX 78665, United States",https://www.google.com/maps/place/Round+Rock+Modern+Dentistry/data=!4m7!3m6!1s0x8644da81cbc73301:0x8833235fece964d7!8m2!3d30.5190768!4d-97.6522864!16s%2Fg%2F11b6g469k9!19sChIJATPHy4HaRIYR12Tp7F8jM4g?authuser=0&hl=en&rclk=1,,,,,,staff_rude_front_desk,6,"Please don’t go to this office.

I can’t speak for the doctors because I never even made it that far. But the front desk staff is completely unprofessional and disorganized. They seriously need customer service training.

I called on Tuesday, July 29th to schedule a root canal for my mom, who is in",My experience was painful..the assistant Sylvia was Rude and loud..shouting in my ear calling her coworkers..I felt pain..im considering not going back..it was a Bad Experience..,1,3,AI Receptionist (consistent tone),silverthreadlabs.com/services/voice-agents/ai-receptionist,434,4.4,73,434,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,staff_rude_front_desk;insurance_verification_missing;missed_calls_unreachable;long_wait_in_chair;appointment_booking_delay;after_hours_emergency,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
A,72.17,tampa,Family Implant and Cosmetic Dentistry - Brandon,info@ficdentistry.com,info@ficdentistry.com;info@implantandcosmeticdentistry.com;lakeland@ficdentistry.com;riverview@ficdentistry.com,agent_browser_crawl,+1 813-684-7888,,https://implantandcosmeticdentistry.com/?utm_campaign=gmb,"787 W Lumsden Rd, Brandon, FL 33511, United States",https://www.google.com/maps/place/Family+Implant+and+Cosmetic+Dentistry+-+Brandon/data=!4m7!3m6!1s0x88c2cdddc96d1653:0x45568ee83463b3fa!8m2!3d27.9224393!4d-82.2951241!16s%2Fg%2F1tk6wpr0!19sChIJUxZtyd3NwogR-rNjNOiOVkU?authuser=0&hl=en&rclk=1,Fadi Raffoul,"DMD, Owner",https://www.linkedin.com/in/fadi-raffoul-a12b65101,,Fadi Raffoul DMD;dakota pye;Cody Ellis;Mercedes Clarke-Wright;Fadi Raffoul;Charbel Klaib;Puja Patel,after_hours_emergency,7,"Hopefully you don’t have an emergency because the “on call” dentist doesn’t answer or call back. After paying almost $16000 to have crowns put on my top teeth, my front crown came out for no reason after only 6 months and nobody has called me back. Several hours and a couple of voicemails and still","I had a traumatic and painful experience with Dr. Raffoul and his office that I wouldn’t wish on anyone. What was supposed to be a routine wisdom teeth removal ended in a severe infection that left my throat nearly closed, unable to speak for hours, and ultimately required emergency surgery and a 48",1,1,After-Hours Voice Coverage,silverthreadlabs.com/services/voice-agents/after-hours-coverage,2458,4.9,76,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/ICDlakeland;https://www.facebook.com/ficdentistry/;https://www.facebook.com/people/Riverview-Implant-and-Cosmetic-Dentistry/61559020027678/?_rdr,https://www.instagram.com/ficdentistry/;https://www.instagram.com/icdlakeland/;https://www.instagram.com/icdriverview/,,https://www.yelp.com/biz/family-implant-and-cosmetic-dentistry-brandon-3;https://www.yelp.com/biz/implant-and-cosmetic-dentistry-of-lakeland-lakeland-2?osq=lakeland+implant+and+cosmetic+dentistry;https://www.yelp.com/biz/riverview-implant-and-cosmetic-dentistry-riverview-5,,,insurance_verification_missing;after_hours_emergency;staff_rude_front_desk;long_wait_in_chair;billing_errors;missed_calls_unreachable;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Billing Automation / Practice Management;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),ok,Also owns Tampa Palms Dentistry — multi-location operator
A,67.75,phoenix,Family Dental Station - Glendale,,,,+1 602-900-1148,,https://familydentalstation.com/?utm_source=google.com&utm_medium=business+profile&utm_campaign=,"5664 W Bell Rd, Glendale, AZ 85308, United States",https://www.google.com/maps/place/Family+Dental+Station+-+Glendale/data=!4m7!3m6!1s0x872b692b74658861:0xa62c112dd119be71!8m2!3d33.6392122!4d-112.1817166!16s%2Fg%2F1tf36f6c!19sChIJYYhldCtpK4cRcb4Z0S0RLKY?authuser=0&hl=en&rclk=1,,,,,Ryan Arthurs,staff_rude_front_desk,7,"Update: When you leave a bad review for this office, like in my very necessary poor review, Dr. Arthurs office tries to mitigate your poor review with a pre-typed review response. Don't be fooled by this either, they're merely trying to save face in light of their abhorrent service at this office or",My poor daughter who just battled leukemia went in for just a cleaning. Staff never communicated with me and took her wire and bands off her braces. My daughter isn't seen there for her braces! Someone walked in and questioned why would you do that? Thankfully my daughter advocated that the wire was,1,1,AI Receptionist (consistent tone),silverthreadlabs.com/services/voice-agents/ai-receptionist,965,4.7,67,955,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/familydentalstation/,https://www.instagram.com/familydentalstation/,,,,,after_hours_emergency;insurance_verification_missing;staff_rude_front_desk;long_wait_in_chair;billing_errors;no_show_reminder_missing;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Automated Appointment Reminders;Billing Automation / Practice Management;Insurance Eligibility Verification Workflow;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,
