tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,phone_normalized,website,address,google_maps_link,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,all_pain_categories,all_recommended_services,crawl_status,research_note,website_raw,google_maps_link_raw,website_redirect_target_raw
A,190.21,tampa,Dental Walk-In Clinic of Tampa Bay,,,,+1 813-636-9400,+18136369400,http://www.dentalwalkin.com,"4240 W Kennedy Blvd, Tampa, FL 33609, United States",https://www.google.com/maps/place/Dental+Walk-In+Clinic+of+Tampa+Bay/data=!4m7!3m6!1s0x88c2c30326311557:0xb04999966d7e2366!8m2!3d27.944536!4d-82.515614!16s%2Fg%2F1tcvvn4g!19sChIJVxUxJgPDwogRZiN-bZaZSbA,,,,,Mark Holmes;Mark R. Holmes;Adiba Khan;Daniel Slaybaugh;Christine Van,billing_or_intake_errors,8,I give one star because they did take care of the problem. But when I called in they said it would cost between $125 and $200 for an extraction. They also said I could do nitrous for $150 but I said I would pass as I was trying to keep the price down. I get there and they say the extraction is actua,this review is not for the doctors quality of work as we didn't get to meet one. this office was closed ( not noted online) until 1:30 today which we waited while my wife was in serious pain. when they opened they told us that they dont accept ANY insurance and the way they work is that we pay them,1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,1600,4.5,176,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/Dental-Walk-In-Clinic-135374159812336,https://www.instagram.com/dentalwalkinclinic/,,,,,after_hours_emergency;staff_rude_front_desk;long_wait_in_chair;missed_calls_unreachable;intake_paperwork_duplication;language_barrier_spanish;recall_followup_missing;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Multilingual (Spanish) Voice Agent;Outbound Recall Campaigns;Patient Intake Automation;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,http://www.dentalwalkin.com/,https://www.google.com/maps/place/Dental+Walk-In+Clinic+of+Tampa+Bay/data=!4m7!3m6!1s0x88c2c30326311557:0xb04999966d7e2366!8m2!3d27.944536!4d-82.515614!16s%2Fg%2F1tcvvn4g!19sChIJVxUxJgPDwogRZiN-bZaZSbA?authuser=0&hl=en&rclk=1,
A,153.82,austin,Emergency Dentist of Austin,info@emergencydentistofaustin.com,info@emergencydentistofaustin.com,google_maps,+1 512-961-6200,+15129616200,https://emergencydentistofaustin.com,"1030 Norwood Park Blvd #324, Austin, TX 78753, United States",https://www.google.com/maps/place/Emergency+Dentist+of+Austin/data=!4m7!3m6!1s0x8644c90a16f876a5:0x791c022b855d1ac9!8m2!3d30.3406789!4d-97.6924276!16s%2Fg%2F11synpwv5g!19sChIJpXb4FgrJRIYRyRpdhSsCHHk,Patrick Campbell,General Dentist,https://www.linkedin.com/in/patrick-campbell-52480614/,Suzanne Dorff;Baillee Fahey,,billing_or_intake_errors,4,I have been waiting since December for a refund. They owe me over 500.00 for services not rendered. they continue to give me excuses and will not return my call. stay far away.,"The prices were outrageous. I was blatantly lied to over the phone about the cost of a root canal. They quoted $650 for the root canal plus $1,500 for the crown. When I arrived, they tried to charge me $4,350 total. Be very careful with this place.",1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,1379,4.8,72,1000,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,staff_rude_front_desk;after_hours_emergency;long_wait_in_chair;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),,,https://emergencydentistofaustin.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing,https://www.google.com/maps/place/Emergency+Dentist+of+Austin/data=!4m7!3m6!1s0x8644c90a16f876a5:0x791c022b855d1ac9!8m2!3d30.3406789!4d-97.6924276!16s%2Fg%2F11synpwv5g!19sChIJpXb4FgrJRIYRyRpdhSsCHHk?authuser=0&hl=en&rclk=1,
A,143.72,phoenix,Dental on Central,,,,+1 602-266-1776,+16022661776,https://www.dentaloncentral.com,"5133 N Central Ave Suite 102, Phoenix, AZ 85012, United States",https://www.google.com/maps/place/Dental+on+Central/data=!4m7!3m6!1s0x872b12c0e8dfa737:0x314088212bfeee04!8m2!3d33.5123294!4d-112.0734523!16s%2Fg%2F1tjpqzg9!19sChIJN6ff6MASK4cRBO7-KyGIQDE,,,,,Tamer El-Gendy;Percy Twine;Anthony Herro;Joseph Santoro,frontline_communication,6,First I want to say that when I came to this place they were very nice. Terry has been nothing but rude just because we’re a low income family and knows we can’t find another Dentist for my son to have his procedure done so he will have to continue suffering with his toothache. I will continue shari,The receptionist are very very rude. They have poor communication skills bad altitudes and extremely rude… Then want ur social security number when it’s not required. Im disappointed,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,1491,4.6,149,1000,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,missed_calls_unreachable;appointment_booking_delay;staff_rude_front_desk;long_wait_in_chair;insurance_verification_missing;after_hours_emergency,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,https://www.dentaloncentral.com/,https://www.google.com/maps/place/Dental+on+Central/data=!4m7!3m6!1s0x872b12c0e8dfa737:0x314088212bfeee04!8m2!3d33.5123294!4d-112.0734523!16s%2Fg%2F1tjpqzg9!19sChIJN6ff6MASK4cRBO7-KyGIQDE?authuser=0&hl=en&rclk=1,
A,102.49,tampa,Pediatric Dentistry of Brandon,,,,+1 813-722-0745,+18137220745,https://www.pedodentbrandon.com,"3413 S Kings Ave, Brandon, FL 33511, United States",https://www.google.com/maps/place/Pediatric+Dentistry+of+Brandon/data=!4m7!3m6!1s0x88c2cdce2a9ae24f:0x3d5a73df5212b3d5!8m2!3d27.8925316!4d-82.2943376!16s%2Fg%2F1th24lks!19sChIJT-KaKs7NwogR1bMSUt9zWj0,,,,,Lakshmi Immadi;Amy Dobrozdravic,calls_unanswered,5,"Our experience was awful from the start. I should have backed out when I first had doubts but I didnt. And now I can not get through to get my sons medical records transfered to another dentist. No returned calls, texts, or answered phones. This whole practice is a nightmare.",This place will not answer my calls made my son's appointment and they moved it to July 7th and then nobody told us that they canceled our appointment and now nobody answering my calls,1,1,Voice AI Agents (Inbound Coverage),silverthreadlabs.com/services/voice-agents,1701,4.7,119,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/pediatricdentistryofbrandon,https://www.instagram.com/pediatricdentistryofbrandon/,,https://www.yelp.com/biz/pediatric-dentistry-of-brandon-brandon-2,,,staff_rude_front_desk;long_wait_in_chair;after_hours_emergency;missed_calls_unreachable;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,https://www.pedodentbrandon.com/?utm_campaign=gmb,https://www.google.com/maps/place/Pediatric+Dentistry+of+Brandon/data=!4m7!3m6!1s0x88c2cdce2a9ae24f:0x3d5a73df5212b3d5!8m2!3d27.8925316!4d-82.2943376!16s%2Fg%2F1th24lks!19sChIJT-KaKs7NwogR1bMSUt9zWj0?authuser=0&hl=en&rclk=1,
A,97.6,austin,Southpark Meadows Dental Group and Orthodontics,,,,+1 512-291-8012,+15122918012,https://www.southparkmeadowsdentalgroup.com,"401 W Slaughter Ln #200, Austin, TX 78748, United States",https://www.google.com/maps/place/Southpark+Meadows+Dental+Group+and+Orthodontics/data=!4m7!3m6!1s0x865b4cdaae7f47ff:0xeca97f4013573626!8m2!3d30.169111!4d-97.796548!16s%2Fg%2F12qh1k4q2!19sChIJ_0d_rtpMW4YRJjZXE0B_qew,,,,,,billing_or_intake_errors,8,"VERIFY YOUR INSURANCE BENEFITS BEFORE PAYING FOR ANYTHING!

I was quoted $695 for five composite fillings and a night guard and was told my insurance would not cover these items. I called my insurance after the visit and sure enough they do cover them. My copay should have been $340, not $695!

When",Please do your research about your insurance coverage because I wasted my time and they deduct and quoted me charges that should not been there. I thought the reviews were good but after reading more on yelp I see that more patients experience the same problems of incorrect billing. They were trying,1,2,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,397,4.2,79,397,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,missed_calls_unreachable;after_hours_emergency;insurance_verification_missing;appointment_booking_delay;staff_rude_front_desk;billing_errors;no_show_reminder_missing;long_wait_in_chair,AI Receptionist (consistent tone);After-Hours Voice Coverage;Automated Appointment Reminders;Billing Automation / Practice Management;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,https://www.southparkmeadowsdentalgroup.com/?sc_cid=GBP%3AO%3AGP%3A780%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTE0Njg5Mi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/maps/place/Southpark+Meadows+Dental+Group+and+Orthodontics/data=!4m7!3m6!1s0x865b4cdaae7f47ff:0xeca97f4013573626!8m2!3d30.169111!4d-97.796548!16s%2Fg%2F12qh1k4q2!19sChIJ_0d_rtpMW4YRJjZXE0B_qew?authuser=0&hl=en&rclk=1,
A,88.6,phoenix,Dental Specialty Associates of Gilbert,dentalspecialtyphoenix@gmail.com,dentalspecialtyphoenix@gmail.com;gilbert@dsaofaz.com;info@ficdentistry.com;info@implantandcosmeticdentistry.com;lakeland@ficdentistry.com;phx@dsaofaz.com;preston@metapv.co;riverview@ficdentistry.com,agent_browser_crawl,+1 480-553-9676,+14805539676,https://www.arizonadentalspecialists.com,"2730 S Val Vista Dr BLDG 11, #164, Gilbert, AZ 85295, United States",https://www.google.com/maps/place/Dental+Specialty+Associates+of+Gilbert/data=!4m7!3m6!1s0x872bac774786695b:0x59ba6fe59a9a69fe!8m2!3d33.2997358!4d-111.7575609!16s%2Fg%2F1vvr6p71!19sChIJW2mGR3esK4cR_mmamuVvulk,Brian Lilien,Oral & Maxillofacial Surgeon,https://www.linkedin.com/in/brian-lilien-409a7a19/,,Brian Lilien;Lior Berger;Jose Soto;Dr Berger;Fadi Raffoul DMD;dakota pye;Cody Ellis;Mercedes Clarke-Wright;Fadi Raffoul;Charbel Klaib;Puja Patel,followup_dropped,6,"I thought the doctor would talk to us after our son's wisdom teeth were pulled, and instead they marched our son out of the building and never let us speak to the doctor. Sad thing is, my son is special needs and they did not show the compassion that was needed.","The administrative staff here is terrible. I was going here for TMJ and later decided to get invisalign. Went in for Invisalign and almost got metal braces. Once we sorted that out and got the first molds done, I didn't hear back for months. At this point I had already paid the down payment and was",2,1,Agentic AI Systems (Autonomous Follow-up),silverthreadlabs.com/services/agentic-ai,1360,4.6,108,999,FALSE,,FALSE,,1,FALSE,FALSE,,https://www.facebook.com/ICDlakeland;https://www.facebook.com/ficdentistry/;https://www.facebook.com/people/Riverview-Implant-and-Cosmetic-Dentistry/61559020027678/?_rdr;https://www.facebook.com/profile.php?id=61556821744658,https://www.instagram.com/dsaofaz/;https://www.instagram.com/ficdentistry/;https://www.instagram.com/icdlakeland/;https://www.instagram.com/icdriverview/,,https://www.yelp.com/biz/family-implant-and-cosmetic-dentistry-brandon-3;https://www.yelp.com/biz/implant-and-cosmetic-dentistry-of-lakeland-lakeland-2?osq=lakeland+implant+and+cosmetic+dentistry;https://www.yelp.com/biz/riverview-implant-and-cosmetic-dentistry-riverview-5,https://www.tiktok.com/@dsaofaz,https://www.youtube.com/@dentalspecialtyassociates,after_hours_emergency;staff_rude_front_desk;missed_calls_unreachable;appointment_booking_delay;long_wait_in_chair;insurance_verification_missing,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),ok,,https://www.arizonadentalspecialists.com/?utm_campaign=gmb,https://www.google.com/maps/place/Dental+Specialty+Associates+of+Gilbert/data=!4m7!3m6!1s0x872bac774786695b:0x59ba6fe59a9a69fe!8m2!3d33.2997358!4d-111.7575609!16s%2Fg%2F1vvr6p71!19sChIJW2mGR3esK4cR_mmamuVvulk?authuser=0&hl=en&rclk=1,
A,82.49,austin,Access Dental,,,,+1 512-236-9300,+15122369300,https://accessdentalclinics.com/locations/texas/austin-tx-on-east-7th-st,"1923 E 7th St #120, Austin, TX 78702, United States",https://www.google.com/maps/place/Access+Dental/data=!4m7!3m6!1s0x8644b5b637acadc1:0x9499914fe45c245c!8m2!3d30.261995!4d-97.7210994!16s%2Fg%2F1tcv1v7w!19sChIJwa2sN7a1RIYRXCRc5E-RmZQ,,,,,Tien Phan,service_quality_in_session,6,"Very unprofessional service! I was scheduled at 4pm, waited at least 15 minutes before being seen. I came in for 6 month check up & cleaning. After doctor came in and  informed me of treatment needed, a guy comes in while I'm laying in chair with treatment paperwork. I asked about my cleaning and he",They will have you sitting in the waiting room for an hour and a half even though they bothers you and blew up your phone to get you to waste your time and come down. DO NOT BOOK WITH THESE PEOPLE. I got here at 10:37 am for an 11:00 appointment. When I got here they couldn’t find my information eve,1,1,Automation Audit,silverthreadlabs.com/audit,315,3.9,90,315,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/AccessDentalClinics,https://www.instagram.com/accessdentalclinics/,,,,,staff_rude_front_desk;after_hours_emergency;long_wait_in_chair;insurance_verification_missing;appointment_booking_delay;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,https://accessdentalclinics.com/locations/texas/austin-tx-on-east-7th-st/,https://www.google.com/maps/place/Access+Dental/data=!4m7!3m6!1s0x8644b5b637acadc1:0x9499914fe45c245c!8m2!3d30.261995!4d-97.7210994!16s%2Fg%2F1tcv1v7w!19sChIJwa2sN7a1RIYRXCRc5E-RmZQ?authuser=0&hl=en&rclk=1,
A,77.91,austin,Round Rock Modern Dentistry,,,,+1 512-218-1900,+15122181900,https://www.roundrockmoderndentistry.com,"2150 E Palm Valley Blvd Ste 500, Round Rock, TX 78665, United States",https://www.google.com/maps/place/Round+Rock+Modern+Dentistry/data=!4m7!3m6!1s0x8644da81cbc73301:0x8833235fece964d7!8m2!3d30.5190768!4d-97.6522864!16s%2Fg%2F11b6g469k9!19sChIJATPHy4HaRIYR12Tp7F8jM4g,,,,,,billing_or_intake_errors,6,"They were trying to charge me for a $350 gingival irrigation treatment that I didn't want. Refused to remove this service from my treatment plan .Wouldn't do my exam/cleaning without charging me for this service first.
Since when do businesses charge their customers for something that they don't wan","Realized that the provider I had made an appointment with was not the preferred rate provider at that location for my insurance, so called to cancel. Receptionist said ""on no its fine he is accepted by your insurance."" I pulled up my price options and determined it was different between providers ac",1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,434,4.4,73,434,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,staff_rude_front_desk;insurance_verification_missing;missed_calls_unreachable;long_wait_in_chair;appointment_booking_delay;after_hours_emergency,AI Receptionist (consistent tone);After-Hours Voice Coverage;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),no_email_found,,https://www.roundrockmoderndentistry.com/?sc_cid=GBP%3AO%3AGP%3A782%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTkyOTcxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,https://www.google.com/maps/place/Round+Rock+Modern+Dentistry/data=!4m7!3m6!1s0x8644da81cbc73301:0x8833235fece964d7!8m2!3d30.5190768!4d-97.6522864!16s%2Fg%2F11b6g469k9!19sChIJATPHy4HaRIYR12Tp7F8jM4g?authuser=0&hl=en&rclk=1,
A,72.17,tampa,Family Implant and Cosmetic Dentistry - Brandon,info@ficdentistry.com,info@ficdentistry.com;info@implantandcosmeticdentistry.com;lakeland@ficdentistry.com;riverview@ficdentistry.com,agent_browser_crawl,+1 813-684-7888,+18136847888,https://implantandcosmeticdentistry.com,"787 W Lumsden Rd, Brandon, FL 33511, United States",https://www.google.com/maps/place/Family+Implant+and+Cosmetic+Dentistry+-+Brandon/data=!4m7!3m6!1s0x88c2cdddc96d1653:0x45568ee83463b3fa!8m2!3d27.9224393!4d-82.2951241!16s%2Fg%2F1tk6wpr0!19sChIJUxZtyd3NwogR-rNjNOiOVkU,Fadi Raffoul,"DMD, Owner",https://www.linkedin.com/in/fadi-raffoul-a12b65101,,Fadi Raffoul DMD;dakota pye;Cody Ellis;Mercedes Clarke-Wright;Fadi Raffoul;Charbel Klaib;Puja Patel,billing_or_intake_errors,7,"BEWARE-BEWARE-BEWARE. This is another high priced dental scam office.!!  I had a tooth pulled and they told me “your % after insurance is $1415.10. TRUTH IS THEY MADE ME PAY 100% of THEY’RE price.!!   The reasonable and customary thru my insurance is around $770.00 (delta dental).

UPDATE- 5 days la","Service was great, I was seen quick, I have no complaints about the level of care I would have received (if I had received care for the issue I came in with)

I went in knowing the issue I had and was charged $99 (before filling out a patient intake form) pretty much to have someone tell me what I a",1,2,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,2458,4.9,76,1000,FALSE,,FALSE,,0,FALSE,FALSE,,https://www.facebook.com/ICDlakeland;https://www.facebook.com/ficdentistry/;https://www.facebook.com/people/Riverview-Implant-and-Cosmetic-Dentistry/61559020027678/?_rdr,https://www.instagram.com/ficdentistry/;https://www.instagram.com/icdlakeland/;https://www.instagram.com/icdriverview/,,https://www.yelp.com/biz/family-implant-and-cosmetic-dentistry-brandon-3;https://www.yelp.com/biz/implant-and-cosmetic-dentistry-of-lakeland-lakeland-2?osq=lakeland+implant+and+cosmetic+dentistry;https://www.yelp.com/biz/riverview-implant-and-cosmetic-dentistry-riverview-5,,,insurance_verification_missing;after_hours_emergency;staff_rude_front_desk;long_wait_in_chair;billing_errors;missed_calls_unreachable;appointment_booking_delay,AI Receptionist (consistent tone);After-Hours Voice Coverage;Billing Automation / Practice Management;Insurance Eligibility Verification Workflow;Voice AI Appointment Booking;Voice AI for Dental (AI Receptionist);Workflow Automation (Scheduling),ok,Also owns Tampa Palms Dentistry — multi-location operator,https://implantandcosmeticdentistry.com/?utm_campaign=gmb,https://www.google.com/maps/place/Family+Implant+and+Cosmetic+Dentistry+-+Brandon/data=!4m7!3m6!1s0x88c2cdddc96d1653:0x45568ee83463b3fa!8m2!3d27.9224393!4d-82.2951241!16s%2Fg%2F1tk6wpr0!19sChIJUxZtyd3NwogR-rNjNOiOVkU?authuser=0&hl=en&rclk=1,
C,28.57,phoenix,AZ Cosmetic & Family Dentistry: Dentist in Peoria,,,,+1 602-439-1101,+16024391101,https://www.azfamilydentistry.com,"13695 N 75th Ave, Peoria, AZ 85381, United States",https://www.google.com/maps/place/AZ+Cosmetic+%26+Family+Dentistry:+Dentist+in+Peoria/data=!4m7!3m6!1s0x872b697162dbc3fd:0x6752f2d3f94802d4!8m2!3d33.6095211!4d-112.2195635!16s%2Fg%2F11_y0xl61!19sChIJ_cPbYnFpK4cR1AJI-dPyUmc,,,,,,frontline_communication,3,Dr. Do was very unhelpful. After an extended wait to be seen she briefly sat with me and told me she didn’t recommend the treatment I was seeking and then interrupted me mid sentence telling me she would be right back and then never did. So I left. I took time off work for this consultation and got,The front office staff is great. The dentist I saw today was not who I expected to see. She sat behind me when she was speaking to me about my teeth. I honestly didn’t know if she was speaking me or the dental assistant. She was very impersonal and borderline rude. Going to the dentist is already ve,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,1548,4.9,41,1000,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,,staff_rude_front_desk;after_hours_emergency;missed_calls_unreachable,AI Receptionist (consistent tone);After-Hours Voice Coverage;Voice AI for Dental (AI Receptionist),open_error,,https://www.azfamilydentistry.com/,https://www.google.com/maps/place/AZ+Cosmetic+%26+Family+Dentistry:+Dentist+in+Peoria/data=!4m7!3m6!1s0x872b697162dbc3fd:0x6752f2d3f94802d4!8m2!3d33.6095211!4d-112.2195635!16s%2Fg%2F11_y0xl61!19sChIJ_cPbYnFpK4cR1AJI-dPyUmc?authuser=0&hl=en&rclk=1,
