tier,quality_score,service_fit_score,reachability_score,reachability_representative,reachability_channels,usable_poc_count,metro,title,best_email,all_emails,email_sources,phone,phone_alt,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,primary_contact,primary_contact_channel,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_original,pain_quote_2_original,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason,phone_reach_score,email_reach_score,email_quality_tier,email_quality_reason,best_reachable_email,ab_arm
B,59.33,16.33,43.0,Gene Thomas,phone;named_decision_maker;fallback_contact,2,phoenix,Gene's AC,service@genesac.com,service@genesac.com;service@genesrv.com,agent_browser_crawl;agent_browser_crawl,+1 480-454-6266,,https://www.genesac.com/contact,"9624 E Main St, Mesa, AZ 85207, United States",https://www.google.com/maps/place/Gene%27s+AC/data=!4m7!3m6!1s0x872bb05ec604ddff:0x3bc8025a397bac1d!8m2!3d33.4156794!4d-111.6225153!16s%2Fg%2F11ybfkkc91!19sChIJ_90Exl6wK4cRHax7OVoCyDs,https://www.facebook.com/profile.php?id=61560753114917,,,,,,,,,,Gene Thomas;Dani Thomas,Gene Thomas,,,0,,,,,,,,,,,ok,,0,0.0,0,0,https://www.genesac.com/contact/,https://www.google.com/maps/place/Gene%27s+AC/data=!4m7!3m6!1s0x872bb05ec604ddff:0x3bc8025a397bac1d!8m2!3d33.4156794!4d-111.6225153!16s%2Fg%2F11ybfkkc91!19sChIJ_90Exl6wK4cRHax7OVoCyDs?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,58.93,33.93,25.0,,phone,0,phoenix,Tempe Mechanical Fabrication & Training Facility,info@tempemechanical.net,info@tempemechanical.net,agent_browser_crawl,+1 480-820-1235,,https://tempemechanical.net,"303 W Elliot Rd #101, Tempe, AZ 85284, United States",https://www.google.com/maps/place/Tempe+Mechanical+Fabrication+%26+Training+Facility/data=!4m7!3m6!1s0x872ba9c9f843b0cf:0x170fb9da882f7887!8m2!3d33.3486725!4d-111.9432317!16s%2Fg%2F1vnrlh38!19sChIJz7BD-MmpK4cRh3gviNq5Dxc,https://www.facebook.com/tempemech,https://www.instagram.com/tempemechanical/,https://www.linkedin.com/company/tempe-mechanical/,,,,,,,,,,,calls_unanswered,4,Are you kidding me?  This company was recommended to me for a property I manage.  I contacted them and set up an appointment.  Their rep came - nice guy - took plenty of pictures and measurements.  When done he said he would take it all back to the shop and they would send me a proposal.  That was mid June.  It is now the end of August and still no proposal.  I called them several times and left a message for Stephanie who was my contact.  Out of probably 7-8 calls over several weeks she returned one call and left a message that they were working on it and would get back to me soon.  I called again a couple of times after that and she did not bother to return my calls.  If you still want to call them good luck.  Personally I can not imagine worse customer service and would be shamefaced if I owned or ran a company that operated in this manner.,Cancelled 2 separate appointments on me and the service scheduler is difficult to get a hold of to get updates on things. Now they claim they cant get out for a week?! I have been a customer of theirs for a long time but this is unacceptable.,,,1,1,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,booking_friction;calls_unanswered;followup_dropped;frontline_communication,,ok,,32,4.1,10,13,https://tempemechanical.net/,https://www.google.com/maps/place/Tempe+Mechanical+Fabrication+%26+Training+Facility/data=!4m7!3m6!1s0x872ba9c9f843b0cf:0x170fb9da882f7887!8m2!3d33.3486725!4d-111.9432317!16s%2Fg%2F1vnrlh38!19sChIJz7BD-MmpK4cRh3gviNq5Dxc?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,58.8,18.8,40.0,Alex Belmontez,phone;named_decision_maker,1,phoenix,Arizona Truck A/C & Repair LLC,service@arizonatruckac.com,service@arizonatruckac.com,agent_browser_crawl,+1 602-702-3861,,https://arizonatruckac.com,"888 W Illini St, Phoenix, AZ 85041, United States",https://www.google.com/maps/place/Arizona+Truck+A%2FC+%26+Repair+LLC/data=!4m7!3m6!1s0x872b119fe19badbd:0x2c3f583759ebf8d1!8m2!3d33.4119387!4d-112.0844017!16s%2Fg%2F11j1c_hsl5!19sChIJva2b4Z8RK4cR0fjrWTdYPyw,https://www.facebook.com/AZTruckAC/,https://www.instagram.com/arizonatruckac/,,,https://www.tiktok.com/@arizonatruck,,,,,,Alex Belmontez,Alex Belmontez,,frontline_communication,2,Charge me 150 bucks for something I knew already worked. Then told me it could be something else but they did not want to fix because it was tedious work. Refereed me to someone else. I felt like they could’ve told me that at the beginning,"I tried to call 3 times today on my husband's behalf to request some information and this rude and unprofessional ""lady"" kept hanging up on me without even let me talk, and it turns out she answers both lines. If you are having a bad day girl or you don't want to work then leave work for someone who does wants to work and don't waste people's time.",,,1,1,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,billing_or_intake_errors;frontline_communication,,ok,,33,3.9,23,27,https://arizonatruckac.com/,https://www.google.com/maps/place/Arizona+Truck+A%2FC+%26+Repair+LLC/data=!4m7!3m6!1s0x872b119fe19badbd:0x2c3f583759ebf8d1!8m2!3d33.4119387!4d-112.0844017!16s%2Fg%2F11j1c_hsl5!19sChIJva2b4Z8RK4cR0fjrWTdYPyw?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,58.12,33.12,25.0,,phone,0,phoenix,Emergency Roadside Truck and Trailer Repair,servicewriter24@gmail.com,servicewriter24@gmail.com,agent_browser_crawl,+1 480-932-4860,,https://www.emergencyroadsidetruckphoenix.com,"3241 W Yuma St, Phoenix, AZ 85009, United States",https://www.google.com/maps/place/Emergency+Roadside+Truck+and+Trailer+Repair/data=!4m7!3m6!1s0x872b15b2174f8e1f:0xf2132c59140e73bf!8m2!3d33.4346875!4d-112.1297917!16s%2Fg%2F11txt4cssv!19sChIJH45PF7IVK4cRv3MOFFksE_I,https://www.facebook.com/profile.php?id=61559308246779,,,,https://www.tiktok.com/@truckandtrailerrepair?_r=1&_t=ZT-91BcFeQ9M2Y,https://www.youtube.com/channel/UCyqkVOUo_KU5GXXB5z9y9oA,,,,,,,,frontline_communication,2,"Worse business ever !! Stay away!!!  4 1/2 hours to change bearings, horrible communication and customer service !!! Not even a sorry for their worker who messed up and put our new bearings on the wrong hub ...then broke the seal ....front office couldn't even tell the truth !! Finally got it out another manager who told us the truth and had to another 45 mins!!! Attitudes were ""oh well"" they definitely do not have any customer service or people skills!! STAY AWAY !!!!!",Don’t use this company!They did not show up on time and they didn’t provide the service. And they still charged the cost which was not quoted or agreed. They are very mean people!,,,1,0,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,billing_or_intake_errors;frontline_communication,,ok,,604,4.3,56,61,https://www.emergencyroadsidetruckphoenix.com/,https://www.google.com/maps/place/Emergency+Roadside+Truck+and+Trailer+Repair/data=!4m7!3m6!1s0x872b15b2174f8e1f:0xf2132c59140e73bf!8m2!3d33.4346875!4d-112.1297917!16s%2Fg%2F11txt4cssv!19sChIJH45PF7IVK4cRv3MOFFksE_I?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,55.59,30.59,25.0,,phone,0,phoenix,Sonoran Mechanical Systems,airtrondataprivacy@resservices.com,airtrondataprivacy@resservices.com,agent_browser_crawl,+1 480-581-7346,,http://www.sonoranmechanical.com,"7902 W Gold Dust Ave, Peoria, AZ 85345, United States",https://www.google.com/maps/place/Sonoran+Mechanical+Systems/data=!4m7!3m6!1s0x872b6a04f8b72e89:0x33ef6012b8b5b6e!8m2!3d33.5774387!4d-112.2293885!16s%2Fg%2F11f_0zpz6d!19sChIJiS63-ARqK4cRbluLKwH2PgM,https://www.facebook.com/SonoranMechanical;https://www.facebook.com/policy.php/,,https://www.linkedin.com/company/airtron-heating-air-conditioning/,,,https://www.youtube.com/@AirtronHeatingAndAC,,,,,,,,calls_unanswered,3,Very poor quality and performance we have so many issues with them and their service is also equally bad we tried hrs and days to reach them no help even when there is warranty with them. Also my hvac ac installation is very poor one room works one not bad. I won’t recommend them for anything related to ac,I’ve called and left messages twice today to try to get my A/C serviced. Unfortunately they are the original installer for my home so they cover the warranty work for my Goodman air conditioner. It has a 10 year warranty maybe they’re hoping to just wait me out the next 6 years until the warranty expires.,,,0,0,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,booking_friction;calls_unanswered;frontline_communication,,ok,,148,4.1,52,60,http://www.sonoranmechanical.com/,https://www.google.com/maps/place/Sonoran+Mechanical+Systems/data=!4m7!3m6!1s0x872b6a04f8b72e89:0x33ef6012b8b5b6e!8m2!3d33.5774387!4d-112.2293885!16s%2Fg%2F11f_0zpz6d!19sChIJiS63-ARqK4cRbluLKwH2PgM?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,55.5,12.5,43.0,Robert Bridge,phone;named_decision_maker;fallback_contact,2,phoenix,Bridge Plumbing and HVAC Services,admin@contractorkingz.com,admin@contractorkingz.com;amy@bridgeplumbinghvac.com,agent_browser_crawl;agent_browser_crawl,+1 602-775-3511,,http://www.bridgeplumbinghvac.com,,https://www.google.com/maps/place/Bridge+Plumbing+and+HVAC+Services/data=!4m7!3m6!1s0x872b6b1c5f021b4f:0x9fdc8b88c4f41276!8m2!3d33.512398!4d-112.0550565!16s%2Fg%2F11mw7n635n!19sChIJTxsCXxxrK4cRdhL0xIiL3J8,https://web.facebook.com/bridgeplumbinghvacservices/?_rdc=1&_rdr#,,,,,,,,,,Robert Bridge;Amy Bridge,Robert Bridge,,frontline_communication,2,"Lots of fake reviews.  They never communicated the work needed to be done.  Just hit me with a bill over 300 dollars to clean out 2 P traps.  Said they replaced a chrome one, I've never install metal P traps as they rust.  They took me as …",,,,0,,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,billing_or_intake_errors;frontline_communication,,ok,,215,5,62,70,http://www.bridgeplumbinghvac.com/,https://www.google.com/maps/place/Bridge+Plumbing+and+HVAC+Services/data=!4m7!3m6!1s0x872b6b1c5f021b4f:0x9fdc8b88c4f41276!8m2!3d33.512398!4d-112.0550565!16s%2Fg%2F11mw7n635n!19sChIJTxsCXxxrK4cRdhL0xIiL3J8?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,54.5,29.5,25.0,,phone,0,phoenix,"Silver State Refrigeration, HVAC & Plumbing",contact@ssrfg.com,contact@ssrfg.com,agent_browser_crawl,+1 480-401-5090,,https://silverstate.com/service-areas/phoenix-az,"23021 N 15th Ave #102, Phoenix, AZ 85027, United States","https://www.google.com/maps/place/Silver+State+Refrigeration,+HVAC+%26+Plumbing/data=!4m7!3m6!1s0x872b6f809a6e65d3:0x61ec90aede6c6f20!8m2!3d33.6954331!4d-112.0913518!16s%2Fg%2F11c0vk9rnh!19sChIJ02VumoBvK4cRIG9s3q6Q7GE",https://www.facebook.com/;https://www.facebook.com/SSRHVAC/,https://www.instagram.com/ssrhvac/,https://in.linkedin.com/;https://www.linkedin.com/company/silverstate-hvac-plumbing,,,https://www.youtube.com/@silverstaterefrigerationhv2922/videos,,,,,,,,calls_unanswered,4,"TERRIBLE CUSTOMER SERVICE

Using them for commercial AC Repair at my company. I called them a few weeks ago because our AC went out and never heard back from them. I called a few times for a status update and literally got ZERO response. I then called them again yesterday because our AC went out and the office was 85 degrees. I told them to give me a call ASAP so we knew whether to stay in the office to wait for them or if we could leave... again NEVER heard back from them. I even called twice to follow up and they kept claiming dispatch would contact me. This company is seriously awful. There is serious disconnect between the staff that takes the calls and places the maintenance ticket and this so called ""dispatch"" they have.",They need to stick to servicing Vegas only as they are not a good company to work with here in AZ. Getting a service scheduled with them is impossible. Transferring your calls state to state with no answers. Horrible customer service.,,,1,1,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,billing_or_intake_errors;booking_friction;calls_unanswered;followup_dropped,,ok,,10,3.3,5,7,https://silverstate.com/service-areas/phoenix-az/?utm_source=google&utm_medium=organic&utm_campaign=GBP,"https://www.google.com/maps/place/Silver+State+Refrigeration,+HVAC+%26+Plumbing/data=!4m7!3m6!1s0x872b6f809a6e65d3:0x61ec90aede6c6f20!8m2!3d33.6954331!4d-112.0913518!16s%2Fg%2F11c0vk9rnh!19sChIJ02VumoBvK4cRIG9s3q6Q7GE?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,54.2,14.2,40.0,David Michael Sweetman,phone;named_decision_maker,1,phoenix,Arizona Family Air,,,,+1 480-304-2665,,https://azfamilyair.com,,https://www.google.com/maps/place/Arizona+Family+Air/data=!4m7!3m6!1s0x689278d710af5e67:0x96545b95d509610!8m2!3d34.168035!4d-111.9307474!16s%2Fg%2F11w1f1pz9y!19sChIJZ16vENd4kmgREJZQXblFZQk,https://www.facebook.com/arizonafamilyair/,https://www.instagram.com/arizona_family_air/?hl=en,,https://yelp.com/biz/arizona-family-air-mesa,,,David Michael Sweetman,"Manager/Member (Arizona Family Air, LLC)",,,David Michael Sweetman,David Michael Sweetman,https://www.facebook.com/arizonafamilyair/,,0,,,,,,,,,,,no_email_found,,19,1.6,1,4,https://azfamilyair.com/,https://www.google.com/maps/place/Arizona+Family+Air/data=!4m7!3m6!1s0x689278d710af5e67:0x96545b95d509610!8m2!3d34.168035!4d-111.9307474!16s%2Fg%2F11w1f1pz9y!19sChIJZ16vENd4kmgREJZQXblFZQk?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,53.93,28.93,25.0,,phone,0,phoenix,"AC TO THE MAX, INC",actothemax33@gmail.com,actothemax33@gmail.com,agent_browser_crawl,+1 480-721-1810,,https://actothemax.com,"2526 E Greenway Pkwy, Phoenix, AZ 85022, United States","https://www.google.com/maps/place/AC+TO+THE+MAX,+INC/data=!4m7!3m6!1s0x872b6ff19ccd6ebf:0x85368fd5f60ac89b!8m2!3d33.6313155!4d-112.0276202!16s%2Fg%2F11p4mtqj7t!19sChIJv27NnPFvK4cRm8gK9tWPNoU",,,,,,,,,,,,,,calls_unanswered,4,"Zero stars. Select home warranty sent  them.  Ac to the Mac is a crooked company. . I paid for a new Goodman unit, they installed a used Payne, which according to serial  number was installed at a different address in 2023. The unit has stopped working twice since the install on April 23, 2024. The first time it was a wiring issue, the second time two fuses were blown. Our electric bill went from $200: to over $600. They left a cap off a pipe causing water to accumulate in the ceiling. They refuse to answer calls, texts, or emails. The air handler and heat pump are not correctly matched and too small for our condo. We are having to have an entire new system installed after paying them $8725 , in addition  to having the cap put on the pipe we have paid for service calls, two nights in a hotel when we had no air. We have had two other inspections made.  We live in a four story condo and the unit is on the roof, I’m sure they thought would never find out because we are both in our eighties. Eli Manachii is full of southern charm and lies.",Didn’t fix anything and overcharged. Don’t answer phone calls and never showed up on time. I don’t recommend this company.,,,1,0,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication,,ok,,32,4.1,16,23,https://actothemax.com/,"https://www.google.com/maps/place/AC+TO+THE+MAX,+INC/data=!4m7!3m6!1s0x872b6ff19ccd6ebf:0x85368fd5f60ac89b!8m2!3d33.6313155!4d-112.0276202!16s%2Fg%2F11p4mtqj7t!19sChIJv27NnPFvK4cRm8gK9tWPNoU?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
B,53.81,8.81,45.0,Andrew John,phone;named_decision_maker;fallback_contact;bonus_channel,2,phoenix,"John's Heating, Cooling, and Plumbing",,,,+1 480-648-0921,,https://www.justcalljohns.com,"211 E 10th Dr, Mesa, AZ 85210, United States","https://www.google.com/maps/place/John%27s+Heating,+Cooling,+and+Plumbing/data=!4m7!3m6!1s0x872ba71cddd12c8d:0xd429616c3a3917ef!8m2!3d33.3955283!4d-111.827225!16s%2Fg%2F1tdb4rms!19sChIJjSzR3RynK4cR7xc5OmxhKdQ",https://www.facebook.com/justcalljohns,,,,,https://www.youtube.com/user/johnsrefrigeration,Andrew John,"Owner / Vice President (second-generation, took over from founder Chris John)",https://www.linkedin.com/in/andrew-john-86219215/,,Andrew John;Ashley Price,Andrew John,https://www.linkedin.com/in/andrew-john-86219215/,,0,,,,,,,,,,,no_email_found,,3336,4.9,3,10,https://www.justcalljohns.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"https://www.google.com/maps/place/John%27s+Heating,+Cooling,+and+Plumbing/data=!4m7!3m6!1s0x872ba71cddd12c8d:0xd429616c3a3917ef!8m2!3d33.3955283!4d-111.827225!16s%2Fg%2F1tdb4rms!19sChIJjSzR3RynK4cR7xc5OmxhKdQ?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,,,,,,,
