tier,quality_score,service_fit_score,reachability_score,reachability_representative,reachability_channels,usable_poc_count,metro,title,best_email,all_emails,email_sources,phone,phone_alt,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,primary_contact,primary_contact_channel,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_original,pain_quote_2_original,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason,phone_reach_score,email_reach_score,email_quality_tier,email_quality_reason,best_reachable_email,ab_arm
A,92.44,44.44,48.0,,phone;email:E3,0,tampa,Indian Rocks Heating & Cooling,IndianRocksAir@Yahoo.com,IndianRocksAir@Yahoo.com,agent_browser_crawl,+1 727-596-1785,,http://www.indian-rocks-ac.com,"13050 91st St, Largo, FL 33773, United States",https://www.google.com/maps/place/Indian+Rocks+Heating+%26+Cooling/data=!4m7!3m6!1s0x88c2faee31699d7b:0xe0f81c22a88281b3!8m2!3d27.8913703!4d-82.7665006!16s%2Fg%2F1tfvzyf2!19sChIJe51pMe76wogRs4GCqCIc-OA,,,,,,,,,,,,,,calls_unanswered,6,"About 5 years ago they replaced my main AC units for about $5500. I had an issue last year and had them come out and replace a piece of drain pipe that was supposedly clogging up and causing issues. Now again this year it stopped working and I couldn’t get ahold of their office at all. I called and left a message but nobody has called me back now for 2 days. I have called several times and nobody ever answers the phone. I finally asked a different company to look at my ac. I found out that when they originally installed my units, they reused all old parts with it including the compressor and pipes and copper wires, etc so nothing was working correctly. Well the compressor broke and all the coolant ran out and the repairs alone would have been over $3500. And that’s just a temporary fix. Then I would have to buy a new compressor and coolant is super expensive… so I’m going to end up trashing everything and starting over and replacing everything!!! This time for another $10,000 thanks a lot Indian Rocks cooling!!! Waste of money!!",Terrible. Bought a new unit from them in 2012. Have had multiple issues with that unit not working. Every time I have called them to make an appointment to have someone come out to look at it the receptionist tells me that they don't have …,,,2,0,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,billing_or_intake_errors;booking_friction;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,ok,,44,3.8,30,34,http://www.indian-rocks-ac.com/,https://www.google.com/maps/place/Indian+Rocks+Heating+%26+Cooling/data=!4m7!3m6!1s0x88c2faee31699d7b:0xe0f81c22a88281b3!8m2!3d27.8913703!4d-82.7665006!16s%2Fg%2F1tfvzyf2!19sChIJe51pMe76wogRs4GCqCIc-OA?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,23.0,E3,business_named_freemail,indianrocksair@yahoo.com,both
A,82.33,34.33,48.0,,phone;email:E3,0,tampa,Capital Appliance Service and AC Co,capital391@gmail.com,capital391@gmail.com,agent_browser_crawl,+1 727-391-0168,,https://www.capitalapplianceandac.com,"9933 Seminole Blvd, Seminole, FL 33772, United States",https://www.google.com/maps/place/Capital+Appliance+Service+and+AC+Co/data=!4m7!3m6!1s0x88c2fbee7af39f93:0x4ba50c4e5b1f9177!8m2!3d27.862911!4d-82.785524!16s%2Fg%2F1261vb94b!19sChIJk5_zeu77wogRd5EfW04MpUs,,,,,,,,,,,,,,calls_unanswered,4,"I called Capital Appliance for a  quote on a new HVAC system because they were highly recommended by a neighbor.  Tech came out and went above and beyond just giving a quote, told me I was still under warranty after 2 other compainies just simply recommended a brand new system (why I called Capital for a 3rd price quote).  Unfortunately, another company was here at the same time because they were 3 hours late to appointment causing some tension between the techs.  I asked for a quote from Capital and never received it, called store the next day and left a message requesting the quote again and never got a return call.  I called again the following day to ask again and was told they were not interested in the job!??  Sadly, I was most impressed with Capital for being on time and going above and beyond the simple quote for a new unit but also telling me I was under warranty and could get parts replaced instead while others were simply taking advantage of me to get a new system installed. I am truly perplexed as to why someone would not want business from a customer and just not return calls after repeated messages. The only excuse I got was we are just ""too busy"" right now. Not good business or customer service from their customer representative.",The receptionist didn't answer the phone both times I tried calling so I had to leave messages and wait for a callback both times. The service person was friendly however somehow a compressor and labor on a mini-fridge was quoted as $900+ …,,,3,0,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,booking_friction;calls_unanswered;followup_dropped;frontline_communication,,ok,,34,4.5,22,29,https://www.capitalapplianceandac.com/,https://www.google.com/maps/place/Capital+Appliance+Service+and+AC+Co/data=!4m7!3m6!1s0x88c2fbee7af39f93:0x4ba50c4e5b1f9177!8m2!3d27.862911!4d-82.785524!16s%2Fg%2F1261vb94b!19sChIJk5_zeu77wogRd5EfW04MpUs?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,23.0,E3,business_named_freemail,capital391@gmail.com,both
B,74.38,26.38,48.0,,phone;email:E3,0,tampa,Melo Air,meloair@gmail.com,meloair@gmail.com,agent_browser_crawl,+1 813-451-9438,,https://www.meloair.net,"550 N Reo St #300, Tampa, FL 33609, United States",https://www.google.com/maps/place/Melo+Air/data=!4m7!3m6!1s0x88c2ea03ff7ac013:0xfd81c2ffb35378cd!8m2!3d27.9501239!4d-82.5368615!16s%2Fg%2F1tg_md_t!19sChIJE8B6_wPqwogRzXhTs__Cgf0,https://www.facebook.com/MeloAir/,,,,,,,,,,,,,calls_unanswered,5,"Absolutely the worst AC company ever. Problems from day one, Has no idea what he is doing. Guessing what’s wrong with the problem is how he addresses any issues he has. Finally after many months with no AC he just stopped answering his phone. Do not use this company, you will regret it",Quite possibly the worst experience I have ever had with a company.  Really nice when they get your money but if you expect any warranty work from them forget it.  They dont stand behind their work and they insult you when you try to get …,,,0,0,AssistantDial 24/7 AI Receptionist — every call answered,assistantdial.ai,calls_unanswered;delivery_quality;followup_dropped;frontline_communication;service_quality_in_session,,ok,,122,4.3,53,60,https://www.meloair.net/,https://www.google.com/maps/place/Melo+Air/data=!4m7!3m6!1s0x88c2ea03ff7ac013:0xfd81c2ffb35378cd!8m2!3d27.9501239!4d-82.5368615!16s%2Fg%2F1tg_md_t!19sChIJE8B6_wPqwogRzXhTs__Cgf0?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,23.0,E3,business_named_freemail,meloair@gmail.com,both
B,71.2,28.2,43.0,,phone;email:E2,0,tampa,Unik Heating & Cooling,info@unikacrepair.com,info@unikacrepair.com;khatodiasahil3@gmail.com,agent_browser_crawl;agent_browser_crawl,+1 813-324-9354,,https://unikacrepair.com,,https://www.google.com/maps/place/Unik+Heating+%26+Cooling/data=!4m7!3m6!1s0x88c2cdba8e753247:0x611942eb9c4d91ab!8m2!3d28.0047936!4d-82.538186!16s%2Fg%2F11fjzybxrk!19sChIJRzJ1jrrNwogRq5FNnOtCGWE,https://www.facebook.com/unikheatcooling/,https://www.instagram.com/unikheatcooling/,,,,,,,,,,,,frontline_communication,5,I contracted with UNIK Heating and Air to replace my heat pump. I found out almost 2 months later (when my electric bill doubled) they replaced it with an A/C with a separate electric heating unit with out telling me.,"Very unpleasant service. Lack of communication, plus he will try to charge you for everything even if is his own fault. He is very sneaky and will try and take advantage of you. I'll definetly not reccomend this company to anyone. If you want to get screwed over call him, HE is the man.",,,0,0,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,ok,,48,4.2,13,20,https://unikacrepair.com/,https://www.google.com/maps/place/Unik+Heating+%26+Cooling/data=!4m7!3m6!1s0x88c2cdba8e753247:0x611942eb9c4d91ab!8m2!3d28.0047936!4d-82.538186!16s%2Fg%2F11fjzybxrk!19sChIJRzJ1jrrNwogRq5FNnOtCGWE?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,18.0,E2,role_site,info@unikacrepair.com,both
B,68.4,19.4,49.0,,phone;email:E3,0,tampa,Mobile Mechanic - Eurospeed Automotive,eurospeedautogroup@gmail.com,eurospeedautogroup@gmail.com;hello@businessname.com;ruben@eurospeedautomotive.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 813-816-6871,,https://eurospeedautomotive.com,"19046 Bruce B Downs Blvd Ste B6 #950, Tampa, FL 33647, United States",https://www.google.com/maps/place/Mobile+Mechanic+-+Eurospeed+Automotive/data=!4m7!3m6!1s0x4a0c6c2c30a3b18f:0x8680a2874719fe89!8m2!3d28.145881!4d-82.354911!16s%2Fg%2F11rvbsntp6!19sChIJj7GjMCxsDEoRif4ZR4eigIY,https://www.facebook.com/EurospeedAutomotive/,https://www.instagram.com/eurospeed_automotive/;https://www.instagram.com/eurospeedautomotive/,,https://www.yelp.com/biz/eurospeed-automotive-tampa-2;https://www.yelp.com/biz/eurospeed-automotive-tampa-palms,,https://www.youtube.com/@Eurospeedautomotiveofficial,,,,,,,,booking_friction,3,"Ruben could be a great mechanic, but I wouldn’t know because he “put me on his calendar” twice and ended up not showing up with no communication leaving me to sit around all day waiting then proceeded to provide excuses and tell me I don’t seem to understand. Hopefully anyone using Ruben has a better experience than me. Just a poor way to do business and I hope you take this into consideration for your future clients.","Contacted to service leaky valve covers on an old Mercedes. Said he is a German Specialist and would need my VIN number. After texting the VIN, he did not respond.

Waited a few days, did you get the VIN? No response. Its been over a week now and after reading reviews here it seems to be a theme with this mechanic, he will say he will take action, then leave the customer with no recourse......",,,1,1,AssistantDial Appointment Booking + Calendar Sync,assistantdial.ai,booking_friction;followup_dropped;frontline_communication,,ok,,144,4.7,4,10,https://eurospeedautomotive.com/,https://www.google.com/maps/place/Mobile+Mechanic+-+Eurospeed+Automotive/data=!4m7!3m6!1s0x4a0c6c2c30a3b18f:0x8680a2874719fe89!8m2!3d28.145881!4d-82.354911!16s%2Fg%2F11rvbsntp6!19sChIJj7GjMCxsDEoRif4ZR4eigIY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,24.0,E3,business_named_freemail,eurospeedautogroup@gmail.com,both
B,67.72,19.72,48.0,,phone;email:E3,0,tampa,Route 60 Auto Repair,route60autorepairinc@gmail.com,route60autorepairinc@gmail.com,agent_browser_crawl,+1 813-616-1000,,https://route60autorepair.com,"3250 FL-60, Valrico, FL 33594, United States",https://www.google.com/maps/place/Route+60+Auto+Repair/data=!4m7!3m6!1s0x88c2cd279fdd8ff1:0xfaecb5e0df52b3a9!8m2!3d27.9383112!4d-82.2283851!16s%2Fg%2F11b6jdhjk9!19sChIJ8Y_dnyfNwogRqbNS3-C17Po,,,,,,https://www.youtube.com/embed/VhBl3dHT5SY?feature=oembed?playlist=VhBl3dHT5SY&mute=0&autoplay=0&loop=no&controls=0&start=0&end=,,,,,,,,frontline_communication,2,The workers especially the guy behind the desk is super rude absolutely worst customer service experience ive ever had i would definitely not trust them to work on my car i stopped in for pricing and the way they talked to me and other …,They Full of miscommunication tell you they will get your vehicle done then call you by the Agreed on done time and then say it can not be done just a bunch of time Wasters if you own a small business and need your truck back fast I do not recommend them!!!!!!!!!,,,0,0,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,billing_or_intake_errors;frontline_communication,,ok,,142,4.1,62,70,https://route60autorepair.com/,https://www.google.com/maps/place/Route+60+Auto+Repair/data=!4m7!3m6!1s0x88c2cd279fdd8ff1:0xfaecb5e0df52b3a9!8m2!3d27.9383112!4d-82.2283851!16s%2Fg%2F11b6jdhjk9!19sChIJ8Y_dnyfNwogRqbNS3-C17Po?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,23.0,E3,business_named_freemail,route60autorepairinc@gmail.com,both
B,66.95,18.95,48.0,,phone;email:E3,0,tampa,Bill Laursen Construction Inc,laursenbill@hotmail.com,laursenbill@hotmail.com,agent_browser_crawl,+1 727-945-9663,,http://www.laursenconstruction.com,"1911 Oakmont Ave, Tarpon Springs, FL 34689, United States",https://www.google.com/maps/place/Bill+Laursen+Construction+Inc/data=!4m7!3m6!1s0x88c28d0b5e784619:0xc0af3745bd92ef9d!8m2!3d28.1724223!4d-82.7532559!16s%2Fg%2F1tfs1vxt!19sChIJGUZ4XguNwogRne-SvUU3r8A,http://facebook.com/laursenconstruction,http://instagram.com/laursenconstruction,,,,,,,,,,,,frontline_communication,3,"My experience with Bill Laursen Construction was extremely disappointing. The quality of workmanship was poor, and much of the work appeared rushed and incomplete. I documented numerous issues with photos throughout the project.

One of my biggest concerns was finding mold-damaged areas being covered over rather than properly remediated. I have photographs showing the condition before it was covered. Homeowners should pay close attention to what is behind the finished surfaces and ask questions before drywall is installed.

I also discovered work being performed without permits where permits should have been obtained. I verified this through local permit records. Homeowners should independently confirm permit requirements and ensure all necessary permits are pulled before work begins.

Communication and scheduling were ongoing problems. There were repeated delays, confusion about project details, and responsibility was often shifted to office staff rather than issues being addressed directly.

I was also concerned by crew members performing electrical and plumbing work that did not appear to be within their expertise. As someone familiar with construction, the work raised serious concerns about quality and professionalism.

Overall, I would not hire this company again. I recommend that anyone considering them thoroughly review all work, verify permits, and inspect completed projects carefully before making final payment.","Unpermitted work, substandard workmanship, failed renovation project, unprofessional conduct. We would leave zero stars if that were an option. At the end of the day, all of the insults and bravado in the world won't help you if you can't be bothered to understand concepts like the permit process and why it's important.",,,1,1,AssistantDial AI Receptionist — consistent frontline,assistantdial.ai,deadline_missed;delivery_quality;frontline_communication,,ok,,13,3.8,2,7,http://www.laursenconstruction.com/,https://www.google.com/maps/place/Bill+Laursen+Construction+Inc/data=!4m7!3m6!1s0x88c28d0b5e784619:0xc0af3745bd92ef9d!8m2!3d28.1724223!4d-82.7532559!16s%2Fg%2F1tfs1vxt!19sChIJGUZ4XguNwogRne-SvUU3r8A?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,23.0,E3,business_named_freemail,laursenbill@hotmail.com,both
B,66.33,16.33,50.0,,phone;email:E4,0,tampa,cummins home services,c-cummins@hotmail.com,c-cummins@hotmail.com,agent_browser_crawl,+1 727-455-2916,,https://cumminshomeservice.com,"1869 Elaine Dr, Clearwater, FL 33760, United States",https://www.google.com/maps/place/cummins+home+services/data=!4m7!3m6!1s0x88c2efade31eda73:0xaf9dc8a9a048c3fa!8m2!3d27.9275912!4d-82.7192238!16s%2Fg%2F11y30z_tt3!19sChIJc9oe463vwogR-sNIoKnIna8,,,,https://www.yelp.com/biz/cummins-home-services-clearwater,,,,,,,,,,,0,,,,,,,,,,,ok,,0,0.0,0,0,https://cumminshomeservice.com/,https://www.google.com/maps/place/cummins+home+services/data=!4m7!3m6!1s0x88c2efade31eda73:0xaf9dc8a9a048c3fa!8m2!3d27.9275912!4d-82.7192238!16s%2Fg%2F11y30z_tt3!19sChIJc9oe463vwogR-sNIoKnIna8?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,25.0,E4,person_freemail,c-cummins@hotmail.com,both
B,65.33,16.33,49.0,,phone;email:E3,0,tampa,Florida Air Conditioning Service LLC,flacservicellc@gmail.com,flacservicellc@gmail.com;flairconditioningservice@gmail.com,agent_browser_crawl;agent_browser_crawl,+1 813-956-7777,,https://www.floridaairconditioningservicellc.com/contactus,"5008 W Linebaugh Ave, Tampa, FL 33625, United States",https://www.google.com/maps/place/Florida+Air+Conditioning+Service+LLC/data=!4m7!3m6!1s0x88c2c1afde9c5e6f:0x30aeb6e3b41e660f!8m2!3d28.038786!4d-82.5291106!16s%2Fg%2F11vk2ltmxs!19sChIJb16c3q_BwogRD2YetOO2rjA,https://www.facebook.com/floridaACservice/,,,,,,,,,,,,,,0,,,,,,,,,,,ok,,0,0.0,0,0,,https://www.google.com/maps/place/Florida+Air+Conditioning+Service+LLC/data=!4m7!3m6!1s0x88c2c1afde9c5e6f:0x30aeb6e3b41e660f!8m2!3d28.038786!4d-82.5291106!16s%2Fg%2F11vk2ltmxs!19sChIJb16c3q_BwogRD2YetOO2rjA?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,24.0,E3,business_named_freemail,flacservicellc@gmail.com,both
B,65.23,16.23,49.0,,phone;email:E3,0,tampa,"Marks Air, Inc.",buddy@marksair.com,buddy@marksair.com;service@marksair.com;steve@marksair.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 813-988-1671,,http://www.marksair.com,"8214 Bowles Rd, Tampa, FL 33637, United States","https://www.google.com/maps/place/Marks+Air,+Inc./data=!4m7!3m6!1s0x88c2c8e1837770d5:0x76127d765fbdb680!8m2!3d28.022318!4d-82.3475886!16s%2Fg%2F1tddbmvg!19sChIJ1XB3g-HIwogRgLa9X3Z9EnY",,,,,,,,,,,,,,booking_friction,2,"Nice staff, but they are always overbooked and repairs have always been a week or longer.",I was inquiring about AC/ for my bus. Keep in mind I know nothing about these kind of things and the guy I spoke with was very rude. He had no kind of customer service skills at all!! I was blown away by his attitude because I didn’t have …,,,0,0,AssistantDial Appointment Booking + Calendar Sync,assistantdial.ai,booking_friction;frontline_communication,,ok,,124,4.6,74,80,http://www.marksair.com/,"https://www.google.com/maps/place/Marks+Air,+Inc./data=!4m7!3m6!1s0x88c2c8e1837770d5:0x76127d765fbdb680!8m2!3d28.022318!4d-82.3475886!16s%2Fg%2F1tddbmvg!19sChIJ1XB3g-HIwogRgLa9X3Z9EnY?authuser=0&hl=en&rclk=1",,FALSE,,FALSE,,0,FALSE,FALSE,,25.0,24.0,E3,named_mailbox_site,buddy@marksair.com,both
