tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
A,99.37,kyiv,RO App Україна,support@remonline.app,support@remonline.app,agent_browser_crawl,+380 44 334 4041,https://roapp.com.ua,"Kharkivs'ke Hwy, 201/203, Kyiv, Ukraine, 02121",https://www.google.com/maps/place/RO+App+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0/data=!4m7!3m6!1s0x40d4c5a8bbfad3eb:0x86259d3ec9894d1e!8m2!3d50.4044044!4d30.6805603!16s%2Fg%2F11rb48rl2x!19sChIJ69P6u6jF1EARHk2JyT6dJYY,https://www.facebook.com/roapp.ukraine,https://www.instagram.com/roapp.ukraine/,,,https://www.tiktok.com/@roapp.ua,https://www.youtube.com/@ROAppUA,,,,,,frontline_communication,6,"The program isn't bad, I guess, but the manager acts like a debt collector — he calls, writes, and thinks he has the right to mock the client just because we didn't pay on time! (it was a demo period, and they put massive pressure on me to buy the paid version) Manager Aleksey Kuzmenko!

I really wanted to drop them, and as soon as I find an alternative, I'll do exactly that — and only because of how the manager communicates!!! I hope management pays attention!!!!","A decent CRM for repairs and offline sales (for online, it's quite weak). Expensive — there are far more functional and moderately cheaper competitors. Frequent bugs and system crashes due to failures on partner servers, which makes work difficult or outright impossible. For myself, I've decided to gradually migrate from this CRM to another one. If the downsides above aren't critical for you (and I suspect for some they aren't), then it's a pretty good and decent system.
The main downside for me is their inability to take responsibility before their clients for the inconvenience and downtime caused, instead pushing the blame onto someone else.",2,2,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,billing_or_intake_errors;calls_unanswered;deadline_missed;delivery_quality;followup_dropped;frontline_communication,,ok,,98,4.3,17,71,https://roapp.com.ua/,https://www.google.com/maps/place/RO+App+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0/data=!4m7!3m6!1s0x40d4c5a8bbfad3eb:0x86259d3ec9894d1e!8m2!3d50.4044044!4d30.6805603!16s%2Fg%2F11rb48rl2x!19sChIJ69P6u6jF1EARHk2JyT6dJYY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,66.45,kyiv,SkyService POS - автоматизація бізнесу,m@skyservice.pro,m@skyservice.pro,gosom_scraper,+380 63 047 6445,https://skyservice.pro,,https://www.google.com/maps/place/SkyService+POS+-+%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%8F+%D0%B1%D1%96%D0%B7%D0%BD%D0%B5%D1%81%D1%83/data=!4m7!3m6!1s0x40d4cb8772091a69:0xcf3eca746047e7b0!8m2!3d44.717056!4d-29.1122719!16s%2Fg%2F11b_3gtyyn!19sChIJaRoJcofL1EARsOdHYHTKPs8,https://www.facebook.com/SkyServicePOS/,https://www.instagram.com/skyservice_pos/,,,,https://www.youtube.com/channel/UCN-ykuvVE7swm1UBhq9fHdQ,,,,,,frontline_communication,5,"A garbage company — they refused to issue the legal documents for non-cash payment, and when we asked them to issue these documents, they make us wait weeks. Communication with management is non-existent. I absolutely do not recommend them.","Terrible service, the system works very poorly, and they never notify you when they have updates, so the system can be down for half a day. Constant glitches in the tech cards. Tech support is rude and explains things incorrectly. I'm switching to another system.",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,billing_or_intake_errors;calls_unanswered;delivery_quality;followup_dropped;frontline_communication,,ok,,104,4.3,17,96,https://skyservice.pro/,https://www.google.com/maps/place/SkyService+POS+-+%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%8F+%D0%B1%D1%96%D0%B7%D0%BD%D0%B5%D1%81%D1%83/data=!4m7!3m6!1s0x40d4cb8772091a69:0xcf3eca746047e7b0!8m2!3d44.717056!4d-29.1122719!16s%2Fg%2F11b_3gtyyn!19sChIJaRoJcofL1EARsOdHYHTKPs8?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,64.04,kyiv,Студія дизайну та реклами «BRANDME»,hello@brandme.in.ua,hello@brandme.in.ua,gosom_scraper,+380 93 370 5050,https://brandme.in.ua,"вулиця Героїв УПА 73, корп.4, пов. 1 вхід з, Antonovycha St, 102, Lviv, Lviv Oblast, Ukraine, 79015",https://www.google.com/maps/place/%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D1%83+%D1%82%D0%B0+%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B8+%C2%ABBRANDME%C2%BB/data=!4m7!3m6!1s0x473ae77efe26f48d:0x5c31e62771c7a26!8m2!3d49.8287285!4d23.9949769!16s%2Fg%2F11ckqn4z8_!19sChIJjfQm_n7nOkcRJnocd2IewwU,https://www.facebook.com/brandmeinua,https://instagram.com/brandme.ad.agency/;https://www.instagram.com/brandme.ad.agency/,,,,,,,,,,frontline_communication,5,"Incompetent manager and rude, boorish behavior from Nadiya Vergeles.
Crosses out any desire to work with the company. Steer clear, save your time and nerves.
P.S. Yes, of course you won't admit your own incompetence. This is the image of your company. You're like a pretty piece of candy — nice wrapper outside but rotten inside.",Awful communication! Arrogance practically from the doorstep… I think most of the comments here are fake… I doubt anyone has actually managed to find common ground with these employees after dealing with them… I wish you better!,1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,calls_unanswered;deadline_missed;delivery_quality;followup_dropped;frontline_communication,,ok,,163,4.8,7,144,https://brandme.in.ua/,https://www.google.com/maps/place/%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D1%83+%D1%82%D0%B0+%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B8+%C2%ABBRANDME%C2%BB/data=!4m7!3m6!1s0x473ae77efe26f48d:0x5c31e62771c7a26!8m2!3d49.8287285!4d23.9949769!16s%2Fg%2F11ckqn4z8_!19sChIJjfQm_n7nOkcRJnocd2IewwU?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,52.22,kyiv,WEZOM,biuro@wezom.pl,biuro@wezom.pl;info@wezom.de;office@wezom.com.ua;office_usa@wezom.com;usa_office@wezom.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+380 800 755 007,https://wezom.com.ua,"Andriia Verkhohliada St, 2А, офис 440, этаж 23, Kyiv, Ukraine, 01103",https://www.google.com/maps/place/WEZOM/data=!4m7!3m6!1s0x40d4cf69fb6d61d3:0x6a716a8a25d81d4a!8m2!3d50.413294!4d30.5446177!16s%2Fg%2F11c30_bmc8!19sChIJ02Ft-2nP1EARSh3YJYpqcWo,https://www.facebook.com/wezom.company/,https://www.instagram.com/wezom.company/,https://www.linkedin.com/company/wezom/,,,https://www.youtube.com/channel/UCMvO8a0ZaLBQD70yLUBjX3Q,,,,,,frontline_communication,5,"I ordered website development for a construction business and promotion from them. They took forever. They don't listen to what the client wants. It cost me a lot of energy and nerves. In the end I dragged the site out of them somehow and refused the promotion. Then it turned out the site was written so sloppily that a lot had to be redone.
We put a lot of our own ideas into it. As a result, this dishonest studio started selling our site to our competitors. So if you don't want to spend ages developing a site, lose a ton of nerves, redo everything, and then have the developer sell that same site to your competitors — better not get involved with this studio.",Awful outfit. The director is unreasonable! We're suing — we're getting our money back.,1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,deadline_missed;delivery_quality;followup_dropped;frontline_communication;hidden_subcontracting,,ok,,47,4.1,7,38,https://wezom.com.ua/,https://www.google.com/maps/place/WEZOM/data=!4m7!3m6!1s0x40d4cf69fb6d61d3:0x6a716a8a25d81d4a!8m2!3d50.413294!4d30.5446177!16s%2Fg%2F11c30_bmc8!19sChIJ02Ft-2nP1EARSh3YJYpqcWo?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
B,42.69,kyiv,Focusweb,info@focusweb.com.ua,info@focusweb.com.ua;info@focusweb.net.ua,agent_browser_crawl;agent_browser_crawl,+380 67 149 5800,http://focusweb.com.ua,"Офіс 507, Akademika Andriya Sakharova St, 43, Lviv, Lviv Oblast, Ukraine, 79000",https://www.google.com/maps/place/Focusweb/data=!4m7!3m6!1s0x473ae78954b55193:0x4dfbe4957754d75c!8m2!3d49.8210663!4d24.0175187!16s%2Fg%2F11b6sdgjyp!19sChIJk1G1VInnOkcRXNdUd5Xk-00,https://www.facebook.com/focuswebstudio,https://www.instagram.com/focusweb/;https://www.instagram.com/focuswebstudio,,,,,,,,,,deadline_missed,4,"Kaazaam's G2 comment matches our experience. If you're considering working with Focusweb, read this short story so you don't get burned. If Focusweb has their own version of the conflict, I'm even ready to attach screenshots of the correspondence so you can see everything with your own eyes.

To be honest, half a year has passed already. But recently we had to completely redo the site, because it was barely usable. So I remembered all the wasted nerves and time, and I wanted to warn others so no one repeats our sad experience.

Design.
We had our own design, but they still — politely yet very persistently — kept proposing things of their own. I want to point out that a designer does their job, and a programmer does theirs. At Focusweb, the professional design ability is highly questionable, starting with elementary composition rules. And that's no surprise — programmers shouldn't be doing design. Nevertheless, the programmers kept interfering and insisting, even after we told them about 5 times that we wanted to stick to the mockup.

Deviations from the mockup.
In the end, we ended up with countless discrepancies from the mockup: alignment on the wrong side, wrong font sizes. To fix every such detail, we had to call them dozens of times. We commissioned the mockup from a professional designer so that everything would be done properly, not by eyeballing it. We paid money for that. And Focusweb butchered it all because, in their subjective opinion, it looked fine the way it was.

Revisions.
The revision stage is a very painful part. I'm afraid to misstate how long it lasted: half a year or almost a year. It looked like this:
- I make lists of about 10 items, with text describing the errors and accompanying screenshots
- the manager mostly replies with generic phrases about how she'll figure out how long it will take and let me know (something along those lines)
- from Friday to Friday I keep calling the manager, and each time I'm promised ""by the end of next week""
- eventually I call Kyrylo, as the head guy, asking him to sort it out. It's hard to be angry at Kyrylo, unlike the manager who doesn't talk to clients in the best manner. Kyrylo manipulates with his politeness, since he doesn't fulfill promises on time, just like his managers.
- when, after a month or two, all the fixes are finally ready, problems appear somewhere else on the site. The cycle starts over.
- on top of everything, they regularly try to convince me that it's not the site malfunctioning but that I have browser problems. When I clear the cache, view the site on 4 other computers as well, and finally force the manager to connect to my computer via TeamViewer — that's when it turns out the problem gets solved in 20 minutes.

Mobile version.
Per our agreement, the mobile version was included in the price. They promised to adapt the mockup to device parameters. In reality, the mockup was simply cropped on the right and left in such a way that we lose 2/3 of the image. On the rest of the points, the mobile version is also practically unusable. A shame I didn't save screenshots so you could see this circus with your own eyes.

Extra payments.
For both the mobile version and many other fixes, they wanted to squeeze more money out of us. There were a few points where you could argue, but mostly it was about things we had agreed on in advance. Besides, without many of these fixes, the site simply didn't function properly.
An important point: the amounts they asked for were obviously sums no customer would ever pay. I think this shows the company simply didn't have a specialist capable of handling the assigned tasks. So Focusweb tried to frame the question so that the customer would refuse on their own.

Manager Yuliya.
I want to write about Yuliya separately — the girl who was assigned to answer all my questions. What exactly Yuliya's job consisted of, when every call I made started with Yuliya saying she doesn't handle this issue and needs to check the situation with so-and-so. It seemed to me that a manager's job is precisely to bring everyone's work together and be able to report back to the client. Forever confused, frightened, completely-not-understanding Yuliya couldn't competently answer a single one of my questions — like a secretary who was asked to watch the manager's phone during the lunch break. When I finally got the manager changed, things moved a little.",My opinion — absolutely do not recommend. They do the work veeery slowly and poorly. Professionalism — zero. They can't handle elementary tasks. Money thrown to the wind (((,1,1,Ezly — AI Communication Assistant (expectation-setting replies),getezly.com/home,deadline_missed;delivery_quality;frontline_communication;scope_drift,,ok,,17,3.4,7,9,http://focusweb.com.ua/,https://www.google.com/maps/place/Focusweb/data=!4m7!3m6!1s0x473ae78954b55193:0x4dfbe4957754d75c!8m2!3d49.8210663!4d24.0175187!16s%2Fg%2F11b6sdgjyp!19sChIJk1G1VInnOkcRXNdUd5Xk-00?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,38.79,kyiv,PR+ Agency,,,,+380 98 303 3179,,"Oleksandra Polia Ave, Dnipro, Dnipropetrovs'ka oblast, Ukraine, 49000",https://www.google.com/maps/place/PR%2B+Agency/data=!4m7!3m6!1s0x40dbe3a96c930523:0x3ebd10e746505b9b!8m2!3d48.4489527!4d35.0200097!16s%2Fg%2F11l6qh5782!19sChIJIwWTbKnj20ARm1tQRucQvT4,,,,,,,,,,,,frontline_communication,5,"Awful company. I do not recommend it to anyone who doesn't want to flush their money down the drain on their services and on ad budget. They talk a great game about their services, but in reality:
1. Let's start from the beginning — delays were happening even by their own plan, and they don't write to you, you have to drag information out yourself — what's done and at what stage.
2. The manager's communication is awful, and that's putting it mildly — their own director was shocked at how the manager was talking.
3. They don't ask the client for any information about running the page and content — no fonts, no style, no colors for design, no templates, no product range, basically nothing. They do everything however, the way they edited my videos just disfigured the page, they launched posts without approval and without the revisions that had been provided.
4. They blew through the ad budget so badly I was in shock — sales were going for $65 in the first week, while when we ran the ads ourselves sales went for at most $10 each, and that was on ineffective ads.
5. Reports are incomprehensible for the client. They sent me reports word-for-word the same from week to week, and on some of them, as far as I remember, they didn't even change the dates. What work was actually done is unclear — I only saw one template with the numbers changed.
They deleted all the campaigns, but deleted ones can still be viewed, and the audience was the same one we were already targeting without them. What we paid for is unclear.
6. Overall I could write a lot more, but in the end they themselves understood how bad it all was, when they wrote ""I understand you won't be continuing to work with us, but I'm obligated to ask.""
And as the cherry on the cake they say — let us plan some posts for you, so we can coordinate, so we end on a nice note. Well, I think, fine, at least do this. And what do you think? They planned them without coordinating, everything had to be redone after them.
In general, they promise an awesome team, real work on the page, recommendations on how to run it, page management, etc. What we got — minus money, time, and nerves, template recommendations week after week with no regard for the field of activity, boorish attitude, copy a ChatGPT could write better, incompetent people, and stories like, well if you don't understand then let me explain — I can pick whatever Reels cover image I want (and this is being told to me by people whose job is to run the page), or who's going to read those texts (then why write them), no one will pay attention to your Reels feed in the preview you have, which they made awful. I don't know how it was possible to make something normal out of high-quality photos and videos, but they managed. Such a negative experience with them.","Do not recommend!
PR+ leaves the impression of an unserious, dishonest, and even fraudulent company.
Why?
After the cooperation ends — they delete the ad campaigns that were set up during the work.
Manager Anastasia explains this by saying — those are the rules.
We only found out about these ""rules"" at the end of the cooperation.
Manager Anastasia claims that the manager we spoke with before the cooperation should have informed us about this rule.
The fact that the manager didn't convey this important rule to us didn't change manager Anastasia's mind about deleting the ad campaigns — because ""the rules are for everyone,"" writes Anastasia.

Whatever.",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,deadline_missed;delivery_quality;frontline_communication;hidden_subcontracting;scope_drift,,,,25,4,5,21,,https://www.google.com/maps/place/PR%2B+Agency/data=!4m7!3m6!1s0x40dbe3a96c930523:0x3ebd10e746505b9b!8m2!3d48.4489527!4d35.0200097!16s%2Fg%2F11l6qh5782!19sChIJIwWTbKnj20ARm1tQRucQvT4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,34.54,kyiv,Feniks Indastri,a@fnx.com.ua,a@fnx.com.ua;discocsid@gmail.com,agent_browser_crawl;agent_browser_crawl,+380 67 243 7688,https://fnx.com.ua,"Ivana Shulyka St, 10, Dnipro, Dnipropetrovsk Oblast, Ukraine, 49000",https://www.google.com/maps/place/Feniks+Indastri/data=!4m7!3m6!1s0x40dbe2dd1c991d03:0xde4cc499c8b74acc!8m2!3d48.464176!4d35.055532!16s%2Fg%2F1tjgn3jw!19sChIJAx2ZHN3i20ARzEq3yJnETN4,,,,,,,,,,,,deadline_missed,4,"Work went very slowly. By the time I got the site, I didn't even need it anymore — 2 months had passed, they promised 1; it was a landing page, I needed to launch on March 20. A friend recommended his programmer — in a week he drew it up, set it up, and configured it — turned out a sweet result.
This same studio [Phoenix] screwed with me, delayed things, ruined my season, and the product itself turned out outright pathetic.","I ordered a website for a tourism company. Overall I'm happy with everything, but they took very long, kept pushing back deadlines, and the follow-up support at launch was also disappointing.",1,3,Ezly — AI Communication Assistant (expectation-setting replies),getezly.com/home,deadline_missed;delivery_quality;followup_dropped;frontline_communication,,ok,,82,4.7,5,65,https://fnx.com.ua/,https://www.google.com/maps/place/Feniks+Indastri/data=!4m7!3m6!1s0x40dbe2dd1c991d03:0xde4cc499c8b74acc!8m2!3d48.464176!4d35.055532!16s%2Fg%2F1tjgn3jw!19sChIJAx2ZHN3i20ARzEq3yJnETN4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,31.6,kyiv,ITON - craft software development,,,,+380 67 439 5606,,"Kulparkivska St, 59, Lviv, Lviv Oblast, Ukraine, 79000",https://www.google.com/maps/place/ITON+-+craft+software+development/data=!4m7!3m6!1s0x473ae78691488c79:0xfd9ccd2e1b89fe3a!8m2!3d49.8269687!4d23.9902782!16s%2Fg%2F11hzsl_g5n!19sChIJeYxIkYbnOkcROv6JGy7NnP0,,,,,,,,,,,,calls_unanswered,4,"I very rarely write reviews like this, but… I would not recommend this company to anyone!!! I ordered software development based on 1C. We drew up the cost estimate, the contract, a handshake, the first payment — and so it began… By the time they finally ""banged"" something together, three programmers had been swapped out, and each one took a very long time getting up to speed on the work. They never even finished it to the end. IT'S BEEN MORE THAN A YEAR ALREADY!!!! Let alone post-launch support — THERE IT'S ONE THING AFTER ANOTHER. You can't get through to them. THEY DON'T PROVIDE SERVICE. WHEN YOU CONTACT THEM, THEY EVEN MANAGE TO MAKE YOU THE GUILTY ONE. I'M FIGURING IT OUT MYSELF AND WASTING HEAPS OF MY TIME. DON'T FALL FOR THE PICTURE AND THE NICE WORDS.",,1,,Ezly — AI Communication Assistant (never miss a reply),getezly.com/home,calls_unanswered;deadline_missed;delivery_quality;hidden_subcontracting,,,,1,1,1,1,,https://www.google.com/maps/place/ITON+-+craft+software+development/data=!4m7!3m6!1s0x473ae78691488c79:0xfd9ccd2e1b89fe3a!8m2!3d49.8269687!4d23.9902782!16s%2Fg%2F11hzsl_g5n!19sChIJeYxIkYbnOkcROv6JGy7NnP0?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,25.94,kyiv,Altum Software,info@altumsoftware.io,info@altumsoftware.io,gosom_scraper,,https://altumsoftware.io,"Mykhaila Boichuka St, Kyiv, Ukraine, 02000",https://www.google.com/maps/place/Altum+Software/data=!4m7!3m6!1s0x40d4cf59aeef830f:0x3e6565a08dc97682!8m2!3d50.4005018!4d30.555188!16s%2Fg%2F11l75s_w33!19sChIJD4PvrlnP1EARgnbJjaBlZT4,https://www.facebook.com/Altumagency,https://www.instagram.com/altumsoftware/,https://www.linkedin.com/company/altumsoftware/;https://www.linkedin.com/in/dominik-gasser-25298b6b/;https://www.linkedin.com/in/john-laskowsky-614abb1ba/;https://www.linkedin.com/in/kylewatson/;https://www.linkedin.com/in/meghan-turner-tucker-a3437456/;https://www.linkedin.com/in/natalie-koller/;https://www.linkedin.com/in/timschoellkopf/,,,,,,,,,frontline_communication,1,"I have a negative experience working with Altum Software. After completing the agreed work, the company did not pay for the services rendered. After repeated requests, the company's representatives stopped responding to messages.

No explanations regarding the delay or non-payment of funds were provided. Such behavior looks unprofessional and undermines trust in the company as an employer.

I recommend that other candidates and specialists carefully document all agreements in writing and approach cooperation with caution.",The company does not pay freelancers. They stop responding to messages.,1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,frontline_communication,,ok,,7,3.3,3,7,https://altumsoftware.io/,https://www.google.com/maps/place/Altum+Software/data=!4m7!3m6!1s0x40d4cf59aeef830f:0x3e6565a08dc97682!8m2!3d50.4005018!4d30.555188!16s%2Fg%2F11l75s_w33!19sChIJD4PvrlnP1EARgnbJjaBlZT4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,malformed
C,25.63,kyiv,Замовити сайт. Розробка інтернет-магазинів під ключ. Веб Студія БАСТ,info@webstudiobast.com,info@webstudiobast.com,agent_browser_crawl,+380 67 930 0869,https://webstudiobast.com,"Leonida Kadeniuka Ave, 4, Kyiv, Ukraine, 02105",https://www.google.com/maps/place/%D0%97%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%82%D0%B8+%D1%81%D0%B0%D0%B9%D1%82.+%D0%A0%D0%BE%D0%B7%D1%80%D0%BE%D0%B1%D0%BA%D0%B0+%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87.+%D0%92%D0%B5%D0%B1+%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%91%D0%90%D0%A1%D0%A2/data=!4m7!3m6!1s0x40d4c55b74af129d:0xceb80efa66a64ca0!8m2!3d50.4450162!4d30.6274965!16s%2Fg%2F12vthb7vx!19sChIJnRKvdFvF1EARoEymZvoOuM4,https://www.facebook.com/Serhii.Korzhyk,https://www.instagram.com/sergeikorzhik/,https://www.linkedin.com/in/serhii-korzhyk-414914113/,,,,,,,,,followup_dropped,4,"On October 24 I sent a request to their email — there was no response. I called on November 4, and the employees promised to review the email and respond. But another 10 days passed and still no answer. Today is November 14, and there's still no reaction from their side. Such an attitude shows a complete lack of responsibility and seriousness in work. You expect a fast and professional response from a company, but instead you face neglect and carelessness.

If feedback and responsiveness matter to you, think twice before contacting them.","Disgusting.
I hope my review helps save you time and money.
This sorry excuse for a web studio, BAST, was given a website with ready-made HTML markup and design to integrate into WordPress.
As a result of slapping the markup onto someone else's site template, we got a five-page site weighing 1.4 GB! with un-deleted foreign content, non-editable and unmanageable.
The markup was done with errors in navigation, font sizes, field padding, and a mass of technical screw-ups.
The studio demanded additional hourly fees for fixing the mistakes they had made.
Forget about site development, SEO promotion, and optimization — and the site markup will have to be completely redone.
The result of cooperating with the BAST web studio — lost money, lost time, and a non-functioning website.",1,1,Ezly — AI Communication Assistant (faster client follow-up),getezly.com/home,calls_unanswered;delivery_quality;followup_dropped;scope_drift,,ok,,22,4.5,3,21,https://webstudiobast.com/,https://www.google.com/maps/place/%D0%97%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%82%D0%B8+%D1%81%D0%B0%D0%B9%D1%82.+%D0%A0%D0%BE%D0%B7%D1%80%D0%BE%D0%B1%D0%BA%D0%B0+%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87.+%D0%92%D0%B5%D0%B1+%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%91%D0%90%D0%A1%D0%A2/data=!4m7!3m6!1s0x40d4c55b74af129d:0xceb80efa66a64ca0!8m2!3d50.4450162!4d30.6274965!16s%2Fg%2F12vthb7vx!19sChIJnRKvdFvF1EARoEymZvoOuM4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
