tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,phone_normalized,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
C,16.26,toronto,Canadian Outlet Store,,,,+1 416-289-4195,,http://www.canadianoutletstore.com/index.php?controller=stores,"665 Markham Rd Unit 2, Scarborough, ON M1H 2A4, Canada",https://www.google.com/maps/place/Canadian+Outlet+Store/data=!4m7!3m6!1s0x89d4d0410bff5989:0x1c9a08e60f7beb9!8m2!3d43.7612965!4d-79.2252156!16s%2Fg%2F11b5pls8ht!19sChIJiVn_C0HQ1IkRub73YI6gyQE,,,,,,,,,,,,frontline_communication,4,"This so called Canadian Outlet is an absolute joke of a business. They advertise opening at 10 am, but at 10:45 the doors were still locked to paying customers. The woman inside had the audacity to bark, “We’re still closed, come back in 5 minutes” then stretched that “5 minutes” into half an hour.","Absolutely terrible experience with this store. I bought a freezer from them, and it was damaged when they delivered it. It had dents and visible damage on the corners, and it didn’t work properly either. When I contacted them, their attitude was extremely rude and disrespectful. They completely ref",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;followup_dropped;frontline_communication;service_quality_in_session,,no_email_found,,122,2.4,80,122,,https://www.google.com/maps/place/Canadian+Outlet+Store/data=!4m7!3m6!1s0x89d4d0410bff5989:0x1c9a08e60f7beb9!8m2!3d43.7612965!4d-79.2252156!16s%2Fg%2F11b5pls8ht!19sChIJiVn_C0HQ1IkRub73YI6gyQE?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,13.66,toronto,Peace Collective,info@peace-collective.com,info@peace-collective.com;support@peace-collective.com;wholesale@peace-collective.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 416-843-9725,,http://www.peace-collective.com,"65 Front St W, Toronto, ON M5J 1E6, Canada",https://www.google.com/maps/place/Peace+Collective/data=!4m7!3m6!1s0x89d4cb2c954d6719:0x386d82e5b85edfd8!8m2!3d43.6450678!4d-79.3807849!16s%2Fg%2F11f303l_9g!19sChIJGWdNlSzL1IkR2N9euOWCbTg,https://www.facebook.com/thepeacecollective,https://www.instagram.com/peacecollective/,,,https://www.tiktok.com/@hayrbypc?_t=8bUlf1oPHaH&_r=1&section_clicked=Replo%20The%20Collective;https://www.tiktok.com/@thepeacecollective,https://www.youtube.com/channel/UCVLWAUR1Qvc9OYD2LjfpqCA/featured,,,,,,followup_dropped,2,"Peace Collective has wonderful stuff. It's a local company that i would love to support. However, twice now I've been burned by their awful delivery times and customer service. Never again.
The first time I ordered with them, I got a clearance item which was in limited sizes. So I was confused when","Honestly really disappointed. Wanting to support local, especially those supporting a cause, I didnt think twice. Clearly I should have done my research prior to purchasing. You would think seeing collabs with “big name” brands would come with world class service. The lack of communication from cust",1,1,Agentic AI Systems (Autonomous Follow-up),silverthreadlabs.com/services/agentic-ai,followup_dropped;frontline_communication,,ok,,662,3.6,237,662,http://www.peace-collective.com/,https://www.google.com/maps/place/Peace+Collective/data=!4m7!3m6!1s0x89d4cb2c954d6719:0x386d82e5b85edfd8!8m2!3d43.6450678!4d-79.3807849!16s%2Fg%2F11f303l_9g!19sChIJGWdNlSzL1IkR2N9euOWCbTg?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,13.63,toronto,Nations Experience,cs_h@nationsfreshfoods.ca,cs_h@nationsfreshfoods.ca;cs_m@nationsfreshfoods.ca,agent_browser_crawl;agent_browser_crawl,+1 416-767-5888,,http://nationsfreshfoods.ca,"1980 St Clair Ave W, Old Toronto, ON M6N 0A3, Canada",https://www.google.com/maps/place/Nations+Experience/data=!4m7!3m6!1s0x882b341df9b73a1b:0x1a16f6d4d68020b9!8m2!3d43.6724965!4d-79.4705657!16s%2Fg%2F11dfxdlj13!19sChIJGzq3-R00K4gRuSCA1tT2Fho,https://www.facebook.com/NationsHamilton/,https://www.instagram.com/nationsfreshfood.hamilton/;https://www.instagram.com/nationsfreshfoodshamilton/,,,,,,,,,,frontline_communication,2,"I was subjected to racial profiling and discrimination by both a store employee and a supervisor. While I was browsing the makeup section, an employee approached me and immediately accused me of stealing, first words to me was “ i saw you stealing empty your pockets”  I cooperated, and the only item","I am writing this to provide feedback on my shopping experience in your store in 1980 St Claire Ave W, Toronto, ON M6N 4X9.

Today September 27, 2025, I went to get groceries in this store. Part of my purchase were hot food and one of them is the fried fish fillet which is on sale for $8.99/lb durin",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,frontline_communication;service_quality_in_session,,ok,,5530,4.3,265,1000,http://nationsfreshfoods.ca/,https://www.google.com/maps/place/Nations+Experience/data=!4m7!3m6!1s0x882b341df9b73a1b:0x1a16f6d4d68020b9!8m2!3d43.6724965!4d-79.4705657!16s%2Fg%2F11dfxdlj13!19sChIJGzq3-R00K4gRuSCA1tT2Fho?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,12.55,toronto,Capsule,INFO@C-APSULE.COM,INFO@C-APSULE.COM;info@c-apsule.com,gosom_scraper;agent_browser_crawl,+1 647-748-1169,,http://www.capsuletoronto.com,"69 Yorkville Ave #104, Toronto, ON M5R 1B8, Canada",https://www.google.com/maps/place/Capsule/data=!4m7!3m6!1s0x882b34af832601c9:0x3e6432a7ea1b6ae2!8m2!3d43.671053!4d-79.390933!16s%2Fg%2F1tcw47p5!19sChIJyQEmg680K4gR4mob6qcyZD4,https://www.facebook.com/CapsuleToronto/,https://www.instagram.com/capsuletoronto/,,,,,,,,,,frontline_communication,3,I truly wish I could give these people a lower rating. It was been a nightmare dealing with these people. They have no sense of respect towards their clients and their communication skills are worse than 0. I placed an online order and they sent me the wrong size. They have ignored all my efforts of,Worst experience. So this place allows you to place an order online however the delivery within the country takes over 2 weeks. At the time of checkout it marks it as expedited delivery and the confirmation for your order takes 2-3 days which is kinda confusing. When I called to ask what exactly is,1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,followup_dropped;frontline_communication;service_quality_in_session,,ok,,152,3.4,61,152,http://www.capsuletoronto.com/,https://www.google.com/maps/place/Capsule/data=!4m7!3m6!1s0x882b34af832601c9:0x3e6432a7ea1b6ae2!8m2!3d43.671053!4d-79.390933!16s%2Fg%2F1tcw47p5!19sChIJyQEmg680K4gR4mob6qcyZD4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,11.77,toronto,Black Market Vintage Upstairs,info@blackmarkettoronto.com,info@blackmarkettoronto.com;info@publicbutter.com;info@stagheaddesigns.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 416-599-5858,,https://blackmarkettoronto.com,"Upstairs, 347 Queen St W 2nd floor, Toronto, ON M5V 2A4, Canada",https://www.google.com/maps/place/Black+Market+Vintage+Upstairs/data=!4m7!3m6!1s0x882b3573a91c44d9:0x61747ff462f2c72f!8m2!3d43.6493677!4d-79.3925066!16s%2Fg%2F11fd7hqtz5!19sChIJ2UQcqXM1K4gRL8fyYvR_dGE,,https://www.instagram.com/blackmarket_upstairs/,,,https://www.tiktok.com/@black.market.vintage,,,,,,,frontline_communication,2,"this place sucks... staff are apathetic toocoolforschool and security are on a power trip. Security followed my friend and I and down the street to tell us we were suspected of stealing merchandise, brought us back to the basement, harassed us and physically did not allow us to leave the basement fo","Every single time I've gone in here the employees (not just one, pretty much ALL of them.) have been unbelievably rude and condescending. I asked if I could put a coat I wanted to buy aside while I shopped and the girl got all weird about it. Literally said ""um...I don't like...know if we do that he",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;frontline_communication,,ok,,1331,4.3,138,889,https://blackmarkettoronto.com/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business,https://www.google.com/maps/place/Black+Market+Vintage+Upstairs/data=!4m7!3m6!1s0x882b3573a91c44d9:0x61747ff462f2c72f!8m2!3d43.6493677!4d-79.3925066!16s%2Fg%2F11fd7hqtz5!19sChIJ2UQcqXM1K4gRL8fyYvR_dGE?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,11.54,toronto,new nyc collection,,,,+1 647-607-6443,,http://newnycclothing.com,"1921 Eglinton Ave E unit 6, Scarborough, ON M1L 4W1, Canada",https://www.google.com/maps/place/new+nyc+collection/data=!4m7!3m6!1s0x882b3160c644a5ef:0xd31c223dfde3cdc1!8m2!3d43.7270098!4d-79.2882275!16s%2Fg%2F1pt_3675n!19sChIJ76VExmAxK4gRwc3j_T0iHNM,,,,,,,,,,,,billing_or_intake_errors,3,"I went today with my son and from trying on the shoes the price went from $200 to the cash register, the price went up to $250 and said he was taking the tax off (we are tax exempt). We let it go this time but won't be shopping there again. (Last time we spent over $500). Very dishonest.","wayy too over priced for a cheap shop in a flea market that's next to fake gold and fake perfume shops . items are priced as if they're at a gucci store . This is more like a hobby . the sales people are just horrible at their job, hope they aren't training anyone else . prices go higher once you're",1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;followup_dropped;frontline_communication,,no_email_found,,239,3.8,79,239,http://newnycclothing.com/,https://www.google.com/maps/place/new+nyc+collection/data=!4m7!3m6!1s0x882b3160c644a5ef:0xd31c223dfde3cdc1!8m2!3d43.7270098!4d-79.2882275!16s%2Fg%2F1pt_3675n!19sChIJ76VExmAxK4gRwc3j_T0iHNM?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,11.41,toronto,Just Thrift,,,,+1 416-789-9449,,https://www.justthrift.com,"53 Orfus Rd, North York, ON M6A 1L7, Canada",https://www.google.com/maps/place/Just+Thrift/data=!4m7!3m6!1s0x882b33d216400001:0xa8a9d1a5eda47bba!8m2!3d43.7190589!4d-79.460617!16s%2Fg%2F11csqh5mv3!19sChIJAQBAFtIzK4gRunuk7aXRqag,https://www.facebook.com/justthriftorfus/,https://www.instagram.com/justthrift/,,,,,,,,,,frontline_communication,5,If I could give them 0 stars I would but unfortunately have to give them 1 star. Very rude and dismissive. I had to wait for at least 10 minutes to be served as staff were gathered inside cash area chatting and laughing. Prices are extremely high and lots of clothing is very used with stains and hol,"It's definitely fallen off. The staff are really over invested emotionally in their jobs . I've been a customer for years I go 4 times a week. The employees are pure drama towards regular customers.
The employees get first crack all the merchandise that comes in so anything really good never sees th",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;calls_unanswered;followup_dropped;frontline_communication;service_quality_in_session,,no_email_found,,546,4.1,129,516,https://www.justthrift.com/,https://www.google.com/maps/place/Just+Thrift/data=!4m7!3m6!1s0x882b33d216400001:0xa8a9d1a5eda47bba!8m2!3d43.7190589!4d-79.460617!16s%2Fg%2F11csqh5mv3!19sChIJAQBAFtIzK4gRunuk7aXRqag?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,10.88,toronto,Brands Gone Wild,,,,,,https://www.brandsgonewild.com,"1255 The Queensway, Etobicoke, ON M8Z 1S2, Canada",https://www.google.com/maps/place/Brands+Gone+Wild/data=!4m7!3m6!1s0x882b37d0e0596f3b:0x7a4a561f7ebace8a!8m2!3d43.6209024!4d-79.5239672!16s%2Fg%2F11d_9jl7j6!19sChIJO29Z4NA3K4gRis66fh9WSno,,,,,,,,,,,,billing_or_intake_errors,2,"I recently visited ‘Brands and Bins Gone Wild’ and unfortunately had a disappointing experience. While the store had some interesting items, they listed one price on the shelf but tried to charge me double at the cashier. They did not honor the listed prices, which was quite frustrating. Additionall","Merchandise are incorrectly priced and they over charge you. When we called them on it. They did not refund the tax and when we called them on that as well. They cannot even compute simple math. What kind of business practices do you run? Hiring uneducated, ill mannered employees who can not do even",1,1,Workflow Automation + Systems Integration,silverthreadlabs.com/services/workflow-automation,billing_or_intake_errors;frontline_communication,,open_error,,493,4.2,107,485,https://www.brandsgonewild.com/,https://www.google.com/maps/place/Brands+Gone+Wild/data=!4m7!3m6!1s0x882b37d0e0596f3b:0x7a4a561f7ebace8a!8m2!3d43.6209024!4d-79.5239672!16s%2Fg%2F11d_9jl7j6!19sChIJO29Z4NA3K4gRis66fh9WSno?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,malformed
D,10.85,toronto,TNT Woman Yorkville,careers@tntthenewtrend.com,careers@tntthenewtrend.com;marketing@tntthenewtrend.com;online@tntthenewtrend.com;partnership@tntthenewtrend.com;tnt@tntthenewtrend.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+1 416-975-1810,,https://www.tntfashion.ca,"87 Avenue Rd, Toronto, ON M5R 3L2, Canada",https://www.google.com/maps/place/TNT+Woman+Yorkville/data=!4m7!3m6!1s0x882b34a45ec460d5:0xe5efed1f2bfe96f9!8m2!3d43.671379!4d-79.3950011!16s%2Fg%2F1tl4dnw6!19sChIJ1WDEXqQ0K4gR-Zb-Kx_t7-U,https://www.facebook.com/TNT-The-New-Trend-365702686190,https://www.instagram.com/tntfashion;https://www.instagram.com/tntfashion/,,,https://www.tiktok.com/@tntthenewtrend,https://www.youtube.com/@TNTFASHIONTO/channels,,,,,,frontline_communication,3,"The rudest staff and the most uncomfortable, eery shopping experience I have ever had in a store that is supposedly marketed as higher end. When I went there was about 3 customers in the store, and probably a swarm of 10 employees, none of them tending to any customers other than standing in small c","Had the worst customer experience here today. It’s upsetting to see so many reviews describing the same treatment from the asian woman with black glasses (her name is Kim) - showing this has been an ongoing issue that management has failed to address. I have never left a review before, but her behav",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;followup_dropped;frontline_communication,,ok,,104,3.7,35,104,https://www.tntfashion.ca/,https://www.google.com/maps/place/TNT+Woman+Yorkville/data=!4m7!3m6!1s0x882b34a45ec460d5:0xe5efed1f2bfe96f9!8m2!3d43.671379!4d-79.3950011!16s%2Fg%2F1tl4dnw6!19sChIJ1WDEXqQ0K4gR-Zb-Kx_t7-U?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
D,10.51,toronto,Vintage Depot,,user@domain.com,gosom_scraper,+1 416-596-6513,,http://www.vintagedepotcanada.ca,"70 Kensington Ave, Toronto, ON M5T 2K1, Canada",https://www.google.com/maps/place/Vintage+Depot/data=!4m7!3m6!1s0x882b34c237ee83dd:0x4b7e6672462c130b!8m2!3d43.6544551!4d-79.4008091!16s%2Fg%2F1tj58dc5!19sChIJ3YPuN8I0K4gRCxMsRnJmfks,https://www.facebook.com/profile.php?id=61584068909993,https://www.instagram.com/vintagedepotcanada/,,,,,,,,,,frontline_communication,2,"came into the store today and honestly there are some nice things. unfortunately, i heard senior staff on shift berating a young lady behind the cash. against my better judgment i lingered longer in the store and realized the “mistake” that was made was over 10 cents, which continued to be ridiculed","Just a few days ago, I visited to buy a t shirt. There was no price tag on the merchandise
. Well called the desk clerk to give an optimal price for the item. The items of that kind are listed in the range of $25-28 dollars.  The guy called on some girl representative who was obnoxiously rude, unpro",1,1,Voice AI + Agentic CRM Outreach,silverthreadlabs.com/services/voice-agents,billing_or_intake_errors;frontline_communication,,no_email_found,,109,3.8,33,109,http://www.vintagedepotcanada.ca/,https://www.google.com/maps/place/Vintage+Depot/data=!4m7!3m6!1s0x882b34c237ee83dd:0x4b7e6672462c130b!8m2!3d43.6544551!4d-79.4008091!16s%2Fg%2F1tj58dc5!19sChIJ3YPuN8I0K4gRCxMsRnJmfks?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,1,FALSE,FALSE,
