tier,quality_score,metro,title,best_email,all_emails,email_sources,phone,website,address,google_maps_link,socials_facebook,socials_instagram,socials_linkedin,socials_yelp,socials_tiktok,socials_youtube,owner_name,owner_title,owner_linkedin,additional_team,pocs,top_pain_category,pain_breadth_count,pain_quote_1,pain_quote_2,pain_quote_1_rating,pain_quote_2_rating,recommended_service,recommended_service_url,all_pain_categories,all_recommended_services,crawl_status,research_note,review_count,rating,negative_reviews_1_3_star,reviews_analyzed,website_raw,google_maps_link_raw,website_redirect_target_raw,is_chain_or_dso,chain_reason,website_redirect_mismatch,website_redirect_target,emails_invalid_count,crawled_emails_suspect,phone_invalid,phone_invalid_reason
A,101.37,kyiv,RO App Україна,support@remonline.app,support@remonline.app,agent_browser_crawl,+380 44 334 4041,https://roapp.com.ua,"Kharkivs'ke Hwy, 201/203, Kyiv, Ukraine, 02121",https://www.google.com/maps/place/RO+App+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0/data=!4m7!3m6!1s0x40d4c5a8bbfad3eb:0x86259d3ec9894d1e!8m2!3d50.4044044!4d30.6805603!16s%2Fg%2F11rb48rl2x!19sChIJ69P6u6jF1EARHk2JyT6dJYY,https://www.facebook.com/roapp.ukraine,https://www.instagram.com/roapp.ukraine/,,,https://www.tiktok.com/@roapp.ua,https://www.youtube.com/@ROAppUA,,,,,,frontline_communication,6,"Программа вроде не плохая, но менеджер типа коллектора, который звонит, пишет, считает что имеет право подшучивать над клиентом, из-за того что что не внесли оплату! (был демо период, и очень нагнетали чтобы купил платную версию) менеджер Алексей Кузьменко!

Очень хотелось отказаться от них, но как только найду альтернативу, сразу так и сделаю, и только из-за общения менежера!!! надеюсь руководство обратит внимание!!!!","Класне CRM для ремонтів та продаж офлайн (для онлайн, досить і досить слабка). Дорога, є набагто функціональніші і помірно дешевші в ціні конкуренти. Часті баги в вильоти системи, через збої на серверах партнерів, що власне ускладн.є або унемовжливлює роботу. Для себе прийняв рішення про постувий перехід з цієї CRM на іншу. Якщо не принцпові викладені вище мінуси (підозрюю, що для когось це так і є), то досить хороша та класна система.
Основний мінус для мене від них, це не вміння брати на себе відповідальність перед своїми клієнтами, за доставлені незручності та простої в роботі, а спихування все на когось іншого.",2,2,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,billing_or_intake_errors;calls_unanswered;deadline_missed;delivery_quality;followup_dropped;frontline_communication,,ok,,98,4.3,17,71,https://roapp.com.ua/,https://www.google.com/maps/place/RO+App+%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B0/data=!4m7!3m6!1s0x40d4c5a8bbfad3eb:0x86259d3ec9894d1e!8m2!3d50.4044044!4d30.6805603!16s%2Fg%2F11rb48rl2x!19sChIJ69P6u6jF1EARHk2JyT6dJYY?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
A,95.45,kyiv,SkyService POS - автоматизація бізнесу,m@skyservice.pro,m@skyservice.pro,gosom_scraper,+380 63 047 6445,https://skyservice.pro,,https://www.google.com/maps/place/SkyService+POS+-+%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%8F+%D0%B1%D1%96%D0%B7%D0%BD%D0%B5%D1%81%D1%83/data=!4m7!3m6!1s0x40d4cb8772091a69:0xcf3eca746047e7b0!8m2!3d44.717056!4d-29.1122719!16s%2Fg%2F11b_3gtyyn!19sChIJaRoJcofL1EARsOdHYHTKPs8,https://www.facebook.com/SkyServicePOS/,https://www.instagram.com/skyservice_pos/,,,,https://www.youtube.com/channel/UCN-ykuvVE7swm1UBhq9fHdQ,,,,,,frontline_communication,4,"Очень плохо! До сих пор нету возможности звонить операторам только через чат подчеркну ИЗ ГРУЗИИ НЕ ИЗ УКРАИНЫ . Перешли из старой версии на новую товары перенесли а себестоимость сбросилась и сами не могут починить. Столы не подсвечиваться , а только появляется рядом номерок, сегодня начали глючить заказы они закрыты и всеравно висят. Еще много чего  каждый день приходиться бороться. Может для маленького заведения до 10 позиций ок но когда у тебя кухня не подходит. Нету синхронизации между кассами","Кончена контора - не видали законні документи на безготівковий розрахунок, а коли звернулись, щоб вони видали ці документи, змушують чекати тижнями, комунікація з менеджментом ніяка. Категорично не рекомендую",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,billing_or_intake_errors;calls_unanswered;delivery_quality;frontline_communication,,ok,,104,4.3,17,96,https://skyservice.pro/,https://www.google.com/maps/place/SkyService+POS+-+%D0%B0%D0%B2%D1%82%D0%BE%D0%BC%D0%B0%D1%82%D0%B8%D0%B7%D0%B0%D1%86%D1%96%D1%8F+%D0%B1%D1%96%D0%B7%D0%BD%D0%B5%D1%81%D1%83/data=!4m7!3m6!1s0x40d4cb8772091a69:0xcf3eca746047e7b0!8m2!3d44.717056!4d-29.1122719!16s%2Fg%2F11b_3gtyyn!19sChIJaRoJcofL1EARsOdHYHTKPs8?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,52.22,kyiv,WEZOM,biuro@wezom.pl,biuro@wezom.pl;info@wezom.de;office@wezom.com.ua;office_usa@wezom.com;usa_office@wezom.com,agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl;agent_browser_crawl,+380 800 755 007,https://wezom.com.ua,"Andriia Verkhohliada St, 2А, офис 440, этаж 23, Kyiv, Ukraine, 01103",https://www.google.com/maps/place/WEZOM/data=!4m7!3m6!1s0x40d4cf69fb6d61d3:0x6a716a8a25d81d4a!8m2!3d50.413294!4d30.5446177!16s%2Fg%2F11c30_bmc8!19sChIJ02Ft-2nP1EARSh3YJYpqcWo,https://www.facebook.com/wezom.company/,https://www.instagram.com/wezom.company/,https://www.linkedin.com/company/wezom/,,,https://www.youtube.com/channel/UCMvO8a0ZaLBQD70yLUBjX3Q,,,,,,frontline_communication,5,"Заказывал у них разработку сайта по строительству и продвижение. Делали очень долго. Не слышат пожелания заказчика. Ушло много сил и нерв. В итоге домучил с ними сайт, а от продвижения отказался. Потом выяснилось, что он написан очень коряво, пришлось многое переделывать.
Мы много вложили своих идей. В результате эта непорядочная студия стала продавать наш сайт нашим конкурентам. Так что если не хотите долго разрабатывать сайт, потратить кучу нерв, переделок, а потом разработчик не продавал такой сайт  Вашим конкурентам, то лучше не связываться с этой студией.","Так долго и не профессионально, еще никто не делал продукт. Компания берет много заказов и не успевает с ними справляйся, по этому и нанимает сотрудников ниже среднего уровня. Из за этого и хромает качество.

Сделали таск - заплатил, тестировщик проверил - заплатил, мы проверяем видим ошибку. Делаем работу тестировщика и еще платим за это.

Ждать ответа от менеджера, ТРИ ДНЯ, за которого Вы тоже платите.

Хозяин компании, действительно приятный человек. Но в его команде, он должен поменять руководителей, однозначно. Ибо компания так и не выйдет на необходимый, уважаемый уровень.",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,deadline_missed;delivery_quality;followup_dropped;frontline_communication;hidden_subcontracting,,ok,,47,4.1,7,38,https://wezom.com.ua/,https://www.google.com/maps/place/WEZOM/data=!4m7!3m6!1s0x40d4cf69fb6d61d3:0x6a716a8a25d81d4a!8m2!3d50.413294!4d30.5446177!16s%2Fg%2F11c30_bmc8!19sChIJ02Ft-2nP1EARSh3YJYpqcWo?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,TRUE,metro_mismatch
B,42.04,kyiv,Студія дизайну та реклами «BRANDME»,hello@brandme.in.ua,hello@brandme.in.ua,gosom_scraper,+380 93 370 5050,https://brandme.in.ua,"вулиця Героїв УПА 73, корп.4, пов. 1 вхід з, Antonovycha St, 102, Lviv, Lviv Oblast, Ukraine, 79015",https://www.google.com/maps/place/%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D1%83+%D1%82%D0%B0+%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B8+%C2%ABBRANDME%C2%BB/data=!4m7!3m6!1s0x473ae77efe26f48d:0x5c31e62771c7a26!8m2!3d49.8287285!4d23.9949769!16s%2Fg%2F11ckqn4z8_!19sChIJjfQm_n7nOkcRJnocd2IewwU,https://www.facebook.com/brandmeinua,https://instagram.com/brandme.ad.agency/;https://www.instagram.com/brandme.ad.agency/,,,,,,,,,,frontline_communication,4,"Некомпетентність менеджера та хамське ставлення і грубість з боку Надії Вергелес.
Перекреслює всі бажання співпрацювати з компанією. Оминайте десятою дорогою , збережети час і нерви.
P.S. Так, звичайно Ви не будете говорити про свою некомпетентність. Це імідж Вашої компанії. Ви як гарна цукерка, маєте гарну оболонку але гнилі в середині.","Жахлива комунікація! зверхність ледве не з порогу… думаю більшість коментарів виходить накручені… щось я сумніваюсь, стикнушись з працівниками, що з кимось знайшли спільну мову….бажаю кращого!",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,calls_unanswered;deadline_missed;delivery_quality;frontline_communication,,ok,,163,4.8,7,144,https://brandme.in.ua/,https://www.google.com/maps/place/%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%B4%D0%B8%D0%B7%D0%B0%D0%B9%D0%BD%D1%83+%D1%82%D0%B0+%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%BC%D0%B8+%C2%ABBRANDME%C2%BB/data=!4m7!3m6!1s0x473ae77efe26f48d:0x5c31e62771c7a26!8m2!3d49.8287285!4d23.9949769!16s%2Fg%2F11ckqn4z8_!19sChIJjfQm_n7nOkcRJnocd2IewwU?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,40.69,kyiv,Focusweb,info@focusweb.com.ua,info@focusweb.com.ua;info@focusweb.net.ua,agent_browser_crawl;agent_browser_crawl,+380 67 149 5800,http://focusweb.com.ua,"Офіс 507, Akademika Andriya Sakharova St, 43, Lviv, Lviv Oblast, Ukraine, 79000",https://www.google.com/maps/place/Focusweb/data=!4m7!3m6!1s0x473ae78954b55193:0x4dfbe4957754d75c!8m2!3d49.8210663!4d24.0175187!16s%2Fg%2F11b6sdgjyp!19sChIJk1G1VInnOkcRXNdUd5Xk-00,https://www.facebook.com/focuswebstudio,https://www.instagram.com/focusweb/;https://www.instagram.com/focuswebstudio,,,,,,,,,,deadline_missed,4,"Коментар Kaazaam G2 збігається з нашим досвідом. Якщо ви думаєте над співпрацею з Фокусвеб, то почитайте коротеньке оповідання аби не обпектися. Якщо ж Фокусвеб має своє бачення конфлікту, то я навіть готова прикріпити скріни переписок, аби ви все побачили на власні очі.

Правду кажучи, пройшло вже пів року. Але недавно довелось повністю переробити сайт, бо він був малопридатним для використання. Тому згадались всі витрачені нерви, час, і захотілось попередити інших, аби нхто не повторив наш сумний досвід.

Дизайн.
Дизайн у нас був свій, тим не менше нам у ввічливій формі, проте дуже нав'язливо постійно пропонували щось від себе. Хочеться зазначити, що дизайнер виконує свою роботу, а програміст свою. У Фокусвеб професійність дизайнерських здібностей дуже сумнівна, починаючи елементарно з правил композиції. Воно й не дивно -  програмісти не повинні займатися дизайном. Тим не менше програмісти постійно втручалися і наполягали, навіть коли ми разів 5 повторили, що хочемо залишити згідно макету.

Відхилення від макету.
Врешті, ми отримали безліч розбіжностей з макетом: то вирівнювання не по тій стороні, то розмір шрифтів. Аби виправити кожен такий нюанс, доводилось видзвонювати десятки разів. Ми замовили макет у професійного дизайнера, аби все виконали грамотно, а не на око. За це ми платили кошти. А Фокусвеб все спаплюжили, бо на їх суб'єктивну думку і так виглядає нормально.

Правки.
Етап правок - дуже болюча частина. Боюсь збрехати скільки тривало це: пів року чи майже рік. Виглядає це так:
- я роблю списки пунктів близько 10, з текстом про помилки і супроводжуючими скрінами
- менеджер відписує переважно загальними фразами, про те що з'ясує скільки часу це займе і повідомить (щось в цьому дусі)
- від п'ятниці до п'ятниці я видзвонюю менеджера, мені щоразу обіцяють ""до кінця наступного тижня""
- згодом я видзвонюю Кирила, як головного, прошу навести лад. На Кирила складно сердитись, на відміну від менеджера, яка не в найкращій манері розмовляє з клієнтом. Кирило маніпулює своєю любязністю, оскільки не виконує обіцянки вчасно, як і його менеджери.
- коли нарешті через місяць-два усі правки готові, несправності виникають у іншому місці сайту. Це коло починається заново
- окрім всього, мене ще регулярно намагаються переконати, що це не сайт барахлить, а в мене проблеми з браузером. Коли я чищу кеш, а також переглядаю сайт ще з 4 інших компютерів, врешті заставляю менеджера зайти на мій комп'ютер через TeamViewer. Отоді виявляється, що проблема вирішується за 20хв.

Мобільна версія.
За домовленістю у ціну входила мобільна версія. Обіцяли підігнати макет під параметри гаджетів. По факту макет просто обрізали справа і зліва таким чином, що ми втрачаємо по 2/3 зображення. По решті пунктів мобільна весія також практично не придатна для використання. Шкода, в мене не збереглося скрінів, щоб ви на свої очі побачили цей цирк.

Доплатити.
Як за мобільну версію, так і за безліч інших виправлень, з нас хотіли здерти ще грошей. Якщо за деякі моменти ще можна було посперечатись, то переважно йшлось про речі, за які домовлялись наперед. Крім цього, без багатьох правок сайт взагалі не функціонував як слід.
Важливий момент, що доплатити просили такі суми, які очевидно жоден замовник не віддав би. Гадаю, це свідчить про те, що у компанії просто не було спеціаліста, який би подужав поставлені завдання. Тому Фокусвеб намагались поставити питання так, аби замовник сам відмовився.

Менеджер Юлія.
Окремо хочеться написати про Юлію - дівчину, яку уповноважили відповідати мені по всіх питаннях. У чому полягала робота Юлії, коли на кожен мій дзвінок відповідь починалась з того, що Юлія не займається цим питанням, їй потрбно уточнити ситуацію в того-то й того-то. Мені здавалось, завдання менеджера в тім і полягає, щоб зводити роботу всіх докупи і могти відзвітувати перед клієнтом. Вічно розгублена, налякана, нічогонерозуміюча Юлія не могла компетентно відповісти на жодне моє питання, наче секретарка, яку попросили припильнувати телефон менеджера під час обідньої перерви. Коли я нарешті домоглась зміни менеджера, справа трішки зрушила з місця.",Моя думка - категорично не рекомендую. Роботу виконують дуууже довго і не якісно. Професіоналізму - нуль. Елементарні завдання виконати не можуть. Гроші викинуті на вітер (((,1,1,Ezly — AI Communication Assistant (expectation-setting replies),getezly.com/home,deadline_missed;delivery_quality;frontline_communication;scope_drift,,ok,,17,3.4,7,9,http://focusweb.com.ua/,https://www.google.com/maps/place/Focusweb/data=!4m7!3m6!1s0x473ae78954b55193:0x4dfbe4957754d75c!8m2!3d49.8210663!4d24.0175187!16s%2Fg%2F11b6sdgjyp!19sChIJk1G1VInnOkcRXNdUd5Xk-00?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
B,34.79,kyiv,PR+ Agency,,,,+380 98 303 3179,,"Oleksandra Polia Ave, Dnipro, Dnipropetrovs'ka oblast, Ukraine, 49000",https://www.google.com/maps/place/PR%2B+Agency/data=!4m7!3m6!1s0x40dbe3a96c930523:0x3ebd10e746505b9b!8m2!3d48.4489527!4d35.0200097!16s%2Fg%2F11l6qh5782!19sChIJIwWTbKnj20ARm1tQRucQvT4,,,,,,,,,,,,frontline_communication,4,"Компанія жах. Не рекомендую тим хто не хоче злити свої кошти на послуги та на бюджет таргету. Дуже гарно про свої послуги розповідають, але по факту:
1. Почнемо з початку, затримки були згідно їх же плану, і нічого не відписують, самій треба випитувати - що і на якому етапі.
2. Спілкування менеджера жахливе і це мʼяко кажучи, що сама їх керуюча була в шоці від спілкування такого зі сторони менеджера.
3. У клієнта не уточнюють ніякої інформації по веденню сторінки та контенту - ні шрифтів, ні стиль, ні кольорів для дизайну, ні шаблонів, ні який асортимент, в загальному нічого. Роблять все аби як, тим що вони монтували з моїх відео просто уродували сторінку, запускали пости без узгодження та правок, які були надані.
4. Таргет злили так що я в шоці була, продажі були по 65 доларів в перший тиждень, це при тому, що коли робили самі таргет продаж був максимум до 10 доларів і це при неефективній рекламі.
5. Звіти не зрозуміли, для клієнта. Мені надсилали звіти слово с слово з тижня в тиждень, а на деяких наскільки я пам’ятаю навіть дати не змінювали. Яка реально робота була пророблена не зрозуміло - бачила тільки шаблон один зі змінами цифр.
Всі компанії видалили, але і видалені можна подивитись, то авдиторія була та ж на яку ми і без них запускали. За що платили не зрозуміло.
6. В загальному можна багато ще писати, але вони самі все зрозуміли наскільки все погано, що вкінці написали «Я так розумію ви з нами не будете продовжувати співпрацю, але я зобовʼязана це спитати».
І як Вишеньки на тортику кажуть - давайте ми вам заплануємо пости, щоб узгодили, щоб якось на гарній ноті розійтись. Ну думаю ладно, хоч це зробіть. І то ви думаєте? Запланували на так як узгодити, все переробляли після них.
В загальному обіцяють круто команду, реально роботу над сторінкою, рекомендації по веденню, ведення сторінки і тд. Отримали - мінус в грошах, часі та нервах, шаблоні рекомендації з тижня в тиждень без врахування сфери діяльності, хамовите відношення, тексти такі, що чат gpt краще напише, некомпетентних людей і ще розповіді типу, ну раз ви не розумієте, то я вам пояснюю що картинка рілс я можу обрати ту що ви хочете( і це мені кажуть люди, які займаються веденням сторінки) чи хто ті тексти читати буде( нащо їх тоді писати) ту стрічку рілс ніхто   на ваше превʼю не буде звертати уваги, яке вони зробили жахливе. Я не знаю як можна було з якісних фото та відео зробити нормально, але вони це змогли. Такий негативний досвід з ними вийшов.","Не рекомендую!
PR+ лишає враження не серйозної, не чесної та навіть шахрайської компанії.
Чому?
Після припинення співпраці - видаляють рекламні компанії які налаштовуються в ході роботи.
Менеджер Анастасія пояснює це тим - що такі правила.
Про ці ""правила"" ми дізнались тільки в кінці співпраці.
Менеджер Анастасія стведжує, що нас повинен ознайомити з цим правилом менеджер, з яким ми спілкувались перед співпрацею.
Те, що менеджер не доніс до нас це важливе правило - не змінило думку менеджера Анастасії видалити рекламні компанії - бо ""правила для всіх"" пише Анастасія.

Таке",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,deadline_missed;delivery_quality;frontline_communication;scope_drift,,,,25,4,5,21,,https://www.google.com/maps/place/PR%2B+Agency/data=!4m7!3m6!1s0x40dbe3a96c930523:0x3ebd10e746505b9b!8m2!3d48.4489527!4d35.0200097!16s%2Fg%2F11l6qh5782!19sChIJIwWTbKnj20ARm1tQRucQvT4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,25.63,kyiv,Замовити сайт. Розробка інтернет-магазинів під ключ. Веб Студія БАСТ,info@webstudiobast.com,info@webstudiobast.com,agent_browser_crawl,+380 67 930 0869,https://webstudiobast.com,"Leonida Kadeniuka Ave, 4, Kyiv, Ukraine, 02105",https://www.google.com/maps/place/%D0%97%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%82%D0%B8+%D1%81%D0%B0%D0%B9%D1%82.+%D0%A0%D0%BE%D0%B7%D1%80%D0%BE%D0%B1%D0%BA%D0%B0+%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87.+%D0%92%D0%B5%D0%B1+%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%91%D0%90%D0%A1%D0%A2/data=!4m7!3m6!1s0x40d4c55b74af129d:0xceb80efa66a64ca0!8m2!3d50.4450162!4d30.6274965!16s%2Fg%2F12vthb7vx!19sChIJnRKvdFvF1EARoEymZvoOuM4,https://www.facebook.com/Serhii.Korzhyk,https://www.instagram.com/sergeikorzhik/,https://www.linkedin.com/in/serhii-korzhyk-414914113/,,,,,,,,,followup_dropped,4,"24 октября отправил запрос на почту — ответа не последовало. Позвонил 4 ноября, сотрудники пообещали пересмотреть почту и ответить. Но прошло еще 10 дней, а ответа так и не получил. Сегодня 14 ноября, а реакция с их стороны отсутствует. Такое отношение демонстрирует полное отсутствие ответственности и серьёзности в работе. Ожидаешь от компании быстрой и профессиональной реакции, а в итоге сталкиваешься с пренебрежением и халатностью.

Если для вас важна обратная связь и оперативность, подумайте дважды, прежде чем обращаться сюда.","Отвратительно.
Надеюсь, мой отзыв поможет экономить ваше время и деньги.
Эта горе веб студия БАСТ получила на вёрстку сайт с готовой HTML вёрсткой и дизайном для подключения к Wordpress.
В результате натягивания вёрстки на шаблон чужого сайта получился сайт пятистраничник размером 1,4 Гб! с неудалённым чужим контентом, нередактируемый и неуправляемый.
Верстка проведена с ошибками в навигации, размере шрифтов, отступами полей и массой технических косяков.
За устранение допущенных ошибок студия требовала дополнительную почасовую оплату.
О развитии сайта, СЕO продвижению и оптимизации придётся забыть, а верстку сайта полностью переделать.
Результат сотрудничества с веб студией БАСТ - потерянные деньги, время и неработающий сайт.",1,1,Ezly — AI Communication Assistant (faster client follow-up),getezly.com/home,calls_unanswered;delivery_quality;followup_dropped;scope_drift,,ok,,22,4.5,3,21,https://webstudiobast.com/,https://www.google.com/maps/place/%D0%97%D0%B0%D0%BC%D0%BE%D0%B2%D0%B8%D1%82%D0%B8+%D1%81%D0%B0%D0%B9%D1%82.+%D0%A0%D0%BE%D0%B7%D1%80%D0%BE%D0%B1%D0%BA%D0%B0+%D1%96%D0%BD%D1%82%D0%B5%D1%80%D0%BD%D0%B5%D1%82-%D0%BC%D0%B0%D0%B3%D0%B0%D0%B7%D0%B8%D0%BD%D1%96%D0%B2+%D0%BF%D1%96%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87.+%D0%92%D0%B5%D0%B1+%D0%A1%D1%82%D1%83%D0%B4%D1%96%D1%8F+%D0%91%D0%90%D0%A1%D0%A2/data=!4m7!3m6!1s0x40d4c55b74af129d:0xceb80efa66a64ca0!8m2!3d50.4450162!4d30.6274965!16s%2Fg%2F12vthb7vx!19sChIJnRKvdFvF1EARoEymZvoOuM4?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,25.44,kyiv,IDEA marketing,,,,+380 93 255 8021,,"1A, Heroiv Krut St, 1А, Lviv, Lviv Oblast, Ukraine, 79000",https://www.google.com/maps/place/IDEA+marketing/data=!4m7!3m6!1s0x473add61a949dffd:0x2fb918f003db4fa5!8m2!3d49.8154785!4d24.0398536!16s%2Fg%2F11byck0xqv!19sChIJ_d9JqWHdOkcRpU_bA_AYuS8,,,,,,,,,,,,frontline_communication,2,"Агенство, которые не ценят своего клиента. Хамское общение и игнорирование телефонных звонков - вот их девиз.
Подумайте 10 раз, прежде, чем вообще обращаться к ним.",Хамуватий персонал. непрофесійний колектив. просто жах,1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,calls_unanswered;frontline_communication,,,,14,3.9,3,12,,https://www.google.com/maps/place/IDEA+marketing/data=!4m7!3m6!1s0x473add61a949dffd:0x2fb918f003db4fa5!8m2!3d49.8154785!4d24.0398536!16s%2Fg%2F11byck0xqv!19sChIJ_d9JqWHdOkcRpU_bA_AYuS8?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,25.44,kyiv,Leosvit Marketing,info@leosvit.com,info@leosvit.com;xyz@something.com,agent_browser_crawl;agent_browser_crawl,+380 93 356 9000,https://leosvit.com,"офіс 6, Dmytra Danylyshyna St, 2, Lviv, Lviv Oblast, Ukraine, 79000",https://www.google.com/maps/place/Leosvit+Marketing/data=!4m7!3m6!1s0x473add1d90a5b53b:0xc44fa3acc0ac48b0!8m2!3d49.8438171!4d24.0228974!16s%2Fg%2F1v4k58qj!19sChIJO7WlkB3dOkcRsEiswKyjT8Q,https://www.facebook.com/LeosvitMarketing,,https://www.linkedin.com/,,,https://www.youtube.com/channel/UCpYCCih3SRTdX_wg55YVsqA,,,,,,followup_dropped,4,"Не рекомендую! Політика сервісу здерти разово гроші. Кілька років тому робив вивіску, наклейки та інший декор в магазин наче було все добре всі привітні та завжди на звязку, коли заходів дещо доробити (мінімальний заказ на 900-1500грн) тупо ігнор. В наш час не біда вирішив я та знайошов іншу компанію слово за слово розповів скільки за що заплатив і виявилось переплатив непогано) ну буває подумав я так як спішив пошвидше зробити магазин і не дуже перебирав фірми. Але саме цікаве зара, коли я відкриваю інший магазин несу документи на погодження вивіски і виявляється, що папірець торгової марки який мені зробив леосвіт «ЛІПА»(мене запевнянили щоб зробити назву магазину латинью потрібно реєструвати ТМ а щоб цей процес пришвидшити потрібно ще непогано доплатити - що я і зробив). Написав у компанію - тих хто тоді працював уже нема нові обіцяли розібратись і по класиці жанру місяць ігнор. Додзвонився врешті сказали що я сам прекрасно знав що це ліпа і за це я нічо не платив....!
Де логіка я замовляю дорогу вивіску, шоб не давати на лапу роблю погодження вилазе що треба ТМ і тут я кажу робіть ліпу ?)))🤣
Опшім думайте перш ніж до цих клоунів йти пока несете гроші вам всі раді коли проблеми крайніх нема!","Доброго вечора. Звернулись із замовленням майже СІМ (!!!) місяців тому. 18.07. Регламентована дата виконання замовлення 15.08. Здійснена передоплата 70%. До сих рір праців ник Іван каже ""завтра"". А завтра не відповідає на дзвінки. Ми дуже терпеливі. Але. Передаємо справу у суд.

Львівська майстерня шоколаду.",1,1,Ezly — AI Communication Assistant (faster client follow-up),getezly.com/home,calls_unanswered;deadline_missed;delivery_quality;followup_dropped,,ok,,19,4.5,2,12,https://leosvit.com/,https://www.google.com/maps/place/Leosvit+Marketing/data=!4m7!3m6!1s0x473add1d90a5b53b:0xc44fa3acc0ac48b0!8m2!3d49.8438171!4d24.0228974!16s%2Fg%2F1v4k58qj!19sChIJO7WlkB3dOkcRsEiswKyjT8Q?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
C,24.13,kyiv,Universal Web,info@universalweb.com.ua,info@universalweb.com.ua,agent_browser_crawl,+380 67 765 5600,https://universalweb.com.ua,"Maksyma Zaliznyaka St, 17, Lviv, L'vivs'ka oblast, Ukraine, 79013",https://www.google.com/maps/place/Universal+Web/data=!4m7!3m6!1s0x473add7b6f29497f:0x85f1bb7b430d0d38!8m2!3d49.8294108!4d23.9964687!16s%2Fg%2F11c57pw4wn!19sChIJf0kpb3vdOkcROA0NQ3u78YU,,,,,,,,,,,,frontline_communication,4,"Хамство і шахрайство. Обіцяють якість, а насправді передають підряд школярам початківцям. Будьте обережні, не оплачуйте на карту.","Тримайтесь подалі від цих профанів. Терміни для них існують тільки на словах, робота примітивізм не відповідає оплаті. Не рекомендую.",1,1,Ezly — AI Communication Assistant (tone + personalization),getezly.com/home,deadline_missed;delivery_quality;frontline_communication;hidden_subcontracting,,ok,,6,3.7,2,5,https://universalweb.com.ua/,https://www.google.com/maps/place/Universal+Web/data=!4m7!3m6!1s0x473add7b6f29497f:0x85f1bb7b430d0d38!8m2!3d49.8294108!4d23.9964687!16s%2Fg%2F11c57pw4wn!19sChIJf0kpb3vdOkcROA0NQ3u78YU?authuser=0&hl=en&rclk=1,,FALSE,,FALSE,,0,FALSE,FALSE,
